Repository Name,Username,Stars,URL
aspnetcore,dotnet,25000,https://github.com/dotnet/aspnetcore
selenium,SeleniumHQ,21200,https://github.com/SeleniumHQ/selenium
corefx,dotnet,17900,https://github.com/dotnet/corefx
core,dotnet,16000,https://github.com/dotnet/core
react-native-windows,microsoft,13700,https://github.com/microsoft/react-native-windows
awesome-dotnet,quozd,13400,https://github.com/quozd/awesome-dotnet
ILSpy,icsharpcode,13000,https://github.com/icsharpcode/ILSpy
coreclr,dotnet,12500,https://github.com/dotnet/coreclr
Avalonia,AvaloniaUI,11600,https://github.com/AvaloniaUI/Avalonia
APIJSON,Tencent,11200,https://github.com/Tencent/APIJSON
jellyfin,jellyfin,11100,https://github.com/jellyfin/jellyfin
maui,dotnet,10600,https://github.com/dotnet/maui
labs,docker,10000,https://github.com/docker/labs
aspnetboilerplate,aspnetboilerplate,9700,https://github.com/aspnetboilerplate/aspnetboilerplate
OpenRA,OpenRA,9400,https://github.com/OpenRA/OpenRA
Polly,App-vNext,9400,https://github.com/App-vNext/Polly
mono,mono,9400,https://github.com/mono/mono
pulumi,pulumi,9300,https://github.com/pulumi/pulumi
Ryujinx,Ryujinx,9200,https://github.com/Ryujinx/Ryujinx
IdentityServer4,IdentityServer,8100,https://github.com/IdentityServer/IdentityServer4
server,bitwarden,8000,https://github.com/bitwarden/server
MonoGame,MonoGame,7600,https://github.com/MonoGame/MonoGame
machinelearning,dotnet,7600,https://github.com/dotnet/machinelearning
Nancy,NancyFx,7100,https://github.com/NancyFx/Nancy
Hangfire,HangfireIO,6800,https://github.com/HangfireIO/Hangfire
ArchiSteamFarm,JustArchiNET,6800,https://github.com/JustArchiNET/ArchiSteamFarm
BenchmarkDotNet,dotnet,6700,https://github.com/dotnet/BenchmarkDotNet
nopCommerce,nopSolutions,6400,https://github.com/nopSolutions/nopCommerce
ReactiveUI,reactiveui,6400,https://github.com/reactiveui/ReactiveUI
Ocelot,ThreeMammals,6300,https://github.com/ThreeMammals/Ocelot
Captura,MathewSachin,6200,https://github.com/MathewSachin/Captura
CleanArchitecture,jasontaylordev,6000,https://github.com/jasontaylordev/CleanArchitecture
winsw,winsw,5900,https://github.com/winsw/winsw
LiteDB,mbdavid,5800,https://github.com/mbdavid/LiteDB
Electron.NET,ElectronNET,5800,https://github.com/ElectronNET/Electron.NET
modular-monolith-with-ddd,kgrzybek,5500,https://github.com/kgrzybek/modular-monolith-with-ddd
gui.cs,migueldeicaza,5500,https://github.com/migueldeicaza/gui.cs
refit,reactiveui,5100,https://github.com/reactiveui/refit
uno,unoplatform,5000,https://github.com/unoplatform/uno
Bogus,bchavez,4600,https://github.com/bchavez/Bogus
quartznet,quartznet,4600,https://github.com/quartznet/quartznet
Quasar,quasar,4500,https://github.com/quasar/Quasar
