Repository Name,Username,Stars,URL
three.js,mrdoob,72700,https://github.com/mrdoob/three.js
libgdx,libgdx,18600,https://github.com/libgdx/libgdx
Babylon.js,BabylonJS,14400,https://github.com/BabylonJS/Babylon.js
react-three-fiber,pmndrs,14000,https://github.com/pmndrs/react-three-fiber
aframe,aframevr,12900,https://github.com/aframevr/aframe
tinyrenderer,ssloy,10900,https://github.com/ssloy/tinyrenderer
3d-game-shaders-for-beginners,lettier,10700,https://github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,9600,https://github.com/FreeCAD/FreeCAD
zdog,metafizzy,8500,https://github.com/metafizzy/zdog
cesium,CesiumGS,7300,https://github.com/CesiumGS/cesium
SpaceshipGenerator,a1studmuffin,6800,https://github.com/a1studmuffin/SpaceshipGenerator
3D-Machine-Learning,timzhang642,6800,https://github.com/timzhang642/3D-Machine-Learning
Open3D,intel-isl,4800,https://github.com/intel-isl/Open3D
spritejs,spritejs,4500,https://github.com/spritejs/spritejs
tensorspace,tensorspace-team,4400,https://github.com/tensorspace-team/tensorspace
webglstudio.js,jagenjo,4400,https://github.com/jagenjo/webglstudio.js
vrn,AaronJackson,4400,https://github.com/AaronJackson/vrn
PRNet,YadiraF,4300,https://github.com/YadiraF/PRNet
openscad,openscad,4100,https://github.com/openscad/openscad
BlenderGIS,domlysz,4100,https://github.com/domlysz/BlenderGIS
tinyraytracer,ssloy,3800,https://github.com/ssloy/tinyraytracer
magnum,mosra,3500,https://github.com/mosra/magnum
model-viewer,google,3100,https://github.com/google/model-viewer
webgl-fundamentals,gfxfundamentals,3100,https://github.com/gfxfundamentals/webgl-fundamentals
3DDFA,cleardusk,3000,https://github.com/cleardusk/3DDFA
isometric-contributions,jasonlong,3000,https://github.com/jasonlong/isometric-contributions
blender,blender,3000,https://github.com/blender/blender
L7,antvis,2300,https://github.com/antvis/L7
claygl,pissang,2300,https://github.com/pissang/claygl
meshlab,cnr-isti-vclab,2300,https://github.com/cnr-isti-vclab/meshlab
tinyobjloader,tinyobjloader,2200,https://github.com/tinyobjloader/tinyobjloader
armory,armory3d,2200,https://github.com/armory3d/armory
dust3d,huxingyi,2200,https://github.com/huxingyi/dust3d
rg3d,rg3dengine,2100,https://github.com/rg3dengine/rg3d
FXGL,AlmasB,2100,https://github.com/AlmasB/FXGL
tinykaboom,ssloy,2000,https://github.com/ssloy/tinykaboom
3d-force-graph,vasturiano,2000,https://github.com/vasturiano/3d-force-graph
jeelizFaceFilter,jeeliz,1900,https://github.com/jeeliz/jeelizFaceFilter
LayaAir_Discard,layabox,1900,https://github.com/layabox/LayaAir_Discard
armorpaint,armory3d,1800,https://github.com/armory3d/armorpaint
GameDev-Resources,Kavex,1800,https://github.com/Kavex/GameDev-Resources
3DDFA_V2,cleardusk,1700,https://github.com/cleardusk/3DDFA_V2
canvas-test,whxaxes,1700,https://github.com/whxaxes/canvas-test
graphics-workshop,ekzhang,1600,https://github.com/ekzhang/graphics-workshop
renderer,zauonlok,1500,https://github.com/zauonlok/renderer
awk-raycaster,TheMozg,1500,https://github.com/TheMozg/awk-raycaster
Objectron,google-research-datasets,1500,https://github.com/google-research-datasets/Objectron
giojs,syt123450,1500,https://github.com/syt123450/giojs
tinyraycaster,ssloy,1400,https://github.com/ssloy/tinyraycaster
mini3d,skywind3000,1400,https://github.com/skywind3000/mini3d
simulator,lgsvl,1400,https://github.com/lgsvl/simulator
nunuStudio,tentone,1400,https://github.com/tentone/nunuStudio
vanta,tengbao,1300,https://github.com/tengbao/vanta
votenet,facebookresearch,1300,https://github.com/facebookresearch/votenet
PyMesh,PyMesh,1200,https://github.com/PyMesh/PyMesh
loam_velodyne,laboshinl,1200,https://github.com/laboshinl/loam_velodyne
frustum-pointnets,charlesq34,1200,https://github.com/charlesq34/frustum-pointnets
trois,troisjs,1200,https://github.com/troisjs/trois
UEViewer,gildor2,1200,https://github.com/gildor2/UEViewer
curtainsjs,martinlaxenaire,1100,https://github.com/martinlaxenaire/curtainsjs
veloren,veloren,1100,https://github.com/veloren/veloren
Sophus,strasdat,1100,https://github.com/strasdat/Sophus
helix-toolkit,helix-toolkit,1100,https://github.com/helix-toolkit/helix-toolkit
MeshCNN,ranahanocka,1100,https://github.com/ranahanocka/MeshCNN
Pixel2Mesh,nywang16,1100,https://github.com/nywang16/Pixel2Mesh
pioneer,pioneerspacesim,1000,https://github.com/pioneerspacesim/pioneer
cglm,recp,995,https://github.com/recp/cglm
G3D,alibaba,976,https://github.com/alibaba/G3D
pyntcloud,daavoo,971,https://github.com/daavoo/pyntcloud
unsup3d,elliottwu,960,https://github.com/elliottwu/unsup3d
xeogl,xeolabs,944,https://github.com/xeolabs/xeogl
harp.gl,heremaps,928,https://github.com/heremaps/harp.gl
curv,curv3d,908,https://github.com/curv3d/curv
cadquery,CadQuery,896,https://github.com/CadQuery/cadquery
vedo,marcomusy,874,https://github.com/marcomusy/vedo
pyvista,pyvista,861,https://github.com/pyvista/pyvista
Silk.NET,dotnet,861,https://github.com/dotnet/Silk.NET
react-three-flex,pmndrs,841,https://github.com/pmndrs/react-three-flex
svg-3d-builder,captainwz,812,https://github.com/captainwz/svg-3d-builder
Depth,florent37,793,https://github.com/florent37/Depth
awesome-blender,agmmnn,787,https://github.com/agmmnn/awesome-blender
