Repository Name,Username,Stars,URL
aspnetboilerplate,aspnetboilerplate,9700,https://github.com/aspnetboilerplate/aspnetboilerplate
AspNetCore.Docs,dotnet,9500,https://github.com/dotnet/AspNetCore.Docs
server,bitwarden,8000,https://github.com/bitwarden/server
Electron.NET,ElectronNET,5800,https://github.com/ElectronNET/Electron.NET
NSwag,RicoSuter,4500,https://github.com/RicoSuter/NSwag
clean-code-dotnet,thangchung,4000,https://github.com/thangchung/clean-code-dotnet
ImageProcessor,JimBobSquarePants,2400,https://github.com/JimBobSquarePants/ImageProcessor
SmartStoreNET,smartstore,2200,https://github.com/smartstore/SmartStoreNET
aspnet-api-versioning,microsoft,2100,https://github.com/microsoft/aspnet-api-versioning
BaGet,loic-sharma,1700,https://github.com/loic-sharma/BaGet
aspnetcore-angular-universal,TrilonIO,1500,https://github.com/TrilonIO/aspnetcore-angular-universal
aspnetcore-Vue-starter,TrilonIO,1200,https://github.com/TrilonIO/aspnetcore-Vue-starter
Awesome-Microservices-NetCore,mjebrahimi,1200,https://github.com/mjebrahimi/Awesome-Microservices-NetCore
DncZeus,lampo1024,1100,https://github.com/lampo1024/DncZeus
csla,MarimerLLC,921,https://github.com/MarimerLLC/csla
dotvvm,riganti,539,https://github.com/riganti/dotvvm
aspnet-core-3-jwt-authentication-api,cornflourblue,505,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
SharPyShell,antonioCoco,447,https://github.com/antonioCoco/SharPyShell
mvcarchitecture,chsakell,441,https://github.com/chsakell/mvcarchitecture
Gofer.NET,brthor,399,https://github.com/brthor/Gofer.NET
YAFNET,YAFNET,381,https://github.com/YAFNET/YAFNET
rrod,Maarten88,375,https://github.com/Maarten88/rrod
SapphireDb,SapphireDb,345,https://github.com/SapphireDb/SapphireDb
WebMarkupMin,Taritsyn,324,https://github.com/Taritsyn/WebMarkupMin
BlazorTable,IvanJosipovic,310,https://github.com/IvanJosipovic/BlazorTable
datatables.aspnet,ALMMa,282,https://github.com/ALMMa/datatables.aspnet
aspnetcore-vueclimiddleware,EEParker,278,https://github.com/EEParker/aspnetcore-vueclimiddleware
aspnet-core-jwt-authentication-api,cornflourblue,275,https://github.com/cornflourblue/aspnet-core-jwt-authentication-api
aspnet-core-identity,chsakell,259,https://github.com/chsakell/aspnet-core-identity
electron.net-api-demos,ElectronNET,245,https://github.com/ElectronNET/electron.net-api-demos
Identity.Dapper,grandchamp,244,https://github.com/grandchamp/Identity.Dapper
OpenTouryo,OpenTouryoProject,234,https://github.com/OpenTouryoProject/OpenTouryo
Examine,Shazwazza,219,https://github.com/Shazwazza/Examine
AspNetCore.Identity.MongoDB,tugberkugurlu,217,https://github.com/tugberkugurlu/AspNetCore.Identity.MongoDB
dotNetify-react-template,dsuryd,192,https://github.com/dsuryd/dotNetify-react-template
Articulate,Shazwazza,184,https://github.com/Shazwazza/Articulate
react-core-boilerplate,NickMaev,180,https://github.com/NickMaev/react-core-boilerplate
ng2-signalr,HNeukermans,178,https://github.com/HNeukermans/ng2-signalr
Smartstore,smartstore,165,https://github.com/smartstore/Smartstore
aspnetcore-tooling,dotnet,165,https://github.com/dotnet/aspnetcore-tooling
mvcdonutcaching,moonpyk,147,https://github.com/moonpyk/mvcdonutcaching
fileuploader,innostudio,125,https://github.com/innostudio/fileuploader
Huxley,jpsingleton,124,https://github.com/jpsingleton/Huxley
Mockaco,natenho,122,https://github.com/natenho/Mockaco
aspnetcore-Vue-starter-signalR,elucidsoft,114,https://github.com/elucidsoft/aspnetcore-Vue-starter-signalR
auth0-aspnetcore-webapi-samples,auth0-samples,114,https://github.com/auth0-samples/auth0-aspnetcore-webapi-samples
XPO,DevExpress,114,https://github.com/DevExpress/XPO
raygun4net,MindscapeHQ,112,https://github.com/MindscapeHQ/raygun4net
simple_aspnet_auth,matthewblott,108,https://github.com/matthewblott/simple_aspnet_auth
MultiTenancyServer,MultiTenancyServer,103,https://github.com/MultiTenancyServer/MultiTenancyServer
dotnet-api-boilerplate,yanpitangui,99,https://github.com/yanpitangui/dotnet-api-boilerplate
auth0-aspnetcore-mvc-samples,auth0-samples,98,https://github.com/auth0-samples/auth0-aspnetcore-mvc-samples
Plotly.Blazor,LayTec-AG,92,https://github.com/LayTec-AG/Plotly.Blazor
identityazuretable,dlmelendez,90,https://github.com/dlmelendez/identityazuretable
mysql-dotnet-core,jasonsturges,90,https://github.com/jasonsturges/mysql-dotnet-core
Listrr,TheUltimateC0der,88,https://github.com/TheUltimateC0der/Listrr
bootstrap-aspnetcore-starter,DevExpress,78,https://github.com/DevExpress/bootstrap-aspnetcore-starter
run-aspnet-identityserver4,aspnetrun,77,https://github.com/aspnetrun/run-aspnet-identityserver4
riskfirst.hateoas,riskfirst,65,https://github.com/riskfirst/riskfirst.hateoas
aspnet-core-3-basic-authentication-api,cornflourblue,63,https://github.com/cornflourblue/aspnet-core-3-basic-authentication-api
abp-ng-zorro,rqx110,60,https://github.com/rqx110/abp-ng-zorro
electron.net-musicplayer-sample,ElectronNET,55,https://github.com/ElectronNET/electron.net-musicplayer-sample
azure-sql-db-sync-api-change-tracking,Azure-Samples,53,https://github.com/Azure-Samples/azure-sql-db-sync-api-change-tracking
shopping-cart-k8s,thangchung,52,https://github.com/thangchung/shopping-cart-k8s
AspNetSeo,sebnilsson,49,https://github.com/sebnilsson/AspNetSeo
run-aspnet-grpc,aspnetrun,48,https://github.com/aspnetrun/run-aspnet-grpc
ReCaptcha-Asp-Net,henriqb,48,https://github.com/henriqb/ReCaptcha-Asp-Net
Testavior,geeklearningio,40,https://github.com/geeklearningio/Testavior
ASP.NET-Core-CMS,yogyogi,37,https://github.com/yogyogi/ASP.NET-Core-CMS
aspnetcore-vue,soukoku,35,https://github.com/soukoku/aspnetcore-vue
bizbook-server,foyzulkarim,35,https://github.com/foyzulkarim/bizbook-server
Foodchooser-ASPNET-Angular-Cross-Platform,FabianGosebrink,35,https://github.com/FabianGosebrink/Foodchooser-ASPNET-Angular-Cross-Platform
pidget,mausworks,35,https://github.com/mausworks/pidget
fluentassertions.mvc,fluentassertions,32,https://github.com/fluentassertions/fluentassertions.mvc
HealthNet,bronumski,31,https://github.com/bronumski/HealthNet
AspNetCore.Authentication.WeixinAuth,myvas,31,https://github.com/myvas/AspNetCore.Authentication.WeixinAuth
aspnet-docker,GoogleCloudPlatform,30,https://github.com/GoogleCloudPlatform/aspnet-docker
ASP.Net-EventCalendar,esausilva,25,https://github.com/esausilva/ASP.Net-EventCalendar
evolutility-asp.net,evoluteur,25,https://github.com/evoluteur/evolutility-asp.net
ngx-signalr-hubservice,steveadoo32,23,https://github.com/steveadoo32/ngx-signalr-hubservice
