Repository Name,Username,Stars,URL
coding-interview-university,jwasham,184000,https://github.com/jwasham/coding-interview-university
CS-Notes,CyC2018,135000,https://github.com/CyC2018/CS-Notes
javascript-algorithms,trekhleb,114000,https://github.com/trekhleb/javascript-algorithms
Python,TheAlgorithms,112000,https://github.com/TheAlgorithms/Python
tech-interview-handbook,yangshun,55500,https://github.com/yangshun/tech-interview-handbook
interviews,kdn251,53000,https://github.com/kdn251/interviews
leetcode,azl397985856,43000,https://github.com/azl397985856/leetcode
algorithm-visualizer,algorithm-visualizer,35000,https://github.com/algorithm-visualizer/algorithm-visualizer
JCSprout,crossoverJie,26300,https://github.com/crossoverJie/JCSprout
interactive-coding-challenges,donnemartin,23100,https://github.com/donnemartin/interactive-coding-challenges
algorithms,keon,19400,https://github.com/keon/algorithms
interview,huihut,19400,https://github.com/huihut/interview
LeetCode-Go,halfrost,19000,https://github.com/halfrost/LeetCode-Go
homemade-machine-learning,trekhleb,18000,https://github.com/trekhleb/homemade-machine-learning
WaveFunctionCollapse,mxgmn,16300,https://github.com/mxgmn/WaveFunctionCollapse
C-Plus-Plus,TheAlgorithms,13400,https://github.com/TheAlgorithms/C-Plus-Plus
leetcode-master,youngyangyang04,12900,https://github.com/youngyangyang04/leetcode-master
PythonRobotics,AtsushiSakai,12700,https://github.com/AtsushiSakai/PythonRobotics
cosmos,OpenGenus,12600,https://github.com/OpenGenus/cosmos
algorithm-pattern,greyireland,12200,https://github.com/greyireland/algorithm-pattern
Javascript,TheAlgorithms,11600,https://github.com/TheAlgorithms/Javascript
apachecn-algo-zh,apachecn,10400,https://github.com/apachecn/apachecn-algo-zh
Algorithms,williamfiset,10300,https://github.com/williamfiset/Algorithms
Halfrost-Field,halfrost,9200,https://github.com/halfrost/Halfrost-Field
awesome-competitive-programming,lnishan,8500,https://github.com/lnishan/awesome-competitive-programming
awesome-java-leetcode,Blankj,8200,https://github.com/Blankj/awesome-java-leetcode
algorithms,jeffgerickson,7200,https://github.com/jeffgerickson/algorithms
javascript-algorithms,mgechev,6800,https://github.com/mgechev/javascript-algorithms
