Repository Name,Username,Stars,URL
serverless,serverless,40200,https://github.com/serverless/serverless
localstack,localstack,31200,https://github.com/localstack/localstack
data-science-ipython-notebooks,donnemartin,21300,https://github.com/donnemartin/data-science-ipython-notebooks
devops-exercises,bregman-arie,11900,https://github.com/bregman-arie/devops-exercises
awesome-kubernetes,ramitsurana,11800,https://github.com/ramitsurana/awesome-kubernetes
aws-cli,aws,11200,https://github.com/aws/aws-cli
kubespray,kubernetes-sigs,10900,https://github.com/kubernetes-sigs/kubespray
awesome-aws,donnemartin,9500,https://github.com/donnemartin/awesome-aws
pulumi,pulumi,9300,https://github.com/pulumi/pulumi
cas,apereo,8800,https://github.com/apereo/cas
up,apex,8300,https://github.com/apex/up
amplify-js,aws-amplify,8200,https://github.com/aws-amplify/amplify-js
chalice,aws,8100,https://github.com/aws/chalice
serverless-application-model,aws,8000,https://github.com/aws/serverless-application-model
sops,mozilla,7800,https://github.com/mozilla/sops
go-cloud,google,7800,https://github.com/google/go-cloud
cortex,cortexlabs,7600,https://github.com/cortexlabs/cortex
caprover,caprover,7400,https://github.com/caprover/caprover
aws-sdk-go,aws,7000,https://github.com/aws/aws-sdk-go
aws-cdk,aws,7000,https://github.com/aws/aws-cdk
aws-sdk-js,aws,6700,https://github.com/aws/aws-sdk-js
boto3,boto,6500,https://github.com/boto/boto3
openvpn-install,angristan,6500,https://github.com/angristan/openvpn-install
aws-shell,awslabs,6200,https://github.com/awslabs/aws-shell
terraform-provider-aws,hashicorp,6000,https://github.com/hashicorp/terraform-provider-aws
amazon-sagemaker-examples,aws,5700,https://github.com/aws/amazon-sagemaker-examples
aws-sam-cli,aws,5600,https://github.com/aws/aws-sam-cli
dev-setup,donnemartin,5500,https://github.com/donnemartin/dev-setup
terratest,gruntwork-io,5400,https://github.com/gruntwork-io/terratest
terraformer,GoogleCloudPlatform,5100,https://github.com/GoogleCloudPlatform/terraformer
terragrunt,gruntwork-io,5100,https://github.com/gruntwork-io/terragrunt
aws-vault,99designs,5100,https://github.com/99designs/aws-vault
saws,donnemartin,4800,https://github.com/donnemartin/saws
moto,spulec,4800,https://github.com/spulec/moto
awless,wallix,4800,https://github.com/wallix/awless
ansible-for-devops,geerlingguy,4800,https://github.com/geerlingguy/ansible-for-devops
webiny-js,webiny,4600,https://github.com/webiny/webiny-js
cloudmapper,duo-labs,4500,https://github.com/duo-labs/cloudmapper
midway,midwayjs,4500,https://github.com/midwayjs/midway
docker-curriculum,prakhar1989,4300,https://github.com/prakhar1989/docker-curriculum
external-dns,kubernetes-sigs,4300,https://github.com/kubernetes-sigs/external-dns
security_monkey,Netflix,4200,https://github.com/Netflix/security_monkey
terraforming,dtan4,4100,https://github.com/dtan4/terraforming
aws-doc-sdk-examples,awsdocs,3900,https://github.com/awsdocs/aws-doc-sdk-examples
containers-roadmap,aws,3800,https://github.com/aws/containers-roadmap
cloud-custodian,cloud-custodian,3700,https://github.com/cloud-custodian/cloud-custodian
practicalnode,azat-co,3700,https://github.com/azat-co/practicalnode
claudia,claudiajs,3600,https://github.com/claudiajs/claudia
prowler,toniblyx,3600,https://github.com/toniblyx/prowler
serverless-stack-com,AnomalyInnovations,3600,https://github.com/AnomalyInnovations/serverless-stack-com
aws-sdk-java,aws,3600,https://github.com/aws/aws-sdk-java
docker-android,budtmo,3500,https://github.com/budtmo/docker-android
ec2instances.info,vantage-sh,3400,https://github.com/vantage-sh/ec2instances.info
grant,simov,3400,https://github.com/simov/grant
ScoutSuite,nccgroup,3400,https://github.com/nccgroup/ScoutSuite
infracost,infracost,3400,https://github.com/infracost/infracost
aws-serverless-workshops,aws-samples,3300,https://github.com/aws-samples/aws-serverless-workshops
aws-sdk-ruby,aws,3300,https://github.com/aws/aws-sdk-ruby
engine,Qovery,3100,https://github.com/Qovery/engine
tfsec,aquasecurity,2900,https://github.com/aquasecurity/tfsec
checkov,bridgecrewio,2900,https://github.com/bridgecrewio/checkov
image-super-resolution,idealo,2900,https://github.com/idealo/image-super-resolution
0x4447_product_s3_email,0x4447,2900,https://github.com/0x4447/0x4447_product_s3_email
Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,TarrySingh,2800,https://github.com/TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials
ice,Teevity,2800,https://github.com/Teevity/ice
empire,remind101,2600,https://github.com/remind101/empire
komiser,mlabouardy,2600,https://github.com/mlabouardy/komiser
bless,Netflix,2600,https://github.com/Netflix/bless
awesome-ecs,nathanpeck,2600,https://github.com/nathanpeck/awesome-ecs
serverless-chrome,adieuadieu,2600,https://github.com/adieuadieu/serverless-chrome
streamalert,airbnb,2600,https://github.com/airbnb/streamalert
aws-lambda-power-tuning,alexcasalboni,2500,https://github.com/alexcasalboni/aws-lambda-power-tuning
porter,porter-dev,2500,https://github.com/porter-dev/porter
consoleme,Netflix,2500,https://github.com/Netflix/consoleme
openapi-directory,APIs-guru,2500,https://github.com/APIs-guru/openapi-directory
serverless-next.js,serverless-nextjs,2400,https://github.com/serverless-nextjs/serverless-next.js
rusoto,rusoto,2400,https://github.com/rusoto/rusoto
aws-workshop-for-kubernetes,aws-samples,2400,https://github.com/aws-samples/aws-workshop-for-kubernetes
middy,middyjs,2300,https://github.com/middyjs/middy
aws-load-balancer-controller,kubernetes-sigs,2300,https://github.com/kubernetes-sigs/aws-load-balancer-controller
chrome-aws-lambda,alixaxel,2300,https://github.com/alixaxel/chrome-aws-lambda
aws-cf-templates,widdix,2300,https://github.com/widdix/aws-cf-templates
aws-mobile-react-native-starter,amazon-archives,2200,https://github.com/amazon-archives/aws-mobile-react-native-starter
amplify-cli,aws-amplify,2200,https://github.com/aws-amplify/amplify-cli
components,serverless,2200,https://github.com/serverless/components
pacu,RhinoSecurityLabs,2200,https://github.com/RhinoSecurityLabs/pacu
mongoose-os,cesanta,2200,https://github.com/cesanta/mongoose-os
serverless-stack,serverless-stack,2100,https://github.com/serverless-stack/serverless-stack
terraform-aws-eks,terraform-aws-modules,2100,https://github.com/terraform-aws-modules/terraform-aws-eks
lad,ladjs,2000,https://github.com/ladjs/lad
diagram-maker,awslabs,2000,https://github.com/awslabs/diagram-maker
kubernetes-external-secrets,external-secrets,2000,https://github.com/external-secrets/kubernetes-external-secrets
aws-nuke,rebuy-de,2000,https://github.com/rebuy-de/aws-nuke
AutoSpotting,AutoSpotting,2000,https://github.com/AutoSpotting/AutoSpotting
autovpn,ttlequals0,1900,https://github.com/ttlequals0/autovpn
aws-data-wrangler,awslabs,1900,https://github.com/awslabs/aws-data-wrangler
gardener,gardener,1900,https://github.com/gardener/gardener
terrascan,accurics,1900,https://github.com/accurics/terrascan
terraform-aws-vpc,terraform-aws-modules,1900,https://github.com/terraform-aws-modules/terraform-aws-vpc
rack,convox,1800,https://github.com/convox/rack
jets,boltops-tools,1800,https://github.com/boltops-tools/jets
MoonMail,MoonMail,1700,https://github.com/MoonMail/MoonMail
scar,cloudkj,1700,https://github.com/cloudkj/scar
architect,architect,1700,https://github.com/architect/architect
developer-handbook,apptension,1700,https://github.com/apptension/developer-handbook
kube2iam,jtblin,1700,https://github.com/jtblin/kube2iam
Scout2,nccgroup,1700,https://github.com/nccgroup/Scout2
elasticmq,softwaremill,1700,https://github.com/softwaremill/elasticmq
aws-iam-authenticator,kubernetes-sigs,1600,https://github.com/kubernetes-sigs/aws-iam-authenticator
PynamoDB,pynamodb,1600,https://github.com/pynamodb/PynamoDB
cloudquery,cloudquery,1600,https://github.com/cloudquery/cloudquery
cfn-lint,aws-cloudformation,1600,https://github.com/aws-cloudformation/cfn-lint
awesome-layers,mthenw,1600,https://github.com/mthenw/awesome-layers
awesome-aws-amplify,dabit3,1600,https://github.com/dabit3/awesome-aws-amplify
devops-resources,bregman-arie,1500,https://github.com/bregman-arie/devops-resources
community,aws-controllers-k8s,1500,https://github.com/aws-controllers-k8s/community
lemur,Netflix,1500,https://github.com/Netflix/lemur
cloudsploit,aquasecurity,1500,https://github.com/aquasecurity/cloudsploit
driftctl,cloudskiff,1500,https://github.com/cloudskiff/driftctl
S3Scanner,sa7mon,1500,https://github.com/sa7mon/S3Scanner
