Repository Name,Username,Stars,URL
flutter,flutter,125000,https://github.com/flutter/flutter
free-programming-books-zh_CN,justjavac,81300,https://github.com/justjavac/free-programming-books-zh_CN
scrcpy,Genymobile,51800,https://github.com/Genymobile/scrcpy
Awesome-Hacking,Hack-with-Github,45000,https://github.com/Hack-with-Github/Awesome-Hacking
material-design-icons,google,43300,https://github.com/google/material-design-icons
awesome-android-ui,wasabeef,40900,https://github.com/wasabeef/awesome-android-ui
okhttp,square,40400,https://github.com/square/okhttp
architecture-samples,android,39100,https://github.com/android/architecture-samples
retrofit,square,38300,https://github.com/square/retrofit
awesome-flutter,Solido,36500,https://github.com/Solido/awesome-flutter
MPAndroidChart,PhilJay,33600,https://github.com/PhilJay/MPAndroidChart
fastlane,fastlane,32600,https://github.com/fastlane/fastlane
shadowsocks-android,shadowsocks,31600,https://github.com/shadowsocks/shadowsocks-android
lottie-android,airbnb,31400,https://github.com/airbnb/lottie-android
glide,bumptech,31400,https://github.com/bumptech/glide
android-open-project,Trinea,30700,https://github.com/Trinea/android-open-project
AndroidUtilCode,Blankj,29600,https://github.com/Blankj/AndroidUtilCode
gold-miner,xitu,29200,https://github.com/xitu/gold-miner
ijkplayer,bilibili,29100,https://github.com/bilibili/ijkplayer
zxing,zxing,28100,https://github.com/zxing/zxing
android_guides,codepath,27500,https://github.com/codepath/android_guides
jadx,skylot,26500,https://github.com/skylot/jadx
leakcanary,square,26400,https://github.com/square/leakcanary
joplin,laurent22,24200,https://github.com/laurent22/joplin
fastjson,alibaba,23600,https://github.com/alibaba/fastjson
SmartRefreshLayout,scwang90,22700,https://github.com/scwang90/SmartRefreshLayout
BaseRecyclerViewAdapterHelper,CymChad,22100,https://github.com/CymChad/BaseRecyclerViewAdapterHelper
react-native-elements,react-native-elements,20900,https://github.com/react-native-elements/react-native-elements
iosched,google,20600,https://github.com/google/iosched
NativeScript,NativeScript,20300,https://github.com/NativeScript/NativeScript
android-best-practices,futurice,19800,https://github.com/futurice/android-best-practices
quasar,quasarframework,19000,https://github.com/quasarframework/quasar
material-dialogs,afollestad,18900,https://github.com/afollestad/material-dialogs
libgdx,libgdx,18600,https://github.com/libgdx/libgdx
ExoPlayer,google,18000,https://github.com/google/ExoPlayer
weex,alibaba,17600,https://github.com/alibaba/weex
DoraemonKit,didi,17600,https://github.com/didi/DoraemonKit
flexbox-layout,google,16900,https://github.com/google/flexbox-layout
GSYVideoPlayer,CarGuo,16400,https://github.com/CarGuo/GSYVideoPlayer
framework7,framework7io,16300,https://github.com/framework7io/framework7
anko,Kotlin,15900,https://github.com/Kotlin/anko
tinker,Tencent,15900,https://github.com/Tencent/tinker
NativeBase,GeekyAnts,15400,https://github.com/GeekyAnts/NativeBase
cocos2d-x,cocos2d,15300,https://github.com/cocos2d/cocos2d-x
Android-CleanArchitecture,android10,14900,https://github.com/android10/Android-CleanArchitecture
FlutterExampleApps,iampawan,14800,https://github.com/iampawan/FlutterExampleApps
NewPipe,TeamNewPipe,14400,https://github.com/TeamNewPipe/NewPipe
plugins,flutter,14200,https://github.com/flutter/plugins
expo,expo,14100,https://github.com/expo/expo
CircleImageView,hdodenhof,14000,https://github.com/hdodenhof/CircleImageView
appium,appium,13900,https://github.com/appium/appium
ARouter,alibaba,13300,https://github.com/alibaba/ARouter
kivy,kivy,13200,https://github.com/kivy/kivy
QMUI_Android,Tencent,13000,https://github.com/Tencent/QMUI_Android
mediapipe,google,13000,https://github.com/google/mediapipe
MMKV,Tencent,12900,https://github.com/Tencent/MMKV
logger,orhanobut,12900,https://github.com/orhanobut/logger
create-react-native-app,expo,12700,https://github.com/expo/create-react-native-app
xbmc,xbmc,12600,https://github.com/xbmc/xbmc
LearningNotes,francistao,12600,https://github.com/francistao/LearningNotes
Luban,Curzibn,12600,https://github.com/Curzibn/Luban
A-to-Z-Resources-for-Students,dipakkr,12600,https://github.com/dipakkr/A-to-Z-Resources-for-Students
material-components-android,material-components,12600,https://github.com/material-components/material-components-android
gsy_github_app_flutter,CarGuo,12500,https://github.com/CarGuo/gsy_github_app_flutter
brook,txthinking,12400,https://github.com/txthinking/brook
bytecode-viewer,Konloch,12200,https://github.com/Konloch/bytecode-viewer
Apktool,iBotPeaches,12200,https://github.com/iBotPeaches/Apktool
ncnn,Tencent,12100,https://github.com/Tencent/ncnn
Matisse,zhihu,12000,https://github.com/zhihu/Matisse
tachiyomi,tachiyomiorg,12000,https://github.com/tachiyomiorg/tachiyomi
VirtualXposed,android-hacker,12000,https://github.com/android-hacker/VirtualXposed
stf,openstf,11900,https://github.com/openstf/stf
AndroidViewAnimations,daimajia,11900,https://github.com/daimajia/AndroidViewAnimations
nnn,jarun,11800,https://github.com/jarun/nnn
AndroidAutoSize,JessYanCoding,11600,https://github.com/JessYanCoding/AndroidAutoSize
Android,open-android,11600,https://github.com/open-android/Android
MaterialDrawer,mikepenz,11400,https://github.com/mikepenz/MaterialDrawer
filament,google,11300,https://github.com/google/filament
realm-java,realm,11200,https://github.com/realm/realm-java
androidannotations,androidannotations,11200,https://github.com/androidannotations/androidannotations
vlayout,alibaba,10800,https://github.com/alibaba/vlayout
uCrop,Yalantis,10800,https://github.com/Yalantis/uCrop
recyclerview-animators,wasabeef,10700,https://github.com/wasabeef/recyclerview-animators
PermissionsDispatcher,permissions-dispatcher,10700,https://github.com/permissions-dispatcher/PermissionsDispatcher
android-async-http,android-async-http,10600,https://github.com/android-async-http/android-async-http
PictureSelector,LuckSiege,10600,https://github.com/LuckSiege/PictureSelector
appwrite,appwrite,10500,https://github.com/appwrite/appwrite
FileDownloader,lingochamp,10200,https://github.com/lingochamp/FileDownloader
Auto.js,hyb1996,10200,https://github.com/hyb1996/Auto.js
RxPermissions,tbruyelle,10200,https://github.com/tbruyelle/RxPermissions
MVPArms,JessYanCoding,10100,https://github.com/JessYanCoding/MVPArms
ImmersionBar,gyf-dev,9700,https://github.com/gyf-dev/ImmersionBar
Android-ObservableScrollView,ksoichiro,9600,https://github.com/ksoichiro/Android-ObservableScrollView
AVLoadingIndicatorView,81813780,9500,https://github.com/81813780/AVLoadingIndicatorView
glide-transformations,wasabeef,9400,https://github.com/wasabeef/glide-transformations
mono,mono,9400,https://github.com/mono/mono
react-native-firebase,invertase,9200,https://github.com/invertase/react-native-firebase
MaterialDesign,Templarian,9200,https://github.com/Templarian/MaterialDesign
easypermissions,googlesamples,9100,https://github.com/googlesamples/easypermissions
MaterialDesignLibrary,navasmdc,9100,https://github.com/navasmdc/MaterialDesignLibrary
wcdb,Tencent,9000,https://github.com/Tencent/wcdb
android-gif-drawable,koral--,8900,https://github.com/koral--/android-gif-drawable
matrix,Tencent,8800,https://github.com/Tencent/matrix
StatusBarUtil,laobie,8700,https://github.com/laobie/StatusBarUtil
qt,therecipe,8600,https://github.com/therecipe/qt
chameleon,didi,8500,https://github.com/didi/chameleon
BottomBar,roughike,8400,https://github.com/roughike/BottomBar
openFrameworks,openframeworks,8400,https://github.com/openframeworks/openFrameworks
Android_Data,Freelander,8400,https://github.com/Freelander/Android_Data
OnsenUI,OnsenUI,8400,https://github.com/OnsenUI/OnsenUI
AndroidNote,GcsSloop,8300,https://github.com/GcsSloop/AndroidNote
awesome-adb,mzlogin,8300,https://github.com/mzlogin/awesome-adb
termux-app,termux,8200,https://github.com/termux/termux-app
MaterialViewPager,florent37,8200,https://github.com/florent37/MaterialViewPager
Detox,wix,8200,https://github.com/wix/Detox
vue-native-core,GeekyAnts,8200,https://github.com/GeekyAnts/vue-native-core
android-gpuimage,cats-oss,8000,https://github.com/cats-oss/android-gpuimage
compose-samples,android,8000,https://github.com/android/compose-samples
atlas,alibaba,8000,https://github.com/alibaba/atlas
buck,facebook,8000,https://github.com/facebook/buck
