Repository Name,Username,Stars,URL
free-programming-books-zh_CN,justjavac,81300,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,74600,https://github.com/angular/angular
storybook,storybookjs,63300,https://github.com/storybookjs/storybook
ionic-framework,ionic-team,44900,https://github.com/ionic-team/ionic-framework
33-js-concepts,leonardomso,41800,https://github.com/leonardomso/33-js-concepts
prettier,prettier,40100,https://github.com/prettier/prettier
sheetjs,SheetJS,26100,https://github.com/SheetJS/sheetjs
angular-cli,angular,24700,https://github.com/angular/angular-cli
components,angular,21600,https://github.com/angular/components
NativeScript,NativeScript,20300,https://github.com/NativeScript/NativeScript
generator-jhipster,jhipster,18600,https://github.com/jhipster/generator-jhipster
tabby,Eugeny,18500,https://github.com/Eugeny/tabby
handsontable,handsontable,15400,https://github.com/handsontable/handsontable
bit,teambit,13700,https://github.com/teambit/bit
sweetalert2,sweetalert2,13200,https://github.com/sweetalert2/sweetalert2
javascript-testing-best-practices,goldbergyoni,12400,https://github.com/goldbergyoni/javascript-testing-best-practices
mean,linnovate,12100,https://github.com/linnovate/mean
coreui-free-bootstrap-admin-template,coreui,10900,https://github.com/coreui/coreui-free-bootstrap-admin-template
codesandbox-client,codesandbox,10700,https://github.com/codesandbox/codesandbox-client
angular-starter,PatrickJS,10400,https://github.com/PatrickJS/angular-starter
PeerTube,Chocobozzz,9500,https://github.com/Chocobozzz/PeerTube
protractor,angular,8800,https://github.com/angular/protractor
OnsenUI,OnsenUI,8400,https://github.com/OnsenUI/OnsenUI
text-mask,text-mask,8000,https://github.com/text-mask/text-mask
awesome-angular,PatrickJS,8000,https://github.com/PatrickJS/awesome-angular
ng-bootstrap,ng-bootstrap,7800,https://github.com/ng-bootstrap/ng-bootstrap
nx,nrwl,7700,https://github.com/nrwl/nx
ng-zorro-antd,NG-ZORRO,7600,https://github.com/NG-ZORRO/ng-zorro-antd
ag-grid,ag-grid,7400,https://github.com/ag-grid/ag-grid
rematch,rematch,7300,https://github.com/rematch/rematch
graphql-code-generator,dotansimha,7200,https://github.com/dotansimha/graphql-code-generator
nebular,akveo,7200,https://github.com/akveo/nebular
platform,ngrx,6800,https://github.com/ngrx/platform
primeng,primefaces,6800,https://github.com/primefaces/primeng
angularfire,angular,6800,https://github.com/angular/angularfire
ajenti,ajenti,6500,https://github.com/ajenti/ajenti
abp,abpframework,6400,https://github.com/abpframework/abp
must-watch-javascript,AllThingsSmitty,6300,https://github.com/AllThingsSmitty/must-watch-javascript
clarity,vmware,6300,https://github.com/vmware/clarity
generator-angular-fullstack,angular-fullstack,6100,https://github.com/angular-fullstack/generator-angular-fullstack
angularjs-styleguide,toddmotto,6100,https://github.com/toddmotto/angularjs-styleguide
CleanArchitecture,jasontaylordev,6000,https://github.com/jasontaylordev/CleanArchitecture
redux-logger,LogRocket,5500,https://github.com/LogRocket/redux-logger
flex-layout,angular,5500,https://github.com/angular/flex-layout
angular-education,timjacobi,5500,https://github.com/timjacobi/angular-education
ui-grid,angular-ui,5400,https://github.com/angular-ui/ui-grid
ngx-bootstrap,valor-software,5300,https://github.com/valor-software/ngx-bootstrap
openproject,opf,5000,https://github.com/opf/openproject
TypeScript,zhongsp,4900,https://github.com/zhongsp/TypeScript
soundnode-app,Soundnode,4800,https://github.com/Soundnode/soundnode-app
angular-electron,maximegris,4700,https://github.com/maximegris/angular-electron
angular-seed,mgechev,4700,https://github.com/mgechev/angular-seed
strider,Strider-CD,4500,https://github.com/Strider-CD/strider
lightGallery,sachinchoolur,4500,https://github.com/sachinchoolur/lightGallery
NSwag,RicoSuter,4500,https://github.com/RicoSuter/NSwag
ngx-datatable,swimlane,4300,https://github.com/swimlane/ngx-datatable
javascript-interview-questions,sudheerj,4300,https://github.com/sudheerj/javascript-interview-questions
oppia,oppia,4200,https://github.com/oppia/oppia
ng-alain,ng-alain,4200,https://github.com/ng-alain/ng-alain
ng-admin,marmelab,4000,https://github.com/marmelab/ng-admin
ngx-charts,swimlane,4000,https://github.com/swimlane/ngx-charts
store,ngrx,4000,https://github.com/ngrx/store
wails,wailsapp,3900,https://github.com/wailsapp/wails
core,ngx-translate,3900,https://github.com/ngx-translate/core
polr,cydrobolt,3900,https://github.com/cydrobolt/polr
Util,dotnetcore,3800,https://github.com/dotnetcore/Util
eqMac,bitgapp,3700,https://github.com/bitgapp/eqMac
ShapeShifter,alexjlockwood,3700,https://github.com/alexjlockwood/ShapeShifter
angular-performance-checklist,mgechev,3700,https://github.com/mgechev/angular-performance-checklist
awesome-webpack-cn,webpack-china,3600,https://github.com/webpack-china/awesome-webpack-cn
