Repository Name,Username,Stars,URL
ansible,ansible,49000,https://github.com/ansible/ansible
streisand,StreisandEffect,22500,https://github.com/StreisandEffect/streisand
algo,trailofbits,21100,https://github.com/trailofbits/algo
devops-exercises,bregman-arie,11900,https://github.com/bregman-arie/devops-exercises
kubespray,kubernetes-sigs,10900,https://github.com/kubernetes-sigs/kubespray
awx,ansible,9900,https://github.com/ansible/awx
kubeasz,easzlab,7100,https://github.com/easzlab/kubeasz
ansible-for-devops,geerlingguy,4800,https://github.com/geerlingguy/ansible-for-devops
rundeck,rundeck,4300,https://github.com/rundeck/rundeck
semaphore,ansible-semaphore,4200,https://github.com/ansible-semaphore/semaphore
mac-dev-playbook,geerlingguy,3800,https://github.com/geerlingguy/mac-dev-playbook
DevOps-Guide,Tikam02,3800,https://github.com/Tikam02/DevOps-Guide
KubeOperator,KubeOperator,3600,https://github.com/KubeOperator/KubeOperator
molecule,ansible-community,3100,https://github.com/ansible-community/molecule
DetectionLab,clong,2900,https://github.com/clong/DetectionLab
opendevops,opendevops-cn,2800,https://github.com/opendevops-cn/opendevops
OpsManage,welliamcao,2700,https://github.com/welliamcao/OpsManage
ansible-lint,ansible-community,2500,https://github.com/ansible-community/ansible-lint
netboot.xyz,netbootxyz,2500,https://github.com/netbootxyz/netboot.xyz
werf,werf,2500,https://github.com/werf/werf
chrome-aws-lambda,alixaxel,2300,https://github.com/alixaxel/chrome-aws-lambda
ansible-collection-hardening,dev-sec,2300,https://github.com/dev-sec/ansible-collection-hardening
trellis,roots,2200,https://github.com/roots/trellis
deploy,ansistrano,2100,https://github.com/ansistrano/deploy
openshift-ansible,openshift,2000,https://github.com/openshift/openshift-ansible
ansible-cmdb,fboender,1900,https://github.com/fboender/ansible-cmdb
pytest-testinfra,pytest-dev,1900,https://github.com/pytest-dev/pytest-testinfra
litmus,litmuschaos,1900,https://github.com/litmuschaos/litmus
ansible-tuto,leucos,1900,https://github.com/leucos/ansible-tuto
infrastructure-as-code-tutorial,Artemmkin,1900,https://github.com/Artemmkin/infrastructure-as-code-tutorial
ansible-vagrant-examples,geerlingguy,1900,https://github.com/geerlingguy/ansible-vagrant-examples
PlexGuide.com,plexguide,1600,https://github.com/plexguide/PlexGuide.com
Cloudbox,Cloudbox,1600,https://github.com/Cloudbox/Cloudbox
terraform-inventory,adammck,1500,https://github.com/adammck/terraform-inventory
raspberry-pi-dramble,geerlingguy,1400,https://github.com/geerlingguy/raspberry-pi-dramble
ceph-ansible,ceph,1400,https://github.com/ceph/ceph-ansible
ansible-elasticsearch,elastic,1400,https://github.com/elastic/ansible-elasticsearch
vps-comparison,joedicastro,1400,https://github.com/joedicastro/vps-comparison
drupal-vm,geerlingguy,1400,https://github.com/geerlingguy/drupal-vm
ansible-nas,davestephens,1400,https://github.com/davestephens/ansible-nas
ansible-interactive-tutorial,turkenh,1300,https://github.com/turkenh/ansible-interactive-tutorial
content,ComplianceAsCode,1300,https://github.com/ComplianceAsCode/content
learning-tools,scottslowe,1300,https://github.com/scottslowe/learning-tools
ara,ansible-community,1300,https://github.com/ansible-community/ara
web_develop,dongweiming,1200,https://github.com/dongweiming/web_develop
manageiq,ManageIQ,1100,https://github.com/ManageIQ/manageiq
vpn-at-home,ezaquarii,1100,https://github.com/ezaquarii/vpn-at-home
workshops,ansible,1000,https://github.com/ansible/workshops
breeze,wise2c-devops,926,https://github.com/wise2c-devops/breeze
ansible-role-docker,geerlingguy,918,https://github.com/geerlingguy/ansible-role-docker
drill,fcsonline,861,https://github.com/fcsonline/drill
ansible-role-mysql,geerlingguy,860,https://github.com/geerlingguy/ansible-role-mysql
opscloud,ixrjog,853,https://github.com/ixrjog/opscloud
ansible-prometheus,cloudalchemy,834,https://github.com/cloudalchemy/ansible-prometheus
mysqltools,Neeky,826,https://github.com/Neeky/mysqltools
configuration,edx,786,https://github.com/edx/configuration
debops,debops,785,https://github.com/debops/debops
op-note,shfshanyue,781,https://github.com/shfshanyue/op-note
ansible-ssh-hardening,dev-sec,761,https://github.com/dev-sec/ansible-ssh-hardening
ansible-best-practises,enginyoyen,746,https://github.com/enginyoyen/ansible-best-practises
ansible-role-jenkins,geerlingguy,710,https://github.com/geerlingguy/ansible-role-jenkins
postgresql,ANXS,704,https://github.com/ANXS/postgresql
ansible-role-nginx,geerlingguy,659,https://github.com/geerlingguy/ansible-role-nginx
ansible-role-nginx,jdauphant,648,https://github.com/jdauphant/ansible-role-nginx
ansible-vim,pearofducks,645,https://github.com/pearofducks/ansible-vim
phansible,phansible,637,https://github.com/phansible/phansible
ansible-docker,nickjj,600,https://github.com/nickjj/ansible-docker
scantron,rackerlabs,598,https://github.com/rackerlabs/scantron
aspnet-core-react-template,bradymholt,558,https://github.com/bradymholt/aspnet-core-react-template
Ops,pythonzm,547,https://github.com/pythonzm/Ops
terraform-provisioner-ansible,radekg,542,https://github.com/radekg/terraform-provisioner-ansible
ios-dev-playbook,lexrus,542,https://github.com/lexrus/ios-dev-playbook
kubeadm-playbook,ReSearchITEng,541,https://github.com/ReSearchITEng/kubeadm-playbook
polemarch,vstconsulting,537,https://github.com/vstconsulting/polemarch
kubeadm-ansible,kairen,529,https://github.com/kairen/kubeadm-ansible
packer-boxes,geerlingguy,527,https://github.com/geerlingguy/packer-boxes
ansible-role-certbot,geerlingguy,508,https://github.com/geerlingguy/ansible-role-certbot
iiab,iiab,499,https://github.com/iiab/iiab
ansible-role-gitlab,geerlingguy,496,https://github.com/geerlingguy/ansible-role-gitlab
pfelk,pfelk,477,https://github.com/pfelk/pfelk
tads-boilerplate,thomvaill,463,https://github.com/thomvaill/tads-boilerplate
docker.ubuntu,angstwad,459,https://github.com/angstwad/docker.ubuntu
lain,laincloud,459,https://github.com/laincloud/lain
ansible-for-kubernetes,geerlingguy,449,https://github.com/geerlingguy/ansible-for-kubernetes
debops-wordpress,carlalexander,443,https://github.com/carlalexander/debops-wordpress
ansible-letsencrypt,thefinn93,434,https://github.com/thefinn93/ansible-letsencrypt
ansible-lockdown,ansible,434,https://github.com/ansible/ansible-lockdown
ansible-role-security,geerlingguy,431,https://github.com/geerlingguy/ansible-role-security
swarmlet,swarmlet,429,https://github.com/swarmlet/swarmlet
ansible-role-nginx,nginxinc,428,https://github.com/nginxinc/ansible-role-nginx
ansigenome,nickjj,421,https://github.com/nickjj/ansigenome
ansible-role-php,geerlingguy,409,https://github.com/geerlingguy/ansible-role-php
Ansible-roles,lework,391,https://github.com/lework/Ansible-roles
docker-ansible,William-Yeh,390,https://github.com/William-Yeh/docker-ansible
kube-ansible,kairen,381,https://github.com/kairen/kube-ansible
magic-modules,GoogleCloudPlatform,381,https://github.com/GoogleCloudPlatform/magic-modules
ansible-grafana,cloudalchemy,373,https://github.com/cloudalchemy/ansible-grafana
xxproject,junneyang,371,https://github.com/junneyang/xxproject
ansible-role-firewall,geerlingguy,365,https://github.com/geerlingguy/ansible-role-firewall
rak8s,rak8s,362,https://github.com/rak8s/rak8s
techno-tim.github.io,techno-tim,362,https://github.com/techno-tim/techno-tim.github.io
ansible-provisioning,ansible-provisioning,357,https://github.com/ansible-provisioning/ansible-provisioning
ansible-role-apache,geerlingguy,354,https://github.com/geerlingguy/ansible-role-apache
postgresql_cluster,vitabaks,352,https://github.com/vitabaks/postgresql_cluster
ansible-playbooks,do-community,350,https://github.com/do-community/ansible-playbooks
ansible-role-postgresql,geerlingguy,350,https://github.com/geerlingguy/ansible-role-postgresql
ansible-consul,ansible-community,344,https://github.com/ansible-community/ansible-consul
dotfiles,eoli3n,343,https://github.com/eoli3n/dotfiles
TKS,zimmertr,342,https://github.com/zimmertr/TKS
ansible-vault,jhaals,335,https://github.com/jhaals/ansible-vault
ansible-role-nodejs,geerlingguy,333,https://github.com/geerlingguy/ansible-role-nodejs
cloudblock,chadgeary,328,https://github.com/chadgeary/cloudblock
f5-ansible,F5Networks,326,https://github.com/F5Networks/f5-ansible
cp-ansible,confluentinc,321,https://github.com/confluentinc/cp-ansible
ansible-rails,aleks,316,https://github.com/aleks/ansible-rails
ansible-freeipa,freeipa,314,https://github.com/freeipa/ansible-freeipa
elasticluster,elasticluster,310,https://github.com/elasticluster/elasticluster
ansible-node-exporter,cloudalchemy,308,https://github.com/cloudalchemy/ansible-node-exporter
rundeck-ansible-plugin,Batix,304,https://github.com/Batix/rundeck-ansible-plugin
baize,zutianbiao,301,https://github.com/zutianbiao/baize
