Repository Name,Username,Stars,URL
atom,atom,55700,https://github.com/atom/atom
dracula-theme,dracula,16000,https://github.com/dracula/dracula-theme
themer,mjswensen,4300,https://github.com/mjswensen/themer
hydrogen,nteract,3700,https://github.com/nteract/hydrogen
markdown-preview-enhanced,shd101wyy,3300,https://github.com/shd101wyy/markdown-preview-enhanced
v2,miniflux,3000,https://github.com/miniflux/v2
teletype,atom,2300,https://github.com/atom/teletype
awesome-atom,mehcode,1900,https://github.com/mehcode/awesome-atom
gofeed,mmcdole,1700,https://github.com/mmcdole/gofeed
go-plus,joefitzgerald,1500,https://github.com/joefitzgerald/go-plus
atom-beautify,Glavin001,1500,https://github.com/Glavin001/atom-beautify
atom-vim-mode-plus,t9md,1400,https://github.com/t9md/atom-vim-mode-plus
simplepie,simplepie,1400,https://github.com/simplepie/simplepie
merlin,ocaml,1300,https://github.com/ocaml/merlin
feedparser,kurtmckee,1300,https://github.com/kurtmckee/feedparser
MagicPython,MagicStack,1300,https://github.com/MagicStack/MagicPython
apm,atom,1200,https://github.com/atom/apm
atom,file-icons,1100,https://github.com/file-icons/atom
atomic-layout,kettanaito,961,https://github.com/kettanaito/atomic-layout
atomic-chrome,danhper,929,https://github.com/danhper/atomic-chrome
github,atom,921,https://github.com/atom/github
FeedKit,nmdias,918,https://github.com/nmdias/FeedKit
atom-one-dark-terminal,nathanbuchar,908,https://github.com/nathanbuchar/atom-one-dark-terminal
seti-ui,jesseweed,867,https://github.com/jesseweed/seti-ui
prettier-atom,prettier,759,https://github.com/prettier/prettier-atom
kotlin-language-server,fwcd,735,https://github.com/fwcd/kotlin-language-server
lucario,raphamorim,723,https://github.com/raphamorim/lucario
atom-script,atom-community,716,https://github.com/atom-community/atom-script
cypht,jasonmunro,660,https://github.com/jasonmunro/cypht
jekyll-feed,jekyll,654,https://github.com/jekyll/jekyll-feed
liferea,lwindolf,642,https://github.com/lwindolf/liferea
platformio-atom-ide-terminal,platformio,614,https://github.com/platformio/platformio-atom-ide-terminal
feed,jpmonette,608,https://github.com/jpmonette/feed
linter-eslint,AtomLinter,586,https://github.com/AtomLinter/linter-eslint
proton,dvcrn,574,https://github.com/dvcrn/proton
feeds,gorilla,563,https://github.com/gorilla/feeds
remote-ftp,icetee,550,https://github.com/icetee/remote-ftp
atom-project-manager,danielbrodin,523,https://github.com/danielbrodin/atom-project-manager
python-feedgen,lkiesow,518,https://github.com/lkiesow/python-feedgen
import-js,Galooshi,517,https://github.com/Galooshi/import-js
atom-transparency,transcranial,477,https://github.com/transcranial/atom-transparency
language-babel,gandm,477,https://github.com/gandm/language-babel
