Repository Name,Username,Stars,URL
devops-exercises,bregman-arie,11900,https://github.com/bregman-arie/devops-exercises
awesome-kubernetes,ramitsurana,11800,https://github.com/ramitsurana/awesome-kubernetes
recommenders,microsoft,10600,https://github.com/microsoft/recommenders
azure-quickstart-templates,Azure,10600,https://github.com/Azure/azure-quickstart-templates
pulumi,pulumi,9300,https://github.com/pulumi/pulumi
sops,mozilla,7800,https://github.com/mozilla/sops
go-cloud,google,7800,https://github.com/google/go-cloud
computervision-recipes,microsoft,7800,https://github.com/microsoft/computervision-recipes
caprover,caprover,7400,https://github.com/caprover/caprover
azuredatastudio,microsoft,6400,https://github.com/microsoft/azuredatastudio
formidable,node-formidable,5900,https://github.com/node-formidable/formidable
midway,midwayjs,4500,https://github.com/midwayjs/midway
clean-code-dotnet,thangchung,4000,https://github.com/thangchung/clean-code-dotnet
cloud-custodian,cloud-custodian,3700,https://github.com/cloud-custodian/cloud-custodian
docker-android,budtmo,3500,https://github.com/budtmo/docker-android
grant,simov,3400,https://github.com/simov/grant
ScoutSuite,nccgroup,3400,https://github.com/nccgroup/ScoutSuite
infracost,infracost,3400,https://github.com/infracost/infracost
engine,Qovery,3100,https://github.com/Qovery/engine
tfsec,aquasecurity,2900,https://github.com/aquasecurity/tfsec
checkov,bridgecrewio,2900,https://github.com/bridgecrewio/checkov
terraform-provider-azurerm,terraform-providers,2700,https://github.com/terraform-providers/terraform-provider-azurerm
azure-powershell,Azure,2700,https://github.com/Azure/azure-powershell
komiser,mlabouardy,2600,https://github.com/mlabouardy/komiser
openapi-directory,APIs-guru,2500,https://github.com/APIs-guru/openapi-directory
azure-cli,Azure,2500,https://github.com/Azure/azure-cli
azure-sdk-for-net,Azure,2500,https://github.com/Azure/azure-sdk-for-net
MachineLearningNotebooks,Azure,2400,https://github.com/Azure/MachineLearningNotebooks
mmlspark,Azure,2400,https://github.com/Azure/mmlspark
SmartStoreNET,smartstore,2200,https://github.com/smartstore/SmartStoreNET
AcademicContent,microsoft,2100,https://github.com/microsoft/AcademicContent
azure-sdk-for-python,Azure,2000,https://github.com/Azure/azure-sdk-for-python
gardener,gardener,1900,https://github.com/gardener/gardener
BaGet,loic-sharma,1700,https://github.com/loic-sharma/BaGet
spark,dotnet,1700,https://github.com/dotnet/spark
cloudquery,cloudquery,1600,https://github.com/cloudquery/cloudquery
cloudsploit,aquasecurity,1500,https://github.com/aquasecurity/cloudsploit
typhoon,poseidon,1400,https://github.com/poseidon/typhoon
seldon-server,SeldonIO,1400,https://github.com/SeldonIO/seldon-server
Foundatio,FoundatioFx,1400,https://github.com/FoundatioFx/Foundatio
bank-vaults,banzaicloud,1400,https://github.com/banzaicloud/bank-vaults
PowerShell,lazywinadmin,1400,https://github.com/lazywinadmin/PowerShell
ServiceBusExplorer,paolosalvatori,1400,https://github.com/paolosalvatori/ServiceBusExplorer
AutomatedLab,AutomatedLab,1300,https://github.com/AutomatedLab/AutomatedLab
cyberduck,iterate-ch,1300,https://github.com/iterate-ch/cyberduck
architecture-center,MicrosoftDocs,1300,https://github.com/MicrosoftDocs/architecture-center
self-taught-guide-to-cloud-computing,madebygps,1200,https://github.com/madebygps/self-taught-guide-to-cloud-computing
examples,pulumi,1200,https://github.com/pulumi/examples
azure-rest-api-specs,Azure,1200,https://github.com/Azure/azure-rest-api-specs
manageiq,ManageIQ,1100,https://github.com/ManageIQ/manageiq
acs-engine,Azure,1000,https://github.com/Azure/acs-engine
AzureTipsAndTricks,microsoft,1000,https://github.com/microsoft/AzureTipsAndTricks
s3proxy,gaul,984,https://github.com/gaul/s3proxy
altium-library,issus,950,https://github.com/issus/altium-library
azure-sdk-for-go,Azure,907,https://github.com/Azure/azure-sdk-for-go
cs-suite,SecurityFTW,892,https://github.com/SecurityFTW/cs-suite
vc-platform,VirtoCommerce,883,https://github.com/VirtoCommerce/vc-platform
aks-engine,Azure,878,https://github.com/Azure/aks-engine
pgbackrest,pgbackrest,855,https://github.com/pgbackrest/pgbackrest
Microsoft-Integration-and-Azure-Stencils-Pack-for-Visio,sandroasp,841,https://github.com/sandroasp/Microsoft-Integration-and-Azure-Stencils-Pack-for-Visio
azure-policy,Azure,828,https://github.com/Azure/azure-policy
vscode-sqltools,mtxr,796,https://github.com/mtxr/vscode-sqltools
Practical.CleanArchitecture,phongnguyend,791,https://github.com/phongnguyend/Practical.CleanArchitecture
Imgbot,dabutvin,767,https://github.com/dabutvin/Imgbot
CloudComparer,ilyas-it83,751,https://github.com/ilyas-it83/CloudComparer
letsencrypt-siteextension,sjkp,737,https://github.com/sjkp/letsencrypt-siteextension
sentinel-attack,BlueTeamLabs,730,https://github.com/BlueTeamLabs/sentinel-attack
microservices-reference-implementation,mspnp,702,https://github.com/mspnp/microservices-reference-implementation
MCW,microsoft,692,https://github.com/microsoft/MCW
Enterprise-Scale,Azure,684,https://github.com/Azure/Enterprise-Scale
vue-wordpress-pwa,bstavroulakis,673,https://github.com/bstavroulakis/vue-wordpress-pwa
terracognita,cycloidio,639,https://github.com/cycloidio/terracognita
kubestriker,vchinnipilli,627,https://github.com/vchinnipilli/kubestriker
Azure-Design,David-Summers,604,https://github.com/David-Summers/Azure-Design
compose-cli,docker,588,https://github.com/docker/compose-cli
reference-architectures,mspnp,581,https://github.com/mspnp/reference-architectures
SkyArk,cyberark,578,https://github.com/cyberark/SkyArk
cloudpods,yunionio,564,https://github.com/yunionio/cloudpods
riskscanner,riskscanner,546,https://github.com/riskscanner/riskscanner
zentral,zentralopensource,546,https://github.com/zentralopensource/zentral
leapp,Noovolari,539,https://github.com/Noovolari/leapp
WireMock.Net,WireMock-Net,539,https://github.com/WireMock-Net/WireMock.Net
awesome-azure-learning,ddneves,535,https://github.com/ddneves/awesome-azure-learning
RockPaperScissorsLizardSpock,microsoft,525,https://github.com/microsoft/RockPaperScissorsLizardSpock
iot-edge-v1,Azure,522,https://github.com/Azure/iot-edge-v1
Kledex,lucabriguglia,516,https://github.com/lucabriguglia/Kledex
PowerZure,hausec,509,https://github.com/hausec/PowerZure
cloud-design-patterns,mspnp,508,https://github.com/mspnp/cloud-design-patterns
OrgKit,SwiftOnSecurity,501,https://github.com/SwiftOnSecurity/OrgKit
azure-service-bus,Azure,495,https://github.com/Azure/azure-service-bus
ApplicationInsights-JS,microsoft,484,https://github.com/microsoft/ApplicationInsights-JS
gbt,jtyr,477,https://github.com/jtyr/gbt
application-gateway-kubernetes-ingress,Azure,473,https://github.com/Azure/application-gateway-kubernetes-ingress
cli-microsoft365,pnp,467,https://github.com/pnp/cli-microsoft365
azuredevopslabs,microsoft,459,https://github.com/microsoft/azuredevopslabs
Azure-Readiness-Checklist,ghostinthewires,455,https://github.com/ghostinthewires/Azure-Readiness-Checklist
SQLIndexManager,sergiisyrovatchenko,452,https://github.com/sergiisyrovatchenko/SQLIndexManager
aad-pod-identity,Azure,450,https://github.com/Azure/aad-pod-identity
azure-devops-cli-extension,Azure,440,https://github.com/Azure/azure-devops-cli-extension
terratag,env0,438,https://github.com/env0/terratag
azure-iot-sdk-c,Azure,437,https://github.com/Azure/azure-iot-sdk-c
storage,aloneguid,423,https://github.com/aloneguid/storage
caf-terraform-landingzones,Azure,414,https://github.com/Azure/caf-terraform-landingzones
25-days-of-serverless,microsoft,405,https://github.com/microsoft/25-days-of-serverless
elasticsearch,mspnp,403,https://github.com/mspnp/elasticsearch
ApplicationInsights-dotnet,microsoft,399,https://github.com/microsoft/ApplicationInsights-dotnet
keyvault-acmebot,shibayan,392,https://github.com/shibayan/keyvault-acmebot
farmer,CompositionalIT,384,https://github.com/CompositionalIT/farmer
azure-sdk-for-php,Azure,371,https://github.com/Azure/azure-sdk-for-php
json-server-heroku,jesperorb,361,https://github.com/jesperorb/json-server-heroku
azure-spring-boot,microsoft,355,https://github.com/microsoft/azure-spring-boot
terraform-kubestack,kbst,350,https://github.com/kbst/terraform-kubestack
oauth,atulmy,350,https://github.com/atulmy/oauth
azure-service-operator,Azure,348,https://github.com/Azure/azure-service-operator
Azure-in-bullet-points,undergroundwires,343,https://github.com/undergroundwires/Azure-in-bullet-points
mkit,darkbitio,343,https://github.com/darkbitio/mkit
react-aad,syncweek-react-aad,339,https://github.com/syncweek-react-aad/react-aad
azure-devops-utils,Azure,337,https://github.com/Azure/azure-devops-utils
Streamstone,yevhen,334,https://github.com/yevhen/Streamstone
Oryx,microsoft,329,https://github.com/microsoft/Oryx
