Repository Name,Username,Stars,URL
babel,babel,39400,https://github.com/babel/babel
nylas-mail,nylas,24600,https://github.com/nylas/nylas-mail
react-starter-kit,kriasoft,20800,https://github.com/kriasoft/react-starter-kit
ava,avajs,19100,https://github.com/avajs/ava
electron-react-boilerplate,electron-react-boilerplate,17900,https://github.com/electron-react-boilerplate/electron-react-boilerplate
electron-vue,SimulatedGREG,14200,https://github.com/SimulatedGREG/electron-vue
front-end-guide,grab,13800,https://github.com/grab/front-end-guide
swc,swc-project,12600,https://github.com/swc-project/swc
babel-handbook,jamiebuilds,10100,https://github.com/jamiebuilds/babel-handbook
grommet,grommet,7400,https://github.com/grommet/grommet
htm,developit,6800,https://github.com/developit/htm
generator-angular-fullstack,angular-fullstack,6100,https://github.com/angular-fullstack/generator-angular-fullstack
documentation,documentationjs,5400,https://github.com/documentationjs/documentation
nwb,insin,5400,https://github.com/insin/nwb
thinkjs,thinkjs,5200,https://github.com/thinkjs/thinkjs
poi,egoist,5200,https://github.com/egoist/poi
babel-loader,babel,4500,https://github.com/babel/babel-loader
backpack,jaredpalmer,4400,https://github.com/jaredpalmer/backpack
twin.macro,ben-rogerson,4400,https://github.com/ben-rogerson/twin.macro
create-react-library,transitive-bullshit,4300,https://github.com/transitive-bullshit/create-react-library
minify,babel,4300,https://github.com/babel/minify
react,duxianwei520,4200,https://github.com/duxianwei520/react
astexplorer,fkling,4000,https://github.com/fkling/astexplorer
graphql-starter,kriasoft,3200,https://github.com/kriasoft/graphql-starter
babel-plugin-module-resolver,tleunen,3000,https://github.com/tleunen/babel-plugin-module-resolver
webpack-blocks,andywer,3000,https://github.com/andywer/webpack-blocks
babel-eslint,babel,3000,https://github.com/babel/babel-eslint
express-mongoose-es6-rest-api,kunalkapadia,2800,https://github.com/kunalkapadia/express-mongoose-es6-rest-api
react-course,uidotdev,2500,https://github.com/uidotdev/react-course
react-pwa,Atyantik,2400,https://github.com/Atyantik/react-pwa
react-isomorphic-starterkit,RickWong,2300,https://github.com/RickWong/react-isomorphic-starterkit
babel-plugin-macros,kentcdodds,2300,https://github.com/kentcdodds/babel-plugin-macros
crate,atulmy,2200,https://github.com/atulmy/crate
Fable,fable-compiler,2200,https://github.com/fable-compiler/Fable
essential-react,pheuter,2000,https://github.com/pheuter/essential-react
graphpack,glennreyes,2000,https://github.com/glennreyes/graphpack
webpack-encore,symfony,1900,https://github.com/symfony/webpack-encore
reactn,CharlesStover,1900,https://github.com/CharlesStover/reactn
babel-plugin-lodash,lodash,1900,https://github.com/lodash/babel-plugin-lodash
esbuild-loader,privatenumber,1900,https://github.com/privatenumber/esbuild-loader
frr,FRRouting,1800,https://github.com/FRRouting/frr
react-starter-kit,bodyno,1800,https://github.com/bodyno/react-starter-kit
babylon,babel,1700,https://github.com/babel/babylon
webpack-starter,wbkd,1700,https://github.com/wbkd/webpack-starter
static-site-boilerplate,ericalli,1600,https://github.com/ericalli/static-site-boilerplate
across-tabs,wingify,1600,https://github.com/wingify/across-tabs
gogocode,thx,1500,https://github.com/thx/gogocode
serverless-webpack,serverless-heaven,1500,https://github.com/serverless-heaven/serverless-webpack
compiled,atlassian-labs,1400,https://github.com/atlassian-labs/compiled
wordless,welaika,1400,https://github.com/welaika/wordless
jsx-control-statements,AlexGilleran,1300,https://github.com/AlexGilleran/jsx-control-statements
gulp-babel,babel,1300,https://github.com/babel/gulp-babel
babel-upgrade,babel,1300,https://github.com/babel/babel-upgrade
vue-web-extension,Kocal,1300,https://github.com/Kocal/vue-web-extension
babel-plugin-root-import,entwicklerstube,1100,https://github.com/entwicklerstube/babel-plugin-root-import
next-boilerplate,pankod,1100,https://github.com/pankod/next-boilerplate
tris-webpack-boilerplate,tr1s,1000,https://github.com/tr1s/tris-webpack-boilerplate
braid-design-system,seek-oss,989,https://github.com/seek-oss/braid-design-system
custom-react-scripts,kitze,988,https://github.com/kitze/custom-react-scripts
bili,egoist,982,https://github.com/egoist/bili
budgeting,ModusCreateOrg,976,https://github.com/ModusCreateOrg/budgeting
babel-plugin-styled-components,styled-components,920,https://github.com/styled-components/babel-plugin-styled-components
react-native-dotenv,zetachang,901,https://github.com/zetachang/react-native-dotenv
babel-plugin-transform-react-remove-prop-types,oliviertassinari,892,https://github.com/oliviertassinari/babel-plugin-transform-react-remove-prop-types
flask-bones,cburmeister,869,https://github.com/cburmeister/flask-bones
reactjs-tmdb-app,SKempin,853,https://github.com/SKempin/reactjs-tmdb-app
react-things,rtivital,810,https://github.com/rtivital/react-things
babel-standalone,babel,807,https://github.com/babel/babel-standalone
minimal-react-webpack-babel-setup,rwieruch,803,https://github.com/rwieruch/minimal-react-webpack-babel-setup
awesome-babel,babel,788,https://github.com/babel/awesome-babel
react-article-bucket,liangklfangl,769,https://github.com/liangklfangl/react-article-bucket
preset-modules,babel,732,https://github.com/babel/preset-modules
