Repository Name,Username,Stars,URL
ccxt,ccxt,20300,https://github.com/ccxt/ccxt
hubot,hubotio,15900,https://github.com/hubotio/hubot
python-telegram-bot,python-telegram-bot,15800,https://github.com/python-telegram-bot/python-telegram-bot
InstaPy,timgrossmann,13000,https://github.com/timgrossmann/InstaPy
discord.js,discordjs,12900,https://github.com/discordjs/discord.js
rasa,RasaHQ,11700,https://github.com/RasaHQ/rasa
ChatterBot,gunthercox,11300,https://github.com/gunthercox/ChatterBot
botkit,howdyai,10400,https://github.com/howdyai/botkit
botpress,botpress,9300,https://github.com/botpress/botpress
EverydayWechat,sfyc23,8400,https://github.com/sfyc23/EverydayWechat
leon,leon-ai,7700,https://github.com/leon-ai/leon
EZFN-Lobbybot,EZFNDEV,6900,https://github.com/EZFNDEV/EZFN-Lobbybot
YYeTsBot,tgbot-collection,6800,https://github.com/tgbot-collection/YYeTsBot
ailab,microsoft,6600,https://github.com/microsoft/ailab
botframework-sdk,microsoft,6600,https://github.com/microsoft/botframework-sdk
trump2cash,maxbbraun,6000,https://github.com/maxbbraun/trump2cash
botman,botman,5500,https://github.com/botman/botman
node-telegram-bot-api,yagop,5400,https://github.com/yagop/node-telegram-bot-api
DeepPavlov,deepmipt,5300,https://github.com/deepmipt/DeepPavlov
telegraf,telegraf,4800,https://github.com/telegraf/telegraf
nlp.js,axa-group,4500,https://github.com/axa-group/nlp.js
streetmerchant,jef,4300,https://github.com/jef/streetmerchant
igbot,ohld,4000,https://github.com/ohld/igbot
PokemonGo-Bot,PokemonGoF,3700,https://github.com/PokemonGoF/PokemonGo-Bot
bottender,Yoctol,3700,https://github.com/Yoctol/bottender
snips-nlu,snipsco,3500,https://github.com/snipsco/snips-nlu
telegram-list,goq,3100,https://github.com/goq/telegram-list
venom,orkestral,2900,https://github.com/orkestral/venom
jesse,jesse-ai,2800,https://github.com/jesse-ai/jesse
binance-trading-bot,chrisleekr,2700,https://github.com/chrisleekr/binance-trading-bot
botui,botui,2600,https://github.com/botui/botui
whatsapp-web.js,pedroslopez,2600,https://github.com/pedroslopez/whatsapp-web.js
Red-DiscordBot,Cog-Creators,2400,https://github.com/Cog-Creators/Red-DiscordBot
rasa_core,RasaHQ,2300,https://github.com/RasaHQ/rasa_core
hubot-slack,slackapi,2300,https://github.com/slackapi/hubot-slack
go-cqhttp,Mrs4s,2200,https://github.com/Mrs4s/go-cqhttp
JDA,DV8FromTheWorld,2200,https://github.com/DV8FromTheWorld/JDA
telegram-bot-sdk,irazasyed,2100,https://github.com/irazasyed/telegram-bot-sdk
Discord.Net,discord-net,2000,https://github.com/discord-net/Discord.Net
instagram-scraper,realsirjoe,2000,https://github.com/realsirjoe/instagram-scraper
mineflayer,PrismarineJS,2000,https://github.com/PrismarineJS/mineflayer
aiogram,aiogram,1800,https://github.com/aiogram/aiogram
Telegram.Bot,TelegramBots,1800,https://github.com/TelegramBots/Telegram.Bot
Mojo-Webqq,hexsum,1800,https://github.com/hexsum/Mojo-Webqq
wechat-admin,dongweiming,1700,https://github.com/dongweiming/wechat-admin
messaging-apis,Yoctol,1700,https://github.com/Yoctol/messaging-apis
wa-automate-nodejs,open-wa,1600,https://github.com/open-wa/wa-automate-nodejs
crypto-trading-bot,Haehnchen,1600,https://github.com/Haehnchen/crypto-trading-bot
MadelineProto,danog,1600,https://github.com/danog/MadelineProto
BotFramework-Emulator,microsoft,1500,https://github.com/microsoft/BotFramework-Emulator
kalliope,kalliope-project,1500,https://github.com/kalliope-project/kalliope
wechat4u,nodeWechat,1400,https://github.com/nodeWechat/wechat4u
wechat-go,songtianyi,1400,https://github.com/songtianyi/wechat-go
cointrol,jakubroztocil,1400,https://github.com/jakubroztocil/cointrol
nonebot,nonebot,1300,https://github.com/nonebot/nonebot
thetagang,brndnmtthws,1300,https://github.com/brndnmtthws/thetagang
line-bot-sdk-python,line,1300,https://github.com/line/line-bot-sdk-python
vulnx,anouarbensaad,1300,https://github.com/anouarbensaad/vulnx
noisy,1tayH,1200,https://github.com/1tayH/noisy
BotFramework-WebChat,microsoft,1200,https://github.com/microsoft/BotFramework-WebChat
JARVIS-on-Messenger,swapagarwal,1200,https://github.com/swapagarwal/JARVIS-on-Messenger
Mojo-Weixin,hexsum,1200,https://github.com/hexsum/Mojo-Weixin
telebot,mullwar,1200,https://github.com/mullwar/telebot
hubcommander,Netflix,1200,https://github.com/Netflix/hubcommander
jbot,rampatra,1200,https://github.com/rampatra/jbot
Discord4J,Discord4J,1100,https://github.com/Discord4J/Discord4J
messenger-bot,remixz,1100,https://github.com/remixz/messenger-bot
modmail,kyb3r,1100,https://github.com/kyb3r/modmail
MikaLendingBot,BitBotFactory,1100,https://github.com/BitBotFactory/MikaLendingBot
rssbot,iovxw,1000,https://github.com/iovxw/rssbot
eris,abalabahaha,1000,https://github.com/abalabahaha/eris
securitybot,dropbox,993,https://github.com/dropbox/securitybot
openkore,OpenKore,990,https://github.com/OpenKore/openkore
botframework-solutions,microsoft,986,https://github.com/microsoft/botframework-solutions
whatsapp-framework,danielcardeenas,978,https://github.com/danielcardeenas/whatsapp-framework
inventory-hunter,EricJMarti,959,https://github.com/EricJMarti/inventory-hunter
botkube,infracloudio,943,https://github.com/infracloudio/botkube
sulla,danielcardeenas,941,https://github.com/danielcardeenas/sulla
facebook-messenger,jgorset,939,https://github.com/jgorset/facebook-messenger
automuteus,denverquane,921,https://github.com/denverquane/automuteus
NadekoBot,Kwoth,902,https://github.com/Kwoth/NadekoBot
java-telegram-bot-api,pengrad,901,https://github.com/pengrad/java-telegram-bot-api
bootbot,Charca,899,https://github.com/Charca/bootbot
smd,artyshko,899,https://github.com/artyshko/smd
scala-steward,scala-steward-org,851,https://github.com/scala-steward-org/scala-steward
ninjabot,rodrigo-brito,822,https://github.com/rodrigo-brito/ninjabot
informer,paulpierre,805,https://github.com/paulpierre/informer
seq2seq-chatbot,tensorlayer,788,https://github.com/tensorlayer/seq2seq-chatbot
auto-like-my-gf-insta-pic,gulzar1996,787,https://github.com/gulzar1996/auto-like-my-gf-insta-pic
wxbot,fritx,785,https://github.com/fritx/wxbot
Imgbot,dabutvin,767,https://github.com/dabutvin/Imgbot
fbi,xHak9x,760,https://github.com/xHak9x/fbi
derek,alexellis,736,https://github.com/alexellis/derek
DSharpPlus,DSharpPlus,736,https://github.com/DSharpPlus/DSharpPlus
Zabbix-in-Telegram,ableev,729,https://github.com/ableev/Zabbix-in-Telegram
integrations,broidHQ,725,https://github.com/broidHQ/integrations
line-bot-sdk-nodejs,line,719,https://github.com/line/line-bot-sdk-nodejs
HoshinoBot,Ice-Cirno,711,https://github.com/Ice-Cirno/HoshinoBot
aiva,kengz,705,https://github.com/kengz/aiva
WBOT,vasani-arpit,697,https://github.com/vasani-arpit/WBOT
kodiak,chdsbd,679,https://github.com/chdsbd/kodiak
line-bot-sdk-go,line,679,https://github.com/line/line-bot-sdk-go
algobot,ZENALC,675,https://github.com/ZENALC/algobot
voicy,backmeupplz,671,https://github.com/backmeupplz/voicy
discordrb,discordrb,666,https://github.com/discordrb/discordrb
botbuilder-dotnet,microsoft,664,https://github.com/microsoft/botbuilder-dotnet
Me_Bot,Spandan-Madan,655,https://github.com/Spandan-Madan/Me_Bot
wechat-bot,cixingguangming55555,646,https://github.com/cixingguangming55555/wechat-bot
betago,maxpumperla,644,https://github.com/maxpumperla/betago
guide,discordjs,632,https://github.com/discordjs/guide
onebot,botuniverse,622,https://github.com/botuniverse/onebot
line-bot-sdk-php,line,615,https://github.com/line/line-bot-sdk-php
hedwig,hedwig-im,612,https://github.com/hedwig-im/hedwig
Elixir-Slack,BlakeWilliams,600,https://github.com/BlakeWilliams/Elixir-Slack
nonebot2,nonebot,597,https://github.com/nonebot/nonebot2
bot,python-discord,587,https://github.com/python-discord/bot
OSIF,CiKu370,587,https://github.com/CiKu370/OSIF
vaccipy,iamnotturner,587,https://github.com/iamnotturner/vaccipy
MonitoRSS,synzen,587,https://github.com/synzen/MonitoRSS
PyMessager,enginebai,586,https://github.com/enginebai/PyMessager
