Repository Name,Username,Stars,URL
calculator,microsoft,22300,https://github.com/microsoft/calculator
corefx,dotnet,17900,https://github.com/dotnet/corefx
ShareX,ShareX,16600,https://github.com/ShareX/ShareX
WaveFunctionCollapse,mxgmn,16300,https://github.com/mxgmn/WaveFunctionCollapse
awesome-dotnet-core,thangchung,14800,https://github.com/thangchung/awesome-dotnet-core
roslyn,dotnet,14700,https://github.com/dotnet/roslyn
awesome-dotnet,quozd,13400,https://github.com/quozd/awesome-dotnet
Avalonia,AvaloniaUI,11600,https://github.com/AvaloniaUI/Avalonia
Files,files-community,11200,https://github.com/files-community/Files
APIJSON,Tencent,11200,https://github.com/Tencent/APIJSON
jellyfin,jellyfin,11100,https://github.com/jellyfin/jellyfin
antlr4,antlr,10300,https://github.com/antlr/antlr4
aspnetboilerplate,aspnetboilerplate,9700,https://github.com/aspnetboilerplate/aspnetboilerplate
OpenRA,OpenRA,9400,https://github.com/OpenRA/OpenRA
mono,mono,9400,https://github.com/mono/mono
pulumi,pulumi,9300,https://github.com/pulumi/pulumi
Ryujinx,Ryujinx,9200,https://github.com/Ryujinx/Ryujinx
thrift,apache,8500,https://github.com/apache/thrift
server,bitwarden,8000,https://github.com/bitwarden/server
MonoGame,MonoGame,7600,https://github.com/MonoGame/MonoGame
csharplang,dotnet,7200,https://github.com/dotnet/csharplang
graphql-code-generator,dotansimha,7200,https://github.com/dotansimha/graphql-code-generator
xLua,Tencent,6800,https://github.com/Tencent/xLua
ArchiSteamFarm,JustArchiNET,6800,https://github.com/JustArchiNET/ArchiSteamFarm
quicktype,quicktype,6700,https://github.com/quicktype/quicktype
ailab,microsoft,6600,https://github.com/microsoft/ailab
botframework-sdk,microsoft,6600,https://github.com/microsoft/botframework-sdk
abp,abpframework,6400,https://github.com/abpframework/abp
ReactiveUI,reactiveui,6400,https://github.com/reactiveui/ReactiveUI
leetcode,doocs,6100,https://github.com/doocs/leetcode
winsw,winsw,5900,https://github.com/winsw/winsw
privilege-escalation-awesome-scripts-suite,carlospolop,5800,https://github.com/carlospolop/privilege-escalation-awesome-scripts-suite
awesome-blazor,AdrienTorris,5500,https://github.com/AdrienTorris/awesome-blazor
gui.cs,migueldeicaza,5500,https://github.com/migueldeicaza/gui.cs
NLog,NLog,5100,https://github.com/NLog/NLog
uno,unoplatform,5000,https://github.com/unoplatform/uno
Bogus,bchavez,4600,https://github.com/bchavez/Bogus
FAQGURU,FAQGURU,4600,https://github.com/FAQGURU/FAQGURU
lively,rocksdanister,4500,https://github.com/rocksdanister/lively
NSwag,RicoSuter,4500,https://github.com/RicoSuter/NSwag
C-Sharp-Algorithms,aalhour,4400,https://github.com/aalhour/C-Sharp-Algorithms
WindowsCommunityToolkit,windows-toolkit,4300,https://github.com/windows-toolkit/WindowsCommunityToolkit
win-acme,win-acme,4200,https://github.com/win-acme/win-acme
EntityComponentSystemSamples,Unity-Technologies,4100,https://github.com/Unity-Technologies/EntityComponentSystemSamples
clean-code-dotnet,thangchung,4000,https://github.com/thangchung/clean-code-dotnet
microsoft-ui-xaml,microsoft,4000,https://github.com/microsoft/microsoft-ui-xaml
Game-Networking-Resources,MFatihMAR,3800,https://github.com/MFatihMAR/Game-Networking-Resources
Dependencies,lucasg,3800,https://github.com/lucasg/Dependencies
autorest,Azure,3500,https://github.com/Azure/autorest
Umbraco-CMS,umbraco,3400,https://github.com/umbraco/Umbraco-CMS
SimplCommerce,simplcommerce,3300,https://github.com/simplcommerce/SimplCommerce
Unity-Script-Collection,michidk,3300,https://github.com/michidk/Unity-Script-Collection
machinelearning-samples,dotnet,3300,https://github.com/dotnet/machinelearning-samples
stride,stride3d,3200,https://github.com/stride3d/stride
Playnite,JosefNemec,3200,https://github.com/JosefNemec/Playnite
SteamTools,SteamTools-Team,3100,https://github.com/SteamTools-Team/SteamTools
ClashDotNetFramework,ClashDotNetFramework,3100,https://github.com/ClashDotNetFramework/ClashDotNetFramework
DotnetSpider,dotnetcore,3100,https://github.com/dotnetcore/DotnetSpider
HandyControl,HandyOrg,2900,https://github.com/HandyOrg/HandyControl
docs,dotnet,2800,https://github.com/dotnet/docs
mobile,bitwarden,2800,https://github.com/bitwarden/mobile
awesome-wasm-langs,appcypher,2700,https://github.com/appcypher/awesome-wasm-langs
docfx,dotnet,2700,https://github.com/dotnet/docfx
Harmony,pardeike,2600,https://github.com/pardeike/Harmony
kaitai_struct,kaitai-io,2600,https://github.com/kaitai-io/kaitai_struct
mathnet-numerics,mathnet,2600,https://github.com/mathnet/mathnet-numerics
markdig,xoofx,2500,https://github.com/xoofx/markdig
AtomicGameEngine,AtomicGameEngine,2400,https://github.com/AtomicGameEngine/AtomicGameEngine
Windows-Auto-Night-Mode,Armin2208,2400,https://github.com/Armin2208/Windows-Auto-Night-Mode
ogre,OGRECave,2300,https://github.com/OGRECave/ogre
elsa-core,elsa-workflows,2300,https://github.com/elsa-workflows/elsa-core
Bridge,bridgedotnet,2200,https://github.com/bridgedotnet/Bridge
ModernWpf,Kinnara,2200,https://github.com/Kinnara/ModernWpf
MQTTnet,chkr1011,2200,https://github.com/chkr1011/MQTTnet
try,dotnet,2200,https://github.com/dotnet/try
Architecture,rafaelfgx,2100,https://github.com/rafaelfgx/Architecture
QFramework,liangxiegame,2100,https://github.com/liangxiegame/QFramework
WindowsAppSDK,microsoft,2100,https://github.com/microsoft/WindowsAppSDK
UniTask,Cysharp,2100,https://github.com/Cysharp/UniTask
Roslynator,JosefPihrt,2100,https://github.com/JosefPihrt/Roslynator
Vue.NetCore,cq-panda,2000,https://github.com/cq-panda/Vue.NetCore
