Repository Name,Username,Stars,URL
COVID-19,CSSEGISandData,27000,https://github.com/CSSEGISandData/COVID-19
covid19india-react,covid19india,6600,https://github.com/covid19india/covid19india-react
covid-19-data,nytimes,6500,https://github.com/nytimes/covid-19-data
covid19,tokyo-metropolitan-gov,6200,https://github.com/tokyo-metropolitan-gov/covid19
covid-19-data,owid,3900,https://github.com/owid/covid-19-data
COVID-19,pcm-dpc,3800,https://github.com/pcm-dpc/COVID-19
covid-chestxray-dataset,ieee8023,2700,https://github.com/ieee8023/covid-chestxray-dataset
app,WorldHealthOrganization,2100,https://github.com/WorldHealthOrganization/app
corona,geohot,2000,https://github.com/geohot/corona
corona-cli,ahmadawais,1700,https://github.com/ahmadawais/corona-cli
cwa-server,corona-warn-app,1700,https://github.com/corona-warn-app/cwa-server
coronavirus-tracker-api,ExpDev07,1500,https://github.com/ExpDev07/coronavirus-tracker-api
CoronaTracker,mhdhejazi,1400,https://github.com/mhdhejazi/CoronaTracker
awesome-coronavirus,soroushchehresa,1400,https://github.com/soroushchehresa/awesome-coronavirus
covid19_scenarios,neherlab,1400,https://github.com/neherlab/covid19_scenarios
covid19-dashboard,github,1300,https://github.com/github/covid19-dashboard
covid19,pomber,1200,https://github.com/pomber/covid19
coronavirus,FoldingAtHome,1100,https://github.com/FoldingAtHome/coronavirus
covid-19,datasets,1100,https://github.com/datasets/covid-19
tika-python,chrismattmann,1100,https://github.com/chrismattmann/tika-python
COVID-Net,lindawangg,990,https://github.com/lindawangg/COVID-Net
Face-Mask-Detection,chandrikadeb7,930,https://github.com/chandrikadeb7/Face-Mask-Detection
covid19model,ImperialCollegeLondon,927,https://github.com/ImperialCollegeLondon/covid19model
ESP32-Paxcounter,cyberman54,889,https://github.com/cyberman54/ESP32-Paxcounter
COVID-CT,UCSD-AI4H,859,https://github.com/UCSD-AI4H/COVID-CT
makair,makers-for-life,724,https://github.com/makers-for-life/makair
paperai,neuml,630,https://github.com/neuml/paperai
2019-wuhan-coronavirus-data,globalcitizen,627,https://github.com/globalcitizen/2019-wuhan-coronavirus-data
covid-vaccine-booking,pallupz,621,https://github.com/pallupz/covid-vaccine-booking
covidAPI,javieraviles,598,https://github.com/javieraviles/covidAPI
vaccipy,iamnotturner,587,https://github.com/iamnotturner/vaccipy
exposure-notifications-android,google,521,https://github.com/google/exposure-notifications-android
seirsplus,ryansmcgee,521,https://github.com/ryansmcgee/seirsplus
hamagen-react-native,MohGovIL,510,https://github.com/MohGovIL/hamagen-react-native
china-dictatorship,cirosantilli,487,https://github.com/cirosantilli/china-dictatorship
stayinghomeclub,phildini,481,https://github.com/phildini/stayinghomeclub
covid19-opendata-vaccini,italia,471,https://github.com/italia/covid19-opendata-vaccini
doctoshotgun,rbignon,470,https://github.com/rbignon/doctoshotgun
covidify,AaronWard,458,https://github.com/AaronWard/covidify
covid-policy-tracker,OxCGRT,455,https://github.com/OxCGRT/covid-policy-tracker
nCov2019,GuangchuangYu,421,https://github.com/GuangchuangYu/nCov2019
Schema.NET,RehanSaeed,401,https://github.com/RehanSaeed/Schema.NET
Datos-COVID19,MinCiencia,397,https://github.com/MinCiencia/Datos-COVID19
covid19br,wcota,374,https://github.com/wcota/covid19br
coronadatascraper,covidatlas,373,https://github.com/covidatlas/coronadatascraper
covid19-forecast-hub,reichlab,365,https://github.com/reichlab/covid19-forecast-hub
2019-ncov-japan,swsoyee,358,https://github.com/swsoyee/2019-ncov-japan
pneumonia,lispczz,354,https://github.com/lispczz/pneumonia
Social-Distancing-Analyser-COVID-19,Ank-Cha,345,https://github.com/Ank-Cha/Social-Distancing-Analyser-COVID-19
BERTweet,VinAIResearch,342,https://github.com/VinAIResearch/BERTweet
covidpass,covidpass-org,320,https://github.com/covidpass-org/covidpass
api-covid19-in,amodm,318,https://github.com/amodm/api-covid19-in
coronavirus,JohnCoene,315,https://github.com/JohnCoene/coronavirus
lungmask,JoHof,314,https://github.com/JoHof/lungmask
covid19,stevenliuyi,310,https://github.com/stevenliuyi/covid19
covid19-brazil-api,devarthurribeiro,307,https://github.com/devarthurribeiro/covid19-brazil-api
COVID-QA,deepset-ai,303,https://github.com/deepset-ai/COVID-QA
Covid19Canada,ccodwg,301,https://github.com/ccodwg/Covid19Canada
covid-19-open-data,GoogleCloudPlatform,300,https://github.com/GoogleCloudPlatform/covid-19-open-data
cowin-vaccination-slot-availability,bhattbhavesh91,295,https://github.com/bhattbhavesh91/cowin-vaccination-slot-availability
covidtrends,aatishb,291,https://github.com/aatishb/covidtrends
COVID19_imaging_AI_paper_list,HzFu,290,https://github.com/HzFu/COVID19_imaging_AI_paper_list
data,opencovid19-fr,290,https://github.com/opencovid19-fr/data
citf-public,CITF-Malaysia,287,https://github.com/CITF-Malaysia/citf-public
covid-19-repo-data,github,285,https://github.com/github/covid-19-repo-data
covid19-full-stack-application,anshumanpattnaik,280,https://github.com/anshumanpattnaik/covid19-full-stack-application
monoloco,vita-epfl,280,https://github.com/vita-epfl/monoloco
data,open-covid-19,279,https://github.com/open-covid-19/data
covid-vacuna,midudev,269,https://github.com/midudev/covid-vacuna
python_corona_simulation,paulvangentcom,268,https://github.com/paulvangentcom/python_corona_simulation
impf-botpy,alfonsrv,265,https://github.com/alfonsrv/impf-botpy
ncov_2019,fluttercandies,263,https://github.com/fluttercandies/ncov_2019
asreview,asreview,262,https://github.com/asreview/asreview
covidliste,hostolab,262,https://github.com/hostolab/covidliste
covid-19,trekhleb,250,https://github.com/trekhleb/covid-19
Corona-tracker,COVID-19-electronic-health-system,237,https://github.com/COVID-19-electronic-health-system/Corona-tracker
Coronavirus-Epidemic-COVID-19,YiranJing,236,https://github.com/YiranJing/Coronavirus-Epidemic-COVID-19
SORMAS-Project,hzi-braunschweig,232,https://github.com/hzi-braunschweig/SORMAS-Project
covid3d,wobsoriano,231,https://github.com/wobsoriano/covid3d
Pulse,nasa-jpl,231,https://github.com/nasa-jpl/Pulse
Youtube-Projects,ayushi7rawat,230,https://github.com/ayushi7rawat/Youtube-Projects
cert-covid19,cwoomi,228,https://github.com/cwoomi/cert-covid19
Epidemiology101,DataForScience,225,https://github.com/DataForScience/Epidemiology101
covid19za,dsfsi,223,https://github.com/dsfsi/covid19za
Open-Source-COVID-19,WeileiZeng,217,https://github.com/WeileiZeng/Open-Source-COVID-19
MaskedFace-Net,cabani,212,https://github.com/cabani/MaskedFace-Net
chime,CodeForPhilly,207,https://github.com/CodeForPhilly/chime
AmboVent,AmboVent-1690-108,207,https://github.com/AmboVent-1690-108/AmboVent
Inspire-OpenLung,Inspire-Poli-USP,195,https://github.com/Inspire-Poli-USP/Inspire-OpenLung
wuhan2019,lestweforget,192,https://github.com/lestweforget/wuhan2019
covidtesting,lachlanjc,190,https://github.com/lachlanjc/covidtesting
COVID19,covid19datahub,190,https://github.com/covid19datahub/COVID19
covid19-severity-prediction,Yu-Group,188,https://github.com/Yu-Group/covid19-severity-prediction
CurveFit,ihmeuw-msca,188,https://github.com/ihmeuw-msca/CurveFit
