Repository Name,Username,Stars,URL
bootstrap,twbs,152000,https://github.com/twbs/bootstrap
electron,electron,94400,https://github.com/electron/electron
animate.css,animate-css,71500,https://github.com/animate-css/animate.css
Font-Awesome,FortAwesome,65800,https://github.com/FortAwesome/Font-Awesome
Front-End-Checklist,thedaviddias,55000,https://github.com/thedaviddias/Front-End-Checklist
html5-boilerplate,h5bp,50900,https://github.com/h5bp/html5-boilerplate
tailwindcss,tailwindlabs,44500,https://github.com/tailwindlabs/tailwindcss
normalize.css,necolas,44400,https://github.com/necolas/normalize.css
bulma,jgthms,43900,https://github.com/jgthms/bulma
prettier,prettier,40100,https://github.com/prettier/prettier
anime,juliangarnier,39800,https://github.com/juliangarnier/anime
parcel,parcel-bundler,38600,https://github.com/parcel-bundler/parcel
materialize,Dogfalo,38500,https://github.com/Dogfalo/materialize
hyper,vercel,36200,https://github.com/vercel/hyper
styled-components,styled-components,34100,https://github.com/styled-components/styled-components
front-end-interview-handbook,yangshun,30400,https://github.com/yangshun/front-end-interview-handbook
Web-Dev-For-Beginners,microsoft,29100,https://github.com/microsoft/Web-Dev-For-Beginners
esbuild,evanw,25800,https://github.com/evanw/esbuild
postcss,postcss,24900,https://github.com/postcss/postcss
Hover,IanLunn,24700,https://github.com/IanLunn/Hover
layui,sentsin,23800,https://github.com/sentsin/layui
iview,iview,23800,https://github.com/iview/iview
tabler,tabler,23800,https://github.com/tabler/tabler
Daily-Interview-Question,Advanced-Frontend,23700,https://github.com/Advanced-Frontend/Daily-Interview-Question
pure,pure-css,21800,https://github.com/pure-css/pure
mdb-ui-kit,mdbootstrap,21300,https://github.com/mdbootstrap/mdb-ui-kit
scrollreveal,jlmakes,19800,https://github.com/jlmakes/scrollreveal
autoprefixer,postcss,19600,https://github.com/postcss/autoprefixer
css-protips,AllThingsSmitty,18700,https://github.com/AllThingsSmitty/css-protips
popmotion,Popmotion,18400,https://github.com/Popmotion/popmotion
fe-interview,haizlin,18200,https://github.com/haizlin/fe-interview
NES.css,nostalgic-css,17600,https://github.com/nostalgic-css/NES.css
less.js,less,16600,https://github.com/less/less.js
Web,qianguyihao,16500,https://github.com/qianguyihao/Web
material-components-web,material-components,15600,https://github.com/material-components/material-components-web
You-Dont-Need-JavaScript,you-dont-need,15600,https://github.com/you-dont-need/You-Dont-Need-JavaScript
ant-design-vue,vueComponent,14800,https://github.com/vueComponent/ant-design-vue
ratchet,twbs,14500,https://github.com/twbs/ratchet
30-seconds-of-css,30-seconds,14500,https://github.com/30-seconds/30-seconds-of-css
front-end-guide,grab,13800,https://github.com/grab/front-end-guide
amazeui,amazeui,13500,https://github.com/amazeui/amazeui
Front-End-Performance-Checklist,thedaviddias,13400,https://github.com/thedaviddias/Front-End-Performance-Checklist
emotion,emotion-js,13300,https://github.com/emotion-js/emotion
bootswatch,thomaspark,13000,https://github.com/thomaspark/bootswatch
WebFundamentals,google,12100,https://github.com/google/WebFundamentals
card,jessepollak,11300,https://github.com/jessepollak/card
bootstrap-table,wenzhixin,10900,https://github.com/wenzhixin/bootstrap-table
coreui-free-bootstrap-admin-template,coreui,10900,https://github.com/coreui/coreui-free-bootstrap-admin-template
tachyons,tachyons-css,10800,https://github.com/tachyons-css/tachyons
spectre,picturepan2,10800,https://github.com/picturepan2/spectre
stylus,stylus,10700,https://github.com/stylus/stylus
tabler-icons,tabler,10500,https://github.com/tabler/tabler-icons
frontend-bootcamp,microsoft,10400,https://github.com/microsoft/frontend-bootcamp
css,primer,10400,https://github.com/primer/css
iCSS,chokcoco,10300,https://github.com/chokcoco/iCSS
chinese-copywriting-guidelines,sparanoid,9800,https://github.com/sparanoid/chinese-copywriting-guidelines
photon,connors,9700,https://github.com/connors/photon
GitHub-Dark,StylishThemes,9500,https://github.com/StylishThemes/GitHub-Dark
material-design-for-bootstrap,mdbootstrap,9500,https://github.com/mdbootstrap/material-design-for-bootstrap
milligram,milligram,9400,https://github.com/milligram/milligram
blog,yygmind,9400,https://github.com/yygmind/blog
critical,addyosmani,9100,https://github.com/addyosmani/critical
cdnjs,cdnjs,9100,https://github.com/cdnjs/cdnjs
uncss,uncss,9100,https://github.com/uncss/uncss
bourbon,thoughtbot,9000,https://github.com/thoughtbot/bourbon
30-seconds-of-interviews,30-seconds,9000,https://github.com/30-seconds/30-seconds-of-interviews
jsoup,jhy,8900,https://github.com/jhy/jsoup
stylelint,stylelint,8900,https://github.com/stylelint/stylelint
jupyter-themes,dunovank,8600,https://github.com/dunovank/jupyter-themes
habitica,HabitRPG,8400,https://github.com/HabitRPG/habitica
ant-design-vue-pro,vueComponent,8400,https://github.com/vueComponent/ant-design-vue-pro
MathJax,mathjax,8300,https://github.com/mathjax/MathJax
hint.css,chinchang,8100,https://github.com/chinchang/hint.css
dompdf,dompdf,8100,https://github.com/dompdf/dompdf
lax.js,alexfoxy,8000,https://github.com/alexfoxy/lax.js
blog,jawil,7800,https://github.com/jawil/blog
linaria,callstack,7700,https://github.com/callstack/linaria
css.gg,astrit,7700,https://github.com/astrit/css.gg
flag-icon-css,lipis,7600,https://github.com/lipis/flag-icon-css
dom-to-image,tsayen,7500,https://github.com/tsayen/dom-to-image
rebass,rebassjs,7400,https://github.com/rebassjs/rebass
js-beautify,beautify-web,7300,https://github.com/beautify-web/js-beautify
magic,miniMAC,7100,https://github.com/miniMAC/magic
styled-system,styled-system,6900,https://github.com/styled-system/styled-system
timesheet.js,sbstjn,6900,https://github.com/sbstjn/timesheet.js
css-selector,symfony,6800,https://github.com/symfony/css-selector
Metro-UI-CSS,olton,6800,https://github.com/olton/Metro-UI-CSS
awesome-tailwindcss,aniftyco,6800,https://github.com/aniftyco/awesome-tailwindcss
Blog,ljianshu,6600,https://github.com/ljianshu/Blog
jss,cssinjs,6400,https://github.com/cssinjs/jss
nopCommerce,nopSolutions,6400,https://github.com/nopSolutions/nopCommerce
hamburgers,jonsuh,6400,https://github.com/jonsuh/hamburgers
styled-jsx,vercel,6400,https://github.com/vercel/styled-jsx
water.css,kognise,6400,https://github.com/kognise/water.css
css-blocks,linkedin,6300,https://github.com/linkedin/css-blocks
purgecss,FullHuman,6300,https://github.com/FullHuman/purgecss
clarity,vmware,6300,https://github.com/vmware/clarity
98.css,jdan,6000,https://github.com/jdan/98.css
capacitor,ionic-team,5900,https://github.com/ionic-team/capacitor
tailblocks,mertJF,5800,https://github.com/mertJF/tailblocks
react-nodegui,nodegui,5800,https://github.com/nodegui/react-nodegui
animateplus,bendc,5800,https://github.com/bendc/animateplus
cssfx,jolaleye,5700,https://github.com/jolaleye/cssfx
basscss,basscss,5600,https://github.com/basscss/basscss
emmet-vim,mattn,5600,https://github.com/mattn/emmet-vim
WebSlides,webslides,5600,https://github.com/webslides/WebSlides
ramjet,Rich-Harris,5400,https://github.com/Rich-Harris/ramjet
magic-of-css,adamschwartz,5400,https://github.com/adamschwartz/magic-of-css
postcss-cssnext,MoOx,5400,https://github.com/MoOx/postcss-cssnext
uiGradients,ghosh,5300,https://github.com/ghosh/uiGradients
aphrodite,Khan,5200,https://github.com/Khan/aphrodite
flexboxfroggy,thomaspark,5100,https://github.com/thomaspark/flexboxfroggy
split,nathancahill,5000,https://github.com/nathancahill/split
getbem.com,getbem,5000,https://github.com/getbem/getbem.com
bootstrap-fileinput,kartik-v,5000,https://github.com/kartik-v/bootstrap-fileinput
tufte-css,edwardtufte,4900,https://github.com/edwardtufte/tufte-css
balloon.css,kazzkiq,4800,https://github.com/kazzkiq/balloon.css
FAQGURU,FAQGURU,4600,https://github.com/FAQGURU/FAQGURU
neat,thoughtbot,4500,https://github.com/thoughtbot/neat
sanitize.css,csstools,4500,https://github.com/csstools/sanitize.css
