Repository Name,Username,Stars,URL
bypass-paywalls-chrome,iamadamdev,17000,https://github.com/iamadamdev/bypass-paywalls-chrome
refined-github,sindresorhus,14900,https://github.com/sindresorhus/refined-github
headless-recorder,checkly,13100,https://github.com/checkly/headless-recorder
codelf,unbug,11500,https://github.com/unbug/codelf
darkreader,darkreader,10500,https://github.com/darkreader/darkreader
listen1_chrome_extension,listen1,7600,https://github.com/listen1/listen1_chrome_extension
dejavu,appbaseio,7400,https://github.com/appbaseio/dejavu
screenity,alyssaxuu,5700,https://github.com/alyssaxuu/screenity
simpread,Kenshin,4800,https://github.com/Kenshin/simpread
medium-unlimited,manojVivek,4000,https://github.com/manojVivek/medium-unlimited
buster,dessant,3800,https://github.com/dessant/buster
daily,dailydotdev,3600,https://github.com/dailydotdev/daily
rails_panel,dejan,3600,https://github.com/dejan/rails_panel
FeHelper,zxlie,3600,https://github.com/zxlie/FeHelper
bilibili-helper-o,bilibili-helper,3600,https://github.com/bilibili-helper/bilibili-helper-o
altair,altair-graphql,3500,https://github.com/altair-graphql/altair
SingleFile,gildas-lormeau,3500,https://github.com/gildas-lormeau/SingleFile
stylus,openstyles,3400,https://github.com/openstyles/stylus
gmail.js,KartikTalwar,3400,https://github.com/KartikTalwar/gmail.js
crx-selection-translate,lmk123,3300,https://github.com/lmk123/crx-selection-translate
Reddit-Enhancement-Suite,honestbleeps,3200,https://github.com/honestbleeps/Reddit-Enhancement-Suite
Memex,WorldBrain,3100,https://github.com/WorldBrain/Memex
pangu.js,vinta,3100,https://github.com/vinta/pangu.js
jjb,sunoj,3000,https://github.com/sunoj/jjb
web-clipper,webclipper,2900,https://github.com/webclipper/web-clipper
extension-boilerplate,EmailThis,2900,https://github.com/EmailThis/extension-boilerplate
retire.js,RetireJS,2800,https://github.com/RetireJS/retire.js
SponsorBlock,ajayyy,2600,https://github.com/ajayyy/SponsorBlock
GhostText,fregante,2500,https://github.com/fregante/GhostText
json-viewer,tulios,2400,https://github.com/tulios/json-viewer
Hack-Tools,LasCC,2400,https://github.com/LasCC/Hack-Tools
PT-Plugin-Plus,ronggang,2400,https://github.com/ronggang/PT-Plugin-Plus
floccus,floccusaddon,2300,https://github.com/floccusaddon/floccus
react-perf-devtool,nitin42,2300,https://github.com/nitin42/react-perf-devtool
ReplaceGoogleCDN,justjavac,2200,https://github.com/justjavac/ReplaceGoogleCDN
privacybadger,EFForg,2200,https://github.com/EFForg/privacybadger
awesome-browser-extensions-for-github,stefanbuck,2200,https://github.com/stefanbuck/awesome-browser-extensions-for-github
chromium-vim,1995eaton,2100,https://github.com/1995eaton/chromium-vim
mirage,appbaseio,2100,https://github.com/appbaseio/mirage
githunt,kamranahmedse,2100,https://github.com/kamranahmedse/githunt
RSSHub-Radar,DIYgod,2000,https://github.com/DIYgod/RSSHub-Radar
web-maker,chinchang,2000,https://github.com/chinchang/web-maker
TimeCat,oct16,1900,https://github.com/oct16/TimeCat
gas-github,leonhartX,1800,https://github.com/leonhartX/gas-github
notes,guanguans,1800,https://github.com/guanguans/notes
metastream,samuelmaddock,1800,https://github.com/samuelmaddock/metastream
web-scrobbler,web-scrobbler,1700,https://github.com/web-scrobbler/web-scrobbler
simplify,leggett,1600,https://github.com/leggett/simplify
github-hovercard,Justineo,1600,https://github.com/Justineo/github-hovercard
NoCoin,keraf,1600,https://github.com/keraf/NoCoin
Universal-Bypass,Sainan,1600,https://github.com/Sainan/Universal-Bypass
funds,x2rr,1600,https://github.com/x2rr/funds
dadda-translate-crx,waynecz,1500,https://github.com/waynecz/dadda-translate-crx
ipfs-companion,ipfs,1400,https://github.com/ipfs/ipfs-companion
seckill,gongjunhao,1400,https://github.com/gongjunhao/seckill
chrome-extension-webpack-boilerplate,samuelsimoes,1400,https://github.com/samuelsimoes/chrome-extension-webpack-boilerplate
YouTube-Extension,code4charity,1400,https://github.com/code4charity/YouTube-Extension
notifier-for-github,sindresorhus,1300,https://github.com/sindresorhus/notifier-for-github
PixivBatchDownloader,xuejianxianzun,1300,https://github.com/xuejianxianzun/PixivBatchDownloader
enhanced-github,softvar,1300,https://github.com/softvar/enhanced-github
refined-twitter,sindresorhus,1300,https://github.com/sindresorhus/refined-twitter
chrome-extensions-examples,orbitbot,1300,https://github.com/orbitbot/chrome-extensions-examples
pakku.js,xmcp,1300,https://github.com/xmcp/pakku.js
apollo-client-devtools,apollographql,1300,https://github.com/apollographql/apollo-client-devtools
AWSConsoleRecorder,iann0036,1200,https://github.com/iann0036/AWSConsoleRecorder
better-onetab,cnwangjie,1200,https://github.com/cnwangjie/better-onetab
webext-redux,tshaddix,1100,https://github.com/tshaddix/webext-redux
Authenticator,Authenticator-Extension,1100,https://github.com/Authenticator-Extension/Authenticator
Gitako,EnixCoda,1100,https://github.com/EnixCoda/Gitako
EdgeTranslate,EdgeTranslate,1100,https://github.com/EdgeTranslate/EdgeTranslate
