Repository Name,Username,Stars,URL
metabase,metabase,25300,https://github.com/metabase/metabase
deeplearning4j,eclipse,12100,https://github.com/eclipse/deeplearning4j
LightTable,LightTable,11600,https://github.com/LightTable/LightTable
awesomo,lk-geimfari,8000,https://github.com/lk-geimfari/awesomo
mal,kanaka,8000,https://github.com/kanaka/mal
logseq,logseq,4800,https://github.com/logseq/logseq
penpot,penpot,4500,https://github.com/penpot/penpot
reagent,reagent-project,4300,https://github.com/reagent-project/reagent
datascript,tonsky,4200,https://github.com/tonsky/datascript
riemann,riemann,4100,https://github.com/riemann/riemann
compojure,weavejester,3900,https://github.com/weavejester/compojure
clojure-style-guide,bbatsov,3700,https://github.com/bbatsov/clojure-style-guide
intellij-rainbow-brackets,izhangzhihao,3600,https://github.com/izhangzhihao/intellij-rainbow-brackets
ring,ring-clojure,3300,https://github.com/ring-clojure/ring
status-react,status-im,3200,https://github.com/status-im/status-react
cider,clojure-emacs,3200,https://github.com/clojure-emacs/cider
lein-figwheel,bhauman,2900,https://github.com/bhauman/lein-figwheel
Rich-Hickey-fanclub,tallesl,2700,https://github.com/tallesl/Rich-Hickey-fanclub
klipse,viebel,2600,https://github.com/viebel/klipse
beakerx,twosigma,2600,https://github.com/twosigma/beakerx
pedestal,pedestal,2400,https://github.com/pedestal/pedestal
hiccup,weavejester,2300,https://github.com/weavejester/hiccup
http-kit,http-kit,2200,https://github.com/http-kit/http-kit
awesome-clojure,razum2um,2200,https://github.com/razum2um/awesome-clojure
babashka,babashka,2100,https://github.com/babashka/babashka
onyx,onyx-platform,2000,https://github.com/onyx-platform/onyx
lumo,anmonteiro,1800,https://github.com/anmonteiro/lumo
boot,boot-clj,1700,https://github.com/boot-clj/boot
defold,defold,1700,https://github.com/defold/defold
sente,ptaoussanis,1600,https://github.com/ptaoussanis/sente
lacinia,walmartlabs,1600,https://github.com/walmartlabs/lacinia
Arcadia,arcadia-unity,1600,https://github.com/arcadia-unity/Arcadia
closh,dundalek,1500,https://github.com/dundalek/closh
nodebook,netgusto,1500,https://github.com/netgusto/nodebook
clojerl,clojerl,1400,https://github.com/clojerl/clojerl
crux,juxt,1400,https://github.com/juxt/crux
konstellate,jeremykross,1400,https://github.com/jeremykross/konstellate
timbre,ptaoussanis,1300,https://github.com/ptaoussanis/timbre
liberator,clojure-liberator,1200,https://github.com/clojure-liberator/liberator
lux,LuxLang,1200,https://github.com/LuxLang/lux
ultra,venantius,1200,https://github.com/venantius/ultra
datahike,replikativ,1200,https://github.com/replikativ/datahike
garden,noprompt,1200,https://github.com/noprompt/garden
joker,candid82,1200,https://github.com/candid82/joker
clj-kondo,clj-kondo,1200,https://github.com/clj-kondo/clj-kondo
frontend,CircleCI-Archived,1200,https://github.com/CircleCI-Archived/frontend
mount,tolitius,1100,https://github.com/tolitius/mount
compojure-api,metosin,1100,https://github.com/metosin/compojure-api
duct,duct-framework,1000,https://github.com/duct-framework/duct
carmine,ptaoussanis,1000,https://github.com/ptaoussanis/carmine
nginx-clojure,nginx-clojure,976,https://github.com/nginx-clojure/nginx-clojure
reitit,metosin,956,https://github.com/metosin/reitit
bidi,juxt,944,https://github.com/juxt/bidi
cryogen,cryogen-project,942,https://github.com/cryogen-project/cryogen
neanderthal,uncomplicate,935,https://github.com/uncomplicate/neanderthal
ferret,nakkaya,906,https://github.com/nakkaya/ferret
integrant,weavejester,904,https://github.com/weavejester/integrant
cljfmt,weavejester,895,https://github.com/weavejester/cljfmt
lispy,abo-abo,894,https://github.com/abo-abo/lispy
pulsar,puniverse,885,https://github.com/puniverse/pulsar
awesome-clojurescript,hantuzun,878,https://github.com/hantuzun/awesome-clojurescript
liquid,mogenslund,874,https://github.com/mogenslund/liquid
environ,weavejester,857,https://github.com/weavejester/environ
clojuredocs,zk,852,https://github.com/zk/clojuredocs
nippy,ptaoussanis,851,https://github.com/ptaoussanis/nippy
Selmer,yogthos,832,https://github.com/yogthos/Selmer
expound,bhb,820,https://github.com/bhb/expound
clojure-mode,clojure-emacs,807,https://github.com/clojure-emacs/clojure-mode
restQL-http,b2wdigital,795,https://github.com/b2wdigital/restQL-http
malli,metosin,782,https://github.com/metosin/malli
packages,cljsjs,766,https://github.com/cljsjs/packages
libpython-clj,clj-python,721,https://github.com/clj-python/libpython-clj
yada,juxt,716,https://github.com/juxt/yada
clj-refactor.el,clojure-emacs,705,https://github.com/clojure-emacs/clj-refactor.el
sci,borkdude,683,https://github.com/borkdude/sci
oz,metasoarous,683,https://github.com/metasoarous/oz
sablono,r0man,674,https://github.com/r0man/sablono
conjure,Olical,669,https://github.com/Olical/conjure
cljfx,cljfx,666,https://github.com/cljfx/cljfx
lambdacd,flosell,656,https://github.com/flosell/lambdacd
medley,weavejester,645,https://github.com/weavejester/medley
functional-programming-learning-path,leandrotk,644,https://github.com/leandrotk/functional-programming-learning-path
etaoin,igrishaev,637,https://github.com/igrishaev/etaoin
precept,CoNarrative,633,https://github.com/CoNarrative/precept
clojure-lsp,clojure-lsp,620,https://github.com/clojure-lsp/clojure-lsp
clojurecademy,clojurecademy,600,https://github.com/clojurecademy/clojurecademy
codox,weavejester,594,https://github.com/weavejester/codox
luminus-template,luminus-framework,586,https://github.com/luminus-framework/luminus-template
rebel-readline,bhauman,581,https://github.com/bhauman/rebel-readline
orchestra,jeaye,576,https://github.com/jeaye/orchestra
cljs-electron,Gonzih,574,https://github.com/Gonzih/cljs-electron
ghostwheel,gnl,562,https://github.com/gnl/ghostwheel
cider-nrepl,clojure-emacs,551,https://github.com/clojure-emacs/cider-nrepl
spec-tools,metosin,538,https://github.com/metosin/spec-tools
figwheel-main,bhauman,535,https://github.com/bhauman/figwheel-main
ragtime,weavejester,530,https://github.com/weavejester/ragtime
docjure,mjul,529,https://github.com/mjul/docjure
aero,juxt,524,https://github.com/juxt/aero
assistant,29decibel,519,https://github.com/29decibel/assistant
nrepl,nrepl,507,https://github.com/nrepl/nrepl
sicmutils,sicmutils,506,https://github.com/sicmutils/sicmutils
spec-provider,stathissideris,494,https://github.com/stathissideris/spec-provider
pretty,AvisoNovate,489,https://github.com/AvisoNovate/pretty
lein-ring,weavejester,488,https://github.com/weavejester/lein-ring
toucan,metabase,475,https://github.com/metabase/toucan
reveal,vlaaad,474,https://github.com/vlaaad/reveal
edge,juxt,471,https://github.com/juxt/edge
fipp,brandonbloom,463,https://github.com/brandonbloom/fipp
acha,someteam,459,https://github.com/someteam/acha
piggieback,nrepl,455,https://github.com/nrepl/piggieback
coast,coast-framework,450,https://github.com/coast-framework/coast
monger,michaelklishin,448,https://github.com/michaelklishin/monger
meiro,defndaines,447,https://github.com/defndaines/meiro
datalevin,juji-io,442,https://github.com/juji-io/datalevin
defun,killme2008,436,https://github.com/killme2008/defun
cljdoc,cljdoc,433,https://github.com/cljdoc/cljdoc
hyperfiddle,hyperfiddle,431,https://github.com/hyperfiddle/hyperfiddle
tupelo,cloojure,428,https://github.com/cloojure/tupelo
chocolatier,alexkehayias,422,https://github.com/alexkehayias/chocolatier
fluokitten,uncomplicate,420,https://github.com/uncomplicate/fluokitten
