Repository Name,Username,Stars,URL
infer,facebook,12400,https://github.com/facebook/infer
static-analysis,analysis-tools-dev,8800,https://github.com/analysis-tools-dev/static-analysis
checkstyle,checkstyle,6100,https://github.com/checkstyle/checkstyle
sonarqube,SonarSource,5900,https://github.com/SonarSource/sonarqube
pyre-check,facebook,5500,https://github.com/facebook/pyre-check
awesome-guidelines,Kristories,4700,https://github.com/Kristories/awesome-guidelines
simplecov,simplecov-ruby,4300,https://github.com/simplecov-ruby/simplecov
grumphp,phpro,3500,https://github.com/phpro/grumphp
pmd,pmd,3500,https://github.com/pmd/pmd
reviewdog,reviewdog,3500,https://github.com/reviewdog/reviewdog
pylint,PyCQA,3400,https://github.com/PyCQA/pylint
HTMLHint,htmlhint,2600,https://github.com/htmlhint/HTMLHint
codeclimate,codeclimate,2200,https://github.com/codeclimate/codeclimate
jscpd,kucherenko,2200,https://github.com/kucherenko/jscpd
state-of-the-art-shitcode,trekhleb,1900,https://github.com/trekhleb/state-of-the-art-shitcode
piranha,uber,1800,https://github.com/uber/piranha
wemake-python-styleguide,wemake-services,1500,https://github.com/wemake-services/wemake-python-styleguide
cross-platform-node-guide,ehmicky,1200,https://github.com/ehmicky/cross-platform-node-guide
typewiz,urish,1100,https://github.com/urish/typewiz
feflow,Tencent,988,https://github.com/Tencent/feflow
phpqa,jakzal,927,https://github.com/jakzal/phpqa
unused,joshuaclayton,877,https://github.com/joshuaclayton/unused
SonarTS,SonarSource,777,https://github.com/SonarSource/SonarTS
Imgbot,dabutvin,767,https://github.com/dabutvin/Imgbot
android-guidelines,bufferapp,762,https://github.com/bufferapp/android-guidelines
pdepend,pdepend,753,https://github.com/pdepend/pdepend
SonarJS,SonarSource,725,https://github.com/SonarSource/SonarJS
ComposerRequireChecker,maglnet,590,https://github.com/maglnet/ComposerRequireChecker
undercover,grodowski,582,https://github.com/grodowski/undercover
sourcery,sourcery-ai,563,https://github.com/sourcery-ai/sourcery
vim-disapprove-deep-indentation,dodie,563,https://github.com/dodie/vim-disapprove-deep-indentation
flake8-bugbear,PyCQA,557,https://github.com/PyCQA/flake8-bugbear
pep8speaks,OrkoHunter,555,https://github.com/OrkoHunter/pep8speaks
PhpDependencyAnalysis,mamuz,522,https://github.com/mamuz/PhpDependencyAnalysis
enlightn,enlightn,497,https://github.com/enlightn/enlightn
sonar-dotnet,SonarSource,487,https://github.com/SonarSource/sonar-dotnet
log-process-errors,ehmicky,424,https://github.com/ehmicky/log-process-errors
sonar-kotlin,detekt,421,https://github.com/detekt/sonar-kotlin
solhint,protofire,414,https://github.com/protofire/solhint
gradle-static-analysis-plugin,novoda,404,https://github.com/novoda/gradle-static-analysis-plugin
Taylor,yopeso,300,https://github.com/yopeso/Taylor
sonar-php,SonarSource,299,https://github.com/SonarSource/sonar-php
gradle-code-quality-tools-plugin,vanniktech,290,https://github.com/vanniktech/gradle-code-quality-tools-plugin
code-review-checklist,mgreiler,287,https://github.com/mgreiler/code-review-checklist
interrogate,econchick,286,https://github.com/econchick/interrogate
wotan,fimbullinter,277,https://github.com/fimbullinter/wotan
typos,crate-ci,261,https://github.com/crate-ci/typos
skunk,fastruby,254,https://github.com/fastruby/skunk
vim-fibo-indent,dodie,249,https://github.com/dodie/vim-fibo-indent
github-action,coverallsapp,240,https://github.com/coverallsapp/github-action
mega-linter,nvuillam,237,https://github.com/nvuillam/mega-linter
DongTaiDoc,HXSecurity,231,https://github.com/HXSecurity/DongTaiDoc
flakehell,life4,224,https://github.com/life4/flakehell
tslint-react-hooks,Gelio,220,https://github.com/Gelio/tslint-react-hooks
dotenv-linter,wemake-services,215,https://github.com/wemake-services/dotenv-linter
gradle-baseline,palantir,209,https://github.com/palantir/gradle-baseline
flake8-eradicate,wemake-services,192,https://github.com/wemake-services/flake8-eradicate
Modern-CPP-Programming,federico-busato,191,https://github.com/federico-busato/Modern-CPP-Programming
parcel-plugin-typescript,fathyb,176,https://github.com/fathyb/parcel-plugin-typescript
detekt-intellij-plugin,detekt,160,https://github.com/detekt/detekt-intellij-plugin
CFLint,cflint,158,https://github.com/cflint/CFLint
single_cov,grosser,154,https://github.com/grosser/single_cov
attractor,julianrubisch,150,https://github.com/julianrubisch/attractor
gradle-pitest-plugin,szpak,150,https://github.com/szpak/gradle-pitest-plugin
elm-review,jfmengels,148,https://github.com/jfmengels/elm-review
editorconfig-checker,editorconfig-checker,139,https://github.com/editorconfig-checker/editorconfig-checker
goreadme,posener,129,https://github.com/posener/goreadme
js-cpa,vigneshshanmugam,123,https://github.com/vigneshshanmugam/js-cpa
pkgnet,uptake,116,https://github.com/uptake/pkgnet
coveralls-ruby,lemurheavy,116,https://github.com/lemurheavy/coveralls-ruby
PSCodeHealth,MathieuBuisson,106,https://github.com/MathieuBuisson/PSCodeHealth
platform,codeclimate,104,https://github.com/codeclimate/platform
unrequired,spencermountain,96,https://github.com/spencermountain/unrequired
checksyntax_vim,tomtom,93,https://github.com/tomtom/checksyntax_vim
test-each,ehmicky,92,https://github.com/ehmicky/test-each
prettier_action,creyD,92,https://github.com/creyD/prettier_action
codeclimate-duplication,codeclimate,92,https://github.com/codeclimate/codeclimate-duplication
php-code-quality,adamculp,92,https://github.com/adamculp/php-code-quality
ruby-test-reporter,codeclimate,91,https://github.com/codeclimate/ruby-test-reporter
docker-image-size-limit,wemake-services,87,https://github.com/wemake-services/docker-image-size-limit
code-assert,nidi3,85,https://github.com/nidi3/code-assert
typo3scan,Tuurlijk,85,https://github.com/Tuurlijk/typo3scan
import_sorter,fluttercommunity,83,https://github.com/fluttercommunity/import_sorter
Hippo,HippoPHP,82,https://github.com/HippoPHP/Hippo
puppet-ghostbuster,camptocamp,81,https://github.com/camptocamp/puppet-ghostbuster
decent-code,robatwilliams,79,https://github.com/robatwilliams/decent-code
codeclimate-eslint,codeclimate,78,https://github.com/codeclimate/codeclimate-eslint
eslint-config-hardcore,EvgenyOrekhov,75,https://github.com/EvgenyOrekhov/eslint-config-hardcore
eclipse-cs,checkstyle,73,https://github.com/checkstyle/eclipse-cs
boot-check,tolitius,70,https://github.com/tolitius/boot-check
javascript-test-reporter,codeclimate,67,https://github.com/codeclimate/javascript-test-reporter
sonarqube-action,kitabisa,65,https://github.com/kitabisa/sonarqube-action
flake8-broken-line,wemake-services,64,https://github.com/wemake-services/flake8-broken-line
gradle-pitest-plugin,koral--,63,https://github.com/koral--/gradle-pitest-plugin
codesheriff,mauricioaniche,62,https://github.com/mauricioaniche/codesheriff
Duplo,dlidstrom,60,https://github.com/dlidstrom/Duplo
eslint-config-ivweb,feflow,59,https://github.com/feflow/eslint-config-ivweb
terraform-validator,thazelart,58,https://github.com/thazelart/terraform-validator
homplexity,migamake,58,https://github.com/migamake/homplexity
detekt-hint,Mkohm,58,https://github.com/Mkohm/detekt-hint
effective-code-review,jspahrsummers,57,https://github.com/jspahrsummers/effective-code-review
wemake-frontend-styleguide,wemake-services,54,https://github.com/wemake-services/wemake-frontend-styleguide
editorconfig-checker.javascript,editorconfig-checker,53,https://github.com/editorconfig-checker/editorconfig-checker.javascript
DongTai,HXSecurity,52,https://github.com/HXSecurity/DongTai
eslint-plugin-protractor,alecxe,51,https://github.com/alecxe/eslint-plugin-protractor
code-review-good-practices,viniciusalonso,50,https://github.com/viniciusalonso/code-review-good-practices
codeclimate-rubocop,codeclimate,49,https://github.com/codeclimate/codeclimate-rubocop
becoming-a-expert-python,brunocampos01,49,https://github.com/brunocampos01/becoming-a-expert-python
flake8-aaa,jamescooke,44,https://github.com/jamescooke/flake8-aaa
editorconfig-checker.php,editorconfig-checker,43,https://github.com/editorconfig-checker/editorconfig-checker.php
sonar-css-plugin,racodond,42,https://github.com/racodond/sonar-css-plugin
kotlin-on-code-quality-tools,vanniktech,40,https://github.com/vanniktech/kotlin-on-code-quality-tools
flake8-simplify,MartinThoma,40,https://github.com/MartinThoma/flake8-simplify
silverstripe-ideannotator,silverleague,40,https://github.com/silverleague/silverstripe-ideannotator
concourse-sonarqube-resource,cathive,36,https://github.com/cathive/concourse-sonarqube-resource
static-code-analysis-plugin,Monits,35,https://github.com/Monits/static-code-analysis-plugin
ansible-role-sonar,geerlingguy,35,https://github.com/geerlingguy/ansible-role-sonar
vscode-extension,DeepCodeAI,35,https://github.com/DeepCodeAI/vscode-extension
vile,forthright,35,https://github.com/forthright/vile
github-action,codeinspectorio,34,https://github.com/codeinspectorio/github-action
