Repository Name,Username,Stars,URL
octotree,ovity,21400,https://github.com/ovity/octotree
danger,danger,4500,https://github.com/danger/danger
gitpod,gitpod-io,4400,https://github.com/gitpod-io/gitpod
danger-js,danger,3900,https://github.com/danger/danger-js
reviewdog,reviewdog,3500,https://github.com/reviewdog/reviewdog
awesome-code-review,joho,3000,https://github.com/joho/awesome-code-review
hound,houndci,1900,https://github.com/houndci/hound
nodejsscan,ajinabraham,1800,https://github.com/ajinabraham/nodejsscan
mutant,mbj,1700,https://github.com/mbj/mutant
vscode-pull-request-github,microsoft,1600,https://github.com/microsoft/vscode-pull-request-github
cargo-crev,crev-dev,1400,https://github.com/crev-dev/cargo-crev
reviewboard,reviewboard,1400,https://github.com/reviewboard/reviewboard
python_sec,bit4woo,959,https://github.com/bit4woo/python_sec
code-review-tips,ryanmcdermott,943,https://github.com/ryanmcdermott/code-review-tips
java-concurrency,code-review-checklists,908,https://github.com/code-review-checklists/java-concurrency
Audit-Learning,jiangsir404,784,https://github.com/jiangsir404/Audit-Learning
codestream,TeamCodeStream,583,https://github.com/TeamCodeStream/codestream
enlightn,enlightn,497,https://github.com/enlightn/enlightn
gerrit-intellij-plugin,uwolfer,421,https://github.com/uwolfer/gerrit-intellij-plugin
policy-bot,palantir,382,https://github.com/palantir/policy-bot
cpp-project,bsamseth,368,https://github.com/bsamseth/cpp-project
diffr,mookid,363,https://github.com/mookid/diffr
static-review,sjparkinson,330,https://github.com/sjparkinson/static-review
raptor,dpnishant,321,https://github.com/dpnishant/raptor
code-review-checklist,mgreiler,287,https://github.com/mgreiler/code-review-checklist
shiba,burrito-brothers,282,https://github.com/burrito-brothers/shiba
github-review,charignon,239,https://github.com/charignon/github-review
lookout,src-d,143,https://github.com/src-d/lookout
gerrit-rest-java-client,uwolfer,134,https://github.com/uwolfer/gerrit-rest-java-client
owasp-orizon,thesp0nge,134,https://github.com/thesp0nge/owasp-orizon
FastLint-Issues,feramhq,123,https://github.com/feramhq/FastLint-Issues
reviews,apoclyps,121,https://github.com/apoclyps/reviews
RepoSense,reposense,114,https://github.com/reposense/RepoSense
go-concurrency,code-review-checklists,113,https://github.com/code-review-checklists/go-concurrency
ReviewBot,reviewboard,100,https://github.com/reviewboard/ReviewBot
all-about-code-review,mgreiler,96,https://github.com/mgreiler/all-about-code-review
ruby-saddler,packsaddle,93,https://github.com/packsaddle/ruby-saddler
code-review,training-center,85,https://github.com/training-center/code-review
fixCache,aavshr,81,https://github.com/aavshr/fixCache
decent-code,robatwilliams,79,https://github.com/robatwilliams/decent-code
code-review-emoji-guide,erikthedeveloper,79,https://github.com/erikthedeveloper/code-review-emoji-guide
git-autofixup,torbiak,76,https://github.com/torbiak/git-autofixup
code-review-bot,google,73,https://github.com/google/code-review-bot
dx-scanner,DXHeroes,73,https://github.com/DXHeroes/dx-scanner
critiq.vim,AGhost-7,65,https://github.com/AGhost-7/critiq.vim
sonarqube-action,kitabisa,65,https://github.com/kitabisa/sonarqube-action
core-review,fanquake,64,https://github.com/fanquake/core-review
go-gerrit,andygrunwald,62,https://github.com/andygrunwald/go-gerrit
software-practice-thoughts,oldratlee,61,https://github.com/oldratlee/software-practice-thoughts
backlog,pullreminders,59,https://github.com/pullreminders/backlog
effective-code-review,jspahrsummers,57,https://github.com/jspahrsummers/effective-code-review
phinder,sider,53,https://github.com/sider/phinder
alice,moengage,51,https://github.com/moengage/alice
assignees,TailorDev,50,https://github.com/TailorDev/assignees
bad-commit-message-blocker,platisd,50,https://github.com/platisd/bad-commit-message-blocker
qualinsight-plugins-sonarqube-smell,QualInsight,47,https://github.com/QualInsight/qualinsight-plugins-sonarqube-smell
code-review-estimator,akondas,46,https://github.com/akondas/code-review-estimator
narrated-diffs,tbroadley,46,https://github.com/tbroadley/narrated-diffs
gh-stack,timothyandrew,44,https://github.com/timothyandrew/gh-stack
software-factory,redhat-cip,42,https://github.com/redhat-cip/software-factory
code-review,mozilla,40,https://github.com/mozilla/code-review
hubot-code-review,alleyinteractive,38,https://github.com/alleyinteractive/hubot-code-review
policial,volmer,37,https://github.com/volmer/policial
gerrit-cli,shanesmith,37,https://github.com/shanesmith/gerrit-cli
vscode-extension,DeepCodeAI,35,https://github.com/DeepCodeAI/vscode-extension
ModernCppChallengeStudy,CppKorea,33,https://github.com/CppKorea/ModernCppChallengeStudy
python-emailthreads,emersion,31,https://github.com/emersion/python-emailthreads
gh-code-review-assistant,jakub-g,28,https://github.com/jakub-g/gh-code-review-assistant
inline-plz,guykisel,27,https://github.com/guykisel/inline-plz
call_map,nccgroup,26,https://github.com/nccgroup/call_map
codewing,codewing-dev,25,https://github.com/codewing-dev/codewing
cody,aergonaut,25,https://github.com/aergonaut/cody
vscode-pull-request-azdo,ankitbko,20,https://github.com/ankitbko/vscode-pull-request-azdo
auto-request-review,necojackarc,20,https://github.com/necojackarc/auto-request-review
dispatch,mirego,19,https://github.com/mirego/dispatch
quickreview-for-github,vladgolubev,19,https://github.com/vladgolubev/quickreview-for-github
google_eng_practice,zijinshi,19,https://github.com/zijinshi/google_eng_practice
awesome-list-dev-memes,pamepeixinho,18,https://github.com/pamepeixinho/awesome-list-dev-memes
TyScan,sider,18,https://github.com/sider/TyScan
check-critical-files,CodelyTV,18,https://github.com/CodelyTV/check-critical-files
clang-tidy-pr-comments,platisd,17,https://github.com/platisd/clang-tidy-pr-comments
