Repository Name,Username,Stars,URL
httpie,httpie,51400,https://github.com/httpie/httpie
fzf,junegunn,37800,https://github.com/junegunn/fzf
bat,sharkdp,28100,https://github.com/sharkdp/bat
dive,wagoodman,26800,https://github.com/wagoodman/dive
cheat.sh,chubin,26400,https://github.com/chubin/cheat.sh
ripgrep,BurntSushi,26300,https://github.com/BurntSushi/ripgrep
sherlock,sherlock-project,26000,https://github.com/sherlock-project/sherlock
angular-cli,angular,24700,https://github.com/angular/angular-cli
cli,cli,24000,https://github.com/cli/cli
cobra,spf13,22300,https://github.com/spf13/cobra
awesome-shell,alebcay,21700,https://github.com/alebcay/awesome-shell
lazygit,jesseduffield,20400,https://github.com/jesseduffield/lazygit
python-fire,google,19800,https://github.com/google/python-fire
ava,avajs,19100,https://github.com/avajs/ava
tqdm,tqdm,18800,https://github.com/tqdm/tqdm
pkg,vercel,18400,https://github.com/vercel/pkg
fd,sharkdp,18000,https://github.com/sharkdp/fd
chalk,chalk,16700,https://github.com/chalk/chalk
n8n,n8n-io,16500,https://github.com/n8n-io/n8n
ink,vadimdemedes,16500,https://github.com/vadimdemedes/ink
svgo,svg,16400,https://github.com/svg/svgo
cli,urfave,16100,https://github.com/urfave/cli
.tmux,gpakosz,14500,https://github.com/gpakosz/.tmux
webpack-dashboard,FormidableLabs,13800,https://github.com/FormidableLabs/webpack-dashboard
goaccess,allinurl,13400,https://github.com/allinurl/goaccess
ignite,infinitered,12700,https://github.com/infinitered/ignite
git-history,pomber,12600,https://github.com/pomber/git-history
nnn,jarun,11800,https://github.com/jarun/nnn
modern-unix,ibraheemdev,11700,https://github.com/ibraheemdev/modern-unix
asdf,asdf-vm,11300,https://github.com/asdf-vm/asdf
click,pallets,11100,https://github.com/pallets/click
fx,antonmedv,10900,https://github.com/antonmedv/fx
beets,beetbox,10300,https://github.com/beetbox/beets
nexe,nexe,10200,https://github.com/nexe/nexe
wuzz,asciimoo,9700,https://github.com/asciimoo/wuzz
navi,denisidoro,9400,https://github.com/denisidoro/navi
termtosvg,nbedos,9200,https://github.com/nbedos/termtosvg
psysh,bobthecow,9000,https://github.com/bobthecow/psysh
spotify-tui,Rigellute,8800,https://github.com/Rigellute/spotify-tui
readme-md-generator,kefranabg,8800,https://github.com/kefranabg/readme-md-generator
console,symfony,8800,https://github.com/symfony/console
PHP_CodeSniffer,squizlabs,8700,https://github.com/squizlabs/PHP_CodeSniffer
signale,klaussinani,8500,https://github.com/klaussinani/signale
m-cli,rgcr,8500,https://github.com/rgcr/m-cli
q,harelba,8500,https://github.com/harelba/q
http-prompt,httpie,8200,https://github.com/httpie/http-prompt
hyperfine,sharkdp,8200,https://github.com/sharkdp/hyperfine
taskbook,klaussinani,8100,https://github.com/klaussinani/taskbook
social-analyzer,qeeqbox,8000,https://github.com/qeeqbox/social-analyzer
awesome-cli-apps,agarrharr,7800,https://github.com/agarrharr/awesome-cli-apps
xsv,BurntSushi,7300,https://github.com/BurntSushi/xsv
vercel,vercel,7300,https://github.com/vercel/vercel
gitsome,donnemartin,7100,https://github.com/donnemartin/gitsome
serve,vercel,7000,https://github.com/vercel/serve
glow,charmbracelet,6800,https://github.com/charmbracelet/glow
ArchiSteamFarm,JustArchiNET,6800,https://github.com/JustArchiNET/ArchiSteamFarm
prompts,terkelg,6700,https://github.com/terkelg/prompts
bandwhich,imsnif,6500,https://github.com/imsnif/bandwhich
streamlink,streamlink,6400,https://github.com/streamlink/streamlink
fkill-cli,sindresorhus,6400,https://github.com/sindresorhus/fkill-cli
oclif,oclif,6200,https://github.com/oclif/oclif
ngxtop,lebinh,6200,https://github.com/lebinh/ngxtop
np,sindresorhus,6100,https://github.com/sindresorhus/np
drive,odeke-em,6100,https://github.com/odeke-em/drive
enquirer,enquirer,6100,https://github.com/enquirer/enquirer
jid,simeji,5900,https://github.com/simeji/jid
slack-term,erroneousboat,5900,https://github.com/erroneousboat/slack-term
structured-text-tools,dbohdan,5800,https://github.com/dbohdan/structured-text-tools
typer,tiangolo,5700,https://github.com/tiangolo/typer
legit,frostming,5700,https://github.com/frostming/legit
bit,chriswalz,5600,https://github.com/chriswalz/bit
dev-setup,donnemartin,5500,https://github.com/donnemartin/dev-setup
vorpal,dthree,5400,https://github.com/dthree/vorpal
ffsend,timvisee,5300,https://github.com/timvisee/ffsend
standard-version,conventional-changelog,5300,https://github.com/conventional-changelog/standard-version
ponzu,ponzu-cms,5300,https://github.com/ponzu-cms/ponzu
bubbletea,charmbracelet,5300,https://github.com/charmbracelet/bubbletea
tokei,XAMPPRocky,5100,https://github.com/XAMPPRocky/tokei
terragrunt,gruntwork-io,5100,https://github.com/gruntwork-io/terragrunt
aws-vault,99designs,5100,https://github.com/99designs/aws-vault
carbon-now-cli,mixn,5000,https://github.com/mixn/carbon-now-cli
