Repository Name,Username,Stars,URL
localstack,localstack,31200,https://github.com/localstack/localstack
drone,drone,23500,https://github.com/drone/drone
jenkins,jenkinsci,17600,https://github.com/jenkinsci/jenkins
volkswagen,auchenberg,11500,https://github.com/auchenberg/volkswagen
origin,openshift,7900,https://github.com/openshift/origin
gocd,gocd,6200,https://github.com/gocd/gocd
concourse,concourse,5700,https://github.com/concourse/concourse
buildbot,buildbot,4600,https://github.com/buildbot/buildbot
strider,Strider-CD,4500,https://github.com/Strider-CD/strider
gaia,gaia-pipeline,4400,https://github.com/gaia-pipeline/gaia
jx,jenkins-x,3900,https://github.com/jenkins-x/jx
onedev,theonedev,3900,https://github.com/theonedev/onedev
hygieia,hygieia,3600,https://github.com/hygieia/hygieia
xcpretty,xcpretty,3600,https://github.com/xcpretty/xcpretty
cds,ovh,3500,https://github.com/ovh/cds
cake,cake-build,3000,https://github.com/cake-build/cake
awesome-ci,ligurio,2600,https://github.com/ligurio/awesome-ci
werf,werf,2500,https://github.com/werf/werf
PHPCI,dancryer,2400,https://github.com/dancryer/PHPCI
tox,tox-dev,2300,https://github.com/tox-dev/tox
ModernCppStarter,TheLartians,2000,https://github.com/TheLartians/ModernCppStarter
syncd,dreamans,2000,https://github.com/dreamans/syncd
hound,houndci,1900,https://github.com/houndci/hound
fabric8,fabric8io,1800,https://github.com/fabric8io/fabric8
setup-php,shivammathur,1700,https://github.com/shivammathur/setup-php
lastbackend,lastbackend,1500,https://github.com/lastbackend/lastbackend
nuke,nuke-build,1200,https://github.com/nuke-build/nuke
flow-core-x,FlowCI,1200,https://github.com/FlowCI/flow-core-x
trust,japaric,1100,https://github.com/japaric/trust
tbls,k1LoW,1100,https://github.com/k1LoW/tbls
churn-php,bmitch,1100,https://github.com/bmitch/churn-php
Piplin,Piplin,1000,https://github.com/Piplin/Piplin
cyclone,caicloud,996,https://github.com/caicloud/cyclone
bors-ng,bors-ng,983,https://github.com/bors-ng/bors-ng
screwdriver,screwdriver-cd,888,https://github.com/screwdriver-cd/screwdriver
AndroidSDK,thyrlian,865,https://github.com/thyrlian/AndroidSDK
agola,agola-io,859,https://github.com/agola-io/agola
light-novel-library_Wenku8_Android,MewX,823,https://github.com/MewX/light-novel-library_Wenku8_Android
chimp,xolvio,785,https://github.com/xolvio/chimp
flagsmith,Flagsmith,771,https://github.com/Flagsmith/flagsmith
toast,stepchowfun,766,https://github.com/stepchowfun/toast
jenkinsapi,pycontribs,761,https://github.com/pycontribs/jenkinsapi
modern-cpp-template,filipdutescu,752,https://github.com/filipdutescu/modern-cpp-template
abstruse,bleenco,749,https://github.com/bleenco/abstruse
FlubuCore,dotnetcore,738,https://github.com/dotnetcore/FlubuCore
ansible-role-jenkins,geerlingguy,710,https://github.com/geerlingguy/ansible-role-jenkins
awesome-bazel,jin,703,https://github.com/jin/awesome-bazel
jenkins-build-monitor-plugin,jan-molak,703,https://github.com/jan-molak/jenkins-build-monitor-plugin
binci,binci,671,https://github.com/binci/binci
_old_vespene,vespene-io,669,https://github.com/vespene-io/_old_vespene
lambdacd,flosell,656,https://github.com/flosell/lambdacd
