Repository Name,Username,Stars,URL
bitcoin,bitcoin,55600,https://github.com/bitcoin/bitcoin
ccxt,ccxt,20300,https://github.com/ccxt/ccxt
freqtrade,freqtrade,9600,https://github.com/freqtrade/freqtrade
lbry-sdk,lbryio,7100,https://github.com/lbryio/lbry-sdk
blockchain,dvf,6100,https://github.com/dvf/blockchain
monero,monero-project,6000,https://github.com/monero-project/monero
xmrig,xmrig,5300,https://github.com/xmrig/xmrig
lnd,lightningnetwork,5200,https://github.com/lightningnetwork/lnd
grin,mimblewimble,4900,https://github.com/mimblewimble/grin
tendermint,tendermint,4200,https://github.com/tendermint/tendermint
StockSharp,StockSharp,4200,https://github.com/StockSharp/StockSharp
litecoin,litecoin-project,3900,https://github.com/litecoin-project/litecoin
cardano-sl,input-output-hk,3600,https://github.com/input-output-hk/cardano-sl
tribeca,michaelgrosner,3600,https://github.com/michaelgrosner/tribeca
python-binance,sammchardy,3500,https://github.com/sammchardy/python-binance
EthList,Scanate,3500,https://github.com/Scanate/EthList
alpha_vantage,RomelTorres,3400,https://github.com/RomelTorres/alpha_vantage
awesome-coins,Zheaoli,3400,https://github.com/Zheaoli/awesome-coins
BlockChain,itheima1,3400,https://github.com/itheima1/BlockChain
CryptoList,coinpride,3300,https://github.com/coinpride/CryptoList
nano-node,nanocurrency,3200,https://github.com/nanocurrency/nano-node
status-react,status-im,3200,https://github.com/status-im/status-react
blockchain_go,Jeiwan,3000,https://github.com/Jeiwan/blockchain_go
lbrycrd,lbryio,2800,https://github.com/lbryio/lbrycrd
jesse,jesse-ai,2800,https://github.com/jesse-ai/jesse
binance-trading-bot,chrisleekr,2700,https://github.com/chrisleekr/binance-trading-bot
cosmos-sdk,cosmos,2600,https://github.com/cosmos/cosmos-sdk
bcoin,bcoin-org,2500,https://github.com/bcoin-org/bcoin
cointop,miguelmota,2500,https://github.com/miguelmota/cointop
Blockchain-stuff,Xel,2500,https://github.com/Xel/Blockchain-stuff
Krypto-trading-bot,ctubio,2300,https://github.com/ctubio/Krypto-trading-bot
bitcoin-on-nodejs,imfly,2300,https://github.com/imfly/bitcoin-on-nodejs
catalyst,enigmampc,2200,https://github.com/enigmampc/catalyst
hummingbot,CoinAlpha,2000,https://github.com/CoinAlpha/hummingbot
gocryptotrader,thrasher-corp,2000,https://github.com/thrasher-corp/gocryptotrader
blockchain-tutorial,liuchengxu,2000,https://github.com/liuchengxu/blockchain-tutorial
binance-trader,yasinkuyu,2000,https://github.com/yasinkuyu/binance-trader
cryptocurrency-icons,spothq,1900,https://github.com/spothq/cryptocurrency-icons
stacks,blockstack,1900,https://github.com/blockstack/stacks
SimpleCoin,cosme12,1600,https://github.com/cosme12/SimpleCoin
zvt,zvtvz,1600,https://github.com/zvtvz/zvt
crypto-trading-bot,Haehnchen,1600,https://github.com/Haehnchen/crypto-trading-bot
coinmon,bichenkk,1600,https://github.com/bichenkk/coinmon
technicalindicators,anandanand84,1500,https://github.com/anandanand84/technicalindicators
php-mpos,MPOS,1500,https://github.com/MPOS/php-mpos
