Repository Name,Username,Stars,URL
crystal,crystal-lang,16600,https://github.com/crystal-lang/crystal
kemal,kemalcr,3100,https://github.com/kemalcr/kemal
awesome-crystal,veelenga,2800,https://github.com/veelenga/awesome-crystal
amber,amberframework,2300,https://github.com/amberframework/amber
lucky,luckyframework,2100,https://github.com/luckyframework/lucky
lilith,ffwff,1100,https://github.com/ffwff/lilith
Mango,hkalexling,765,https://github.com/hkalexling/Mango
fib,drujensen,718,https://github.com/drujensen/fib
amethyst,amethyst-framework,642,https://github.com/amethyst-framework/amethyst
crystal-by-example,askn,491,https://github.com/askn/crystal-by-example
icr,crystal-community,466,https://github.com/crystal-community/icr
crystal-pg,will,391,https://github.com/will/crystal-pg
ameba,crystal-ameba,376,https://github.com/crystal-ameba/ameba
crystal-redis,stefanwille,350,https://github.com/stefanwille/crystal-redis
vim-crystal,vim-crystal,336,https://github.com/vim-crystal/vim-crystal
crecto,Crecto,331,https://github.com/Crecto/crecto
jennifer.cr,imdrasil,330,https://github.com/imdrasil/jennifer.cr
scry,crystal-lang-tools,308,https://github.com/crystal-lang-tools/scry
crystal-book,crystal-lang,301,https://github.com/crystal-lang/crystal-book
crsfml,oprypin,287,https://github.com/oprypin/crsfml
policr,Hentioe,285,https://github.com/Hentioe/policr
irs,cooperhammond,285,https://github.com/cooperhammond/irs
granite,amberframework,250,https://github.com/amberframework/granite
IGColorPicker,iGenius-Srl,248,https://github.com/iGenius-Srl/IGColorPicker
sentry,samueleaton,247,https://github.com/samueleaton/sentry
app-servers,costajob,244,https://github.com/costajob/app-servers
clear,anykeyh,238,https://github.com/anykeyh/clear
crystal-patterns,crystal-community,237,https://github.com/crystal-community/crystal-patterns
router.cr,tbrand,232,https://github.com/tbrand/router.cr
crystal-db,crystal-lang,223,https://github.com/crystal-lang/crystal-db
vscode-crystal-lang,crystal-lang-tools,211,https://github.com/crystal-lang-tools/vscode-crystal-lang
celestite,noahlh,210,https://github.com/noahlh/celestite
slang,jeromegn,207,https://github.com/jeromegn/slang
qt5.cr,Papierkorb,189,https://github.com/Papierkorb/qt5.cr
charly,charly-lang,186,https://github.com/charly-lang/charly
Axentro,Axentro,186,https://github.com/Axentro/Axentro
immutable,lucaong,183,https://github.com/lucaong/immutable
crest,mamantoha,180,https://github.com/mamantoha/crest
crystalshards,f,180,https://github.com/f/crystalshards
neph,tbrand,179,https://github.com/tbrand/neph
cadmium,cadmiumcr,177,https://github.com/cadmiumcr/cadmium
kemalyst,kemalyst,177,https://github.com/kemalyst/kemalyst
crystalline,elbywan,174,https://github.com/elbywan/crystalline
jwt,crystal-community,174,https://github.com/crystal-community/jwt
raze,samueleaton,174,https://github.com/samueleaton/raze
libui.cr,Fusion,169,https://github.com/Fusion/libui.cr
compile-to-web,ChristianMurphy,165,https://github.com/ChristianMurphy/compile-to-web
grip,grip-framework,161,https://github.com/grip-framework/grip
halite,icyleaf,155,https://github.com/icyleaf/halite
mosquito,mosquito-cr,153,https://github.com/mosquito-cr/mosquito
sdl2-examples,xyproto,150,https://github.com/xyproto/sdl2-examples
shainet,NeuraLegion,149,https://github.com/NeuraLegion/shainet
bindgen,Papierkorb,148,https://github.com/Papierkorb/bindgen
myhtml,kostya,146,https://github.com/kostya/myhtml
fast-crystal,icyleaf,145,https://github.com/icyleaf/fast-crystal
oq,Blacksmoke16,144,https://github.com/Blacksmoke16/oq
GESI,Blacksmoke16,143,https://github.com/Blacksmoke16/GESI
prax.cr,ysbaddaden,142,https://github.com/ysbaddaden/prax.cr
discordcr,discordcr,142,https://github.com/discordcr/discordcr
http,onyxframework,138,https://github.com/onyxframework/http
marionette,watzon,133,https://github.com/watzon/marionette
micrate,amberframework,133,https://github.com/amberframework/micrate
faker,askn,133,https://github.com/askn/faker
minitest.cr,ysbaddaden,131,https://github.com/ysbaddaden/minitest.cr
progress,askn,125,https://github.com/askn/progress
Crystagiri,madeindjs,122,https://github.com/madeindjs/Crystagiri
athena,athena-framework,121,https://github.com/athena-framework/athena
crystalline,jtomschroeder,119,https://github.com/jtomschroeder/crystalline
duktape.cr,jessedoyle,117,https://github.com/jessedoyle/duktape.cr
avram,luckyframework,117,https://github.com/luckyframework/avram
hosted-danger,yahoojapan,116,https://github.com/yahoojapan/hosted-danger
crystal-gobject,jhass,111,https://github.com/jhass/crystal-gobject
myst,myst-lang,108,https://github.com/myst-lang/myst
orion,obsidian,108,https://github.com/obsidian/orion
dockerfiles,j8r,106,https://github.com/j8r/dockerfiles
tourmaline,protoncr,102,https://github.com/protoncr/tourmaline
raven.cr,Sija,102,https://github.com/Sija/raven.cr
clim,at-grandpa,101,https://github.com/at-grandpa/clim
bojack,marceloboeira,101,https://github.com/marceloboeira/bojack
cossack,crystal-community,101,https://github.com/crystal-community/cossack
crystal-sqlite3,crystal-lang,99,https://github.com/crystal-lang/crystal-sqlite3
crystal-email,arcage,98,https://github.com/arcage/crystal-email
rocky,codingphasedotcom,94,https://github.com/codingphasedotcom/rocky
stumpy_png,stumpycr,93,https://github.com/stumpycr/stumpy_png
num.cr,crystal-data,93,https://github.com/crystal-data/num.cr
crystal-mysql,crystal-lang,92,https://github.com/crystal-lang/crystal-mysql
radix,luislavena,91,https://github.com/luislavena/radix
earl,ysbaddaden,91,https://github.com/ysbaddaden/earl
sql,onyxframework,90,https://github.com/onyxframework/sql
crinja,straight-shoota,89,https://github.com/straight-shoota/crinja
dppm,DFabric,88,https://github.com/DFabric/dppm
cable,cable-cr,86,https://github.com/cable-cr/cable
hedron,hedron-crystal,86,https://github.com/hedron-crystal/hedron
http2,ysbaddaden,85,https://github.com/ysbaddaden/http2
sublime-crystal,crystal-lang-tools,79,https://github.com/crystal-lang-tools/sublime-crystal
debug.cr,Sija,78,https://github.com/Sija/debug.cr
markd,icyleaf,77,https://github.com/icyleaf/markd
fincher,maxfierke,77,https://github.com/maxfierke/fincher
crystal-fann,NeuraLegion,77,https://github.com/NeuraLegion/crystal-fann
onyx,onyxframework,75,https://github.com/onyxframework/onyx
sdl.cr,ysbaddaden,74,https://github.com/ysbaddaden/sdl.cr
sam.cr,imdrasil,74,https://github.com/imdrasil/sam.cr
awscr-s3,taylorfinnell,74,https://github.com/taylorfinnell/awscr-s3
telegram_bot,hangyas,74,https://github.com/hangyas/telegram_bot
prism,da1nerd,73,https://github.com/da1nerd/prism
crustache,MakeNowJust,73,https://github.com/MakeNowJust/crustache
Leafgem,tfcat,72,https://github.com/tfcat/Leafgem
spectator,icy-arctic-fox,71,https://github.com/icy-arctic-fox/spectator
arachnid,watzon,71,https://github.com/watzon/arachnid
aws,sdogruyol,70,https://github.com/sdogruyol/aws
http-protection,rogeriozambon,69,https://github.com/rogeriozambon/http-protection
kindmetrics,kindmetrics,68,https://github.com/kindmetrics/kindmetrics
glove,ddfreyne,68,https://github.com/ddfreyne/glove
tijolo,hugopl,68,https://github.com/hugopl/tijolo
schedule.cr,hugoabonizio,67,https://github.com/hugoabonizio/schedule.cr
CryBoy,mattrberry,66,https://github.com/mattrberry/CryBoy
shrine.cr,jetrockets,66,https://github.com/jetrockets/shrine.cr
libgen,olbat,65,https://github.com/olbat/libgen
crystal-design-patterns,bthachdev,65,https://github.com/bthachdev/crystal-design-patterns
magickwand-crystal,blocknotes,64,https://github.com/blocknotes/magickwand-crystal
