Repository Name,Username,Stars,URL
coding-interview-university,jwasham,184000,https://github.com/jwasham/coding-interview-university
javascript-algorithms,trekhleb,114000,https://github.com/trekhleb/javascript-algorithms
fucking-algorithm,labuladong,93000,https://github.com/labuladong/fucking-algorithm
leetcode,azl397985856,43000,https://github.com/azl397985856/leetcode
swift-algorithm-club,raywenderlich,25100,https://github.com/raywenderlich/swift-algorithm-club
interview,huihut,19400,https://github.com/huihut/interview
C-Plus-Plus,TheAlgorithms,13400,https://github.com/TheAlgorithms/C-Plus-Plus
Javascript,TheAlgorithms,11600,https://github.com/TheAlgorithms/Javascript
C,TheAlgorithms,9800,https://github.com/TheAlgorithms/C
CtCI-6th-Edition,careercup,8800,https://github.com/careercup/CtCI-6th-Edition
OpenRefine,OpenRefine,8300,https://github.com/OpenRefine/OpenRefine
OI-wiki,OI-wiki,8000,https://github.com/OI-wiki/OI-wiki
dsa.js-data-structures-algorithms-javascript,amejiarosario,5900,https://github.com/amejiarosario/dsa.js-data-structures-algorithms-javascript
Go,TheAlgorithms,5700,https://github.com/TheAlgorithms/Go
boltons,mahmoud,5500,https://github.com/mahmoud/boltons
leetcode,grandyang,5300,https://github.com/grandyang/leetcode
SDE-Interview-Questions,twowaits,4700,https://github.com/twowaits/SDE-Interview-Questions
algorithms_and_data_structures,mandliya,4500,https://github.com/mandliya/algorithms_and_data_structures
C-Sharp-Algorithms,aalhour,4400,https://github.com/aalhour/C-Sharp-Algorithms
leetcode_101,changgyhub,4300,https://github.com/changgyhub/leetcode_101
pygorithm,OmkarPathak,4200,https://github.com/OmkarPathak/pygorithm
algodeck,teivah,4200,https://github.com/teivah/algodeck
LeetCode-Swift,soapyigu,3900,https://github.com/soapyigu/LeetCode-Swift
java-algorithms-implementation,phishman3579,3800,https://github.com/phishman3579/java-algorithms-implementation
crossbeam,crossbeam-rs,3800,https://github.com/crossbeam-rs/crossbeam
algorithms.js,felipernb,3300,https://github.com/felipernb/algorithms.js
Rust,TheAlgorithms,3100,https://github.com/TheAlgorithms/Rust
javascript-datastructures-algorithms,loiane,3000,https://github.com/loiane/javascript-datastructures-algorithms
Leetcode,fishercoder1534,2900,https://github.com/fishercoder1534/Leetcode
python-data-structure-cn,facert,2900,https://github.com/facert/python-data-structure-cn
rust-algorithms,EbTech,2800,https://github.com/EbTech/rust-algorithms
write-a-hash-table,jamesroutley,2700,https://github.com/jamesroutley/write-a-hash-table
JCTools,JCTools,2700,https://github.com/JCTools/JCTools
C-Sharp,TheAlgorithms,2700,https://github.com/TheAlgorithms/C-Sharp
interviewGuide,NotFound9,2700,https://github.com/NotFound9/interviewGuide
computer-science-in-javascript,benoitvallon,2600,https://github.com/benoitvallon/computer-science-in-javascript
c-algorithms,fragglet,2600,https://github.com/fragglet/c-algorithms
DEPRECATED-data-structures,williamfiset,2400,https://github.com/williamfiset/DEPRECATED-data-structures
leetcode-patterns,seanprashad,2300,https://github.com/seanprashad/leetcode-patterns
Collections-C,srdja,2200,https://github.com/srdja/Collections-C
Data-Structures-and-Algorithms,floyernick,2200,https://github.com/floyernick/Data-Structures-and-Algorithms
atomix,atomix,2100,https://github.com/atomix/atomix
CS_Offer,selfboot,2000,https://github.com/selfboot/CS_Offer
ext-ds,php-ds,2000,https://github.com/php-ds/ext-ds
coding-problems,MTrajK,1900,https://github.com/MTrajK/coding-problems
jgrapht,jgrapht,1900,https://github.com/jgrapht/jgrapht
DataStructures-Algorithms,rachitiitr,1900,https://github.com/rachitiitr/DataStructures-Algorithms
immer,arximboldi,1900,https://github.com/arximboldi/immer
lago,yangshun,1800,https://github.com/yangshun/lago
Play-with-Data-Structures,liuyubobobo,1800,https://github.com/liuyubobobo/Play-with-Data-Structures
NumCpp,dpilger26,1800,https://github.com/dpilger26/NumCpp
Algo_Ds_Notes,jainaman224,1700,https://github.com/jainaman224/Algo_Ds_Notes
eclipse-collections,eclipse,1700,https://github.com/eclipse/eclipse-collections
best-of-python,ml-tooling,1700,https://github.com/ml-tooling/best-of-python
nutsdb,xujiajun,1700,https://github.com/xujiajun/nutsdb
binarytree,joowani,1700,https://github.com/joowani/binarytree
Index,HowProgrammingWorks,1600,https://github.com/HowProgrammingWorks/Index
list,funkia,1600,https://github.com/funkia/list
Ready-For-Tech-Interview,WooVictory,1500,https://github.com/WooVictory/Ready-For-Tech-Interview
ultimate-go,betty200744,1500,https://github.com/betty200744/ultimate-go
codelibrary,indy256,1500,https://github.com/indy256/codelibrary
PKUCourse,tongtzeho,1500,https://github.com/tongtzeho/PKUCourse
go-algorithms,0xAX,1500,https://github.com/0xAX/go-algorithms
Algorithms-Explanation,TheAlgorithms,1400,https://github.com/TheAlgorithms/Algorithms-Explanation
rosedb,roseduan,1400,https://github.com/roseduan/rosedb
Complete-Placement-Preparation,anushka23g,1400,https://github.com/anushka23g/Complete-Placement-Preparation
scalacaster,vkostyukov,1400,https://github.com/vkostyukov/scalacaster
e-maxx-eng,e-maxx-eng,1400,https://github.com/e-maxx-eng/e-maxx-eng
kactl,kth-competitive-programming,1300,https://github.com/kth-competitive-programming/kactl
dashmap,xacrimon,1200,https://github.com/xacrimon/dashmap
cyclops,aol,1200,https://github.com/aol/cyclops
leetcode-python,wuduhren,1200,https://github.com/wuduhren/leetcode-python
Buckets-JS,mauriciosantos,1200,https://github.com/mauriciosantos/Buckets-JS
flatbush,mourner,1100,https://github.com/mourner/flatbush
algorithms,marcosfede,1000,https://github.com/marcosfede/algorithms
algos,iiitv,980,https://github.com/iiitv/algos
ods,patmorin,958,https://github.com/patmorin/ods
DS-Algo-Point,sukritishah15,949,https://github.com/sukritishah15/DS-Algo-Point
dasel,TomWright,944,https://github.com/TomWright/dasel
carvel-ytt,vmware-tanzu,895,https://github.com/vmware-tanzu/carvel-ytt
HackerRank,RyanFehr,890,https://github.com/RyanFehr/HackerRank
bidict,jab,869,https://github.com/jab/bidict
python-for-coding-test,ndb796,820,https://github.com/ndb796/python-for-coding-test
