Repository Name,Username,Stars,URL
d3,d3,97500,https://github.com/d3/d3
echarts,apache,47100,https://github.com/apache/echarts
grafana,grafana,42900,https://github.com/grafana/grafana
superset,apache,39400,https://github.com/apache/superset
pixijs,pixijs,33600,https://github.com/pixijs/pixijs
metabase,metabase,25300,https://github.com/metabase/metabase
awesome-datascience,academic,16700,https://github.com/academic/awesome-datascience
streamlit,streamlit,15200,https://github.com/streamlit/streamlit
dash,plotly,14800,https://github.com/plotly/dash
matplotlib,matplotlib,13900,https://github.com/matplotlib/matplotlib
plotly.js,plotly,13800,https://github.com/plotly/plotly.js
visx,airbnb,13600,https://github.com/airbnb/visx
G2,antvis,10800,https://github.com/antvis/G2
apexcharts.js,apexcharts,10500,https://github.com/apexcharts/apexcharts.js
awesome-bigdata,0xnr,10100,https://github.com/0xnr/awesome-bigdata
c3,c3js,9100,https://github.com/c3js/c3
victory,FormidableLabs,9000,https://github.com/FormidableLabs/victory
deck.gl,visgl,8800,https://github.com/visgl/deck.gl
seaborn,mwaskom,8600,https://github.com/mwaskom/seaborn
OpenRefine,OpenRefine,8300,https://github.com/OpenRefine/OpenRefine
awesome-creative-coding,terkelg,8000,https://github.com/terkelg/awesome-creative-coding
react-vis,uber,7900,https://github.com/uber/react-vis
kepler.gl,keplergl,7900,https://github.com/keplergl/kepler.gl
F2,antvis,7600,https://github.com/antvis/F2
rawgraphs-app,rawgraphs,7300,https://github.com/rawgraphs/rawgraphs-app
facets,PAIR-code,6600,https://github.com/PAIR-code/facets
sourcerer-app,sourcerer-io,6600,https://github.com/sourcerer-io/sourcerer-app
uPlot,leeoniya,6400,https://github.com/leeoniya/uPlot
react-map-gl,visgl,6000,https://github.com/visgl/react-map-gl
roughViz,jwilber,5800,https://github.com/jwilber/roughViz
BizCharts,alibaba,5700,https://github.com/alibaba/BizCharts
heatmap.js,pa7,5600,https://github.com/pa7/heatmap.js
best-of-ml-python,ml-tooling,5500,https://github.com/ml-tooling/best-of-ml-python
GoJS,NorthwoodsSoftware,5400,https://github.com/NorthwoodsSoftware/GoJS
SandDance,microsoft,5300,https://github.com/microsoft/SandDance
clip,asmuth,5100,https://github.com/asmuth/clip
tui.chart,nhn,5000,https://github.com/nhn/tui.chart
Live-Charts,Live-Charts,4900,https://github.com/Live-Charts/Live-Charts
Historical-ranking-data-visualization-based-on-d3.js,Jannchie,4600,https://github.com/Jannchie/Historical-ranking-data-visualization-based-on-d3.js
charts.css,ChartsCSS,4300,https://github.com/ChartsCSS/charts.css
sqlpad,sqlpad,3800,https://github.com/sqlpad/sqlpad
britecharts,britecharts,3700,https://github.com/britecharts/britecharts
davinci,edp963,3600,https://github.com/edp963/davinci
perspective,finos,3400,https://github.com/finos/perspective
iDataV,yyhsong,3200,https://github.com/yyhsong/iDataV
gradio,gradio-app,3000,https://github.com/gradio-app/gradio
missingno,ResidentMario,2800,https://github.com/ResidentMario/missingno
orange3,biolab,2800,https://github.com/biolab/orange3
awesome-dataviz,fasouto,2800,https://github.com/fasouto/awesome-dataviz
CBoard,TuiQiao,2700,https://github.com/TuiQiao/CBoard
matplotlib-cheatsheet,rougier,2700,https://github.com/rougier/matplotlib-cheatsheet
datascience,r0f1,2700,https://github.com/r0f1/datascience
tablesaw,jtablesaw,2600,https://github.com/jtablesaw/tablesaw
datav,datav-io,2600,https://github.com/datav-io/datav
inmap,TalkingData,2600,https://github.com/TalkingData/inmap
dtale,man-group,2500,https://github.com/man-group/dtale
react-trend,unsplash,2400,https://github.com/unsplash/react-trend
L7,antvis,2300,https://github.com/antvis/L7
matplotplusplus,alandefreitas,2200,https://github.com/alandefreitas/matplotplusplus
semiotic,nteract,2200,https://github.com/nteract/semiotic
ml-workspace,ml-tooling,2000,https://github.com/ml-tooling/ml-workspace
3d-force-graph,vasturiano,2000,https://github.com/vasturiano/3d-force-graph
plotly,ropensci,2000,https://github.com/ropensci/plotly
calendar-heatmap,DKirwan,2000,https://github.com/DKirwan/calendar-heatmap
victory-native,FormidableLabs,1900,https://github.com/FormidableLabs/victory-native
