Repository Name,Username,Stars,URL
etcd,etcd-io,36500,https://github.com/etcd-io/etcd
tidb,pingcap,28400,https://github.com/pingcap/tidb
sheetjs,SheetJS,26100,https://github.com/SheetJS/sheetjs
metabase,metabase,25300,https://github.com/metabase/metabase
typeorm,typeorm,24900,https://github.com/typeorm/typeorm
influxdb,influxdata,21800,https://github.com/influxdata/influxdb
dbeaver,dbeaver,21300,https://github.com/dbeaver/dbeaver
awesome-cheatsheets,LeCoupa,21100,https://github.com/LeCoupa/awesome-cheatsheets
cockroach,cockroachdb,20900,https://github.com/cockroachdb/cockroach
sqlmap,sqlmapproject,20500,https://github.com/sqlmapproject/sqlmap
rocksdb,facebook,20300,https://github.com/facebook/rocksdb
mongo,mongodb,20100,https://github.com/mongodb/mongo
interview,huihut,19400,https://github.com/huihut/interview
postgrest,PostgREST,17200,https://github.com/PostgREST/postgrest
prisma1,prisma,16900,https://github.com/prisma/prisma1
dgraph,dgraph-io,16300,https://github.com/dgraph-io/dgraph
lowdb,typicode,15800,https://github.com/typicode/lowdb
rxdb,pubkey,15800,https://github.com/pubkey/rxdb
TDengine,taosdata,15600,https://github.com/taosdata/TDengine
sqlitebrowser,sqlitebrowser,15100,https://github.com/sqlitebrowser/sqlitebrowser
MeiliSearch,meilisearch,15000,https://github.com/meilisearch/MeiliSearch
prisma,prisma,14900,https://github.com/prisma/prisma
realm-cocoa,realm,14500,https://github.com/realm/realm-cocoa
pouchdb,pouchdb,14200,https://github.com/pouchdb/pouchdb
shardingsphere,apache,14200,https://github.com/apache/shardingsphere
gun,amark,13600,https://github.com/amark/gun
bolt,boltdb,11900,https://github.com/boltdb/bolt
sonic,valeriansaliou,11500,https://github.com/valeriansaliou/sonic
directus,directus,11500,https://github.com/directus/directus
arangodb,arangodb,11400,https://github.com/arangodb/arangodb
realm-java,realm,11200,https://github.com/realm/realm-java
mysql,go-sql-driver,11100,https://github.com/go-sql-driver/mysql
efcore,dotnet,10400,https://github.com/dotnet/efcore
awesome-bigdata,0xnr,10100,https://github.com/0xnr/awesome-bigdata
mycli,dbcli,9700,https://github.com/dbcli/mycli
pgcli,dbcli,9700,https://github.com/dbcli/pgcli
zookeeper,apache,9600,https://github.com/apache/zookeeper
badger,dgraph-io,9500,https://github.com/dgraph-io/badger
react-native-firebase,invertase,9200,https://github.com/invertase/react-native-firebase
dolt,dolthub,9200,https://github.com/dolthub/dolt
neo4j,neo4j,9100,https://github.com/neo4j/neo4j
wcdb,Tencent,9000,https://github.com/Tencent/wcdb
sql.js,sql-js,8900,https://github.com/sql-js/sql.js
rqlite,rqlite,8600,https://github.com/rqlite/rqlite
avbook,guyueyingmu,7900,https://github.com/guyueyingmu/avbook
Android-Debug-Database,amitshekhariitbhu,7800,https://github.com/amitshekhariitbhu/Android-Debug-Database
WatermelonDB,Nozbe,7600,https://github.com/Nozbe/WatermelonDB
ddia,Vonng,7600,https://github.com/Vonng/ddia
tile38,tidwall,7500,https://github.com/tidwall/tile38
dejavu,appbaseio,7400,https://github.com/appbaseio/dejavu
soar,XiaoMi,7300,https://github.com/XiaoMi/soar
awesome-postgres,dhamaniasad,7100,https://github.com/dhamaniasad/awesome-postgres
shardingsphere-elasticjob,apache,7100,https://github.com/apache/shardingsphere-elasticjob
Eve,witheve,7000,https://github.com/witheve/Eve
Dexie.js,dfahlander,6800,https://github.com/dfahlander/Dexie.js
migrate,golang-migrate,6700,https://github.com/golang-migrate/migrate
cassandra,apache,6700,https://github.com/apache/cassandra
usql,xo,6600,https://github.com/xo/usql
beekeeper-studio,beekeeper-studio,6500,https://github.com/beekeeper-studio/beekeeper-studio
nebula,vesoft-inc,6300,https://github.com/vesoft-inc/nebula
bookshelf,bookshelf,6200,https://github.com/bookshelf/bookshelf
flyway,flyway,6000,https://github.com/flyway/flyway
blog,digoal,6000,https://github.com/digoal/blog
LiteDB,mbdavid,5800,https://github.com/mbdavid/LiteDB
orbit-db,orbitdb,5800,https://github.com/orbitdb/orbit-db
Waking-Up,wolverinn,5600,https://github.com/wolverinn/Waking-Up
db_tutorial,cstack,5400,https://github.com/cstack/db_tutorial
yugabyte-db,yugabyte,5300,https://github.com/yugabyte/yugabyte-db
zeppelin,apache,5300,https://github.com/apache/zeppelin
debezium,debezium,5000,https://github.com/debezium/debezium
edgedb,edgedb,5000,https://github.com/edgedb/edgedb
citus,citusdata,5000,https://github.com/citusdata/citus
couchdb,apache,5000,https://github.com/apache/couchdb
sled,spacejam,4900,https://github.com/spacejam/sled
adminer,vrana,4800,https://github.com/vrana/adminer
pg,go-pg,4700,https://github.com/go-pg/pg
hibernate-orm,hibernate,4700,https://github.com/hibernate/hibernate-orm
backup,backup,4700,https://github.com/backup/backup
Bogus,bchavez,4600,https://github.com/bchavez/Bogus
gpdb,greenplum-db,4600,https://github.com/greenplum-db/gpdb
laravel-backup,spatie,4500,https://github.com/spatie/laravel-backup
VictoriaMetrics,VictoriaMetrics,4500,https://github.com/VictoriaMetrics/VictoriaMetrics
go-clean-arch,bxcodec,4500,https://github.com/bxcodec/go-clean-arch
jOOQ,jOOQ,4500,https://github.com/jOOQ/jOOQ
goleveldb,syndtr,4400,https://github.com/syndtr/goleveldb
tinydb,msiemens,4400,https://github.com/msiemens/tinydb
Medoo,catfan,4400,https://github.com/catfan/Medoo
orientdb,orientechnologies,4300,https://github.com/orientechnologies/orientdb
AliSQL,alibaba,4300,https://github.com/alibaba/AliSQL
EventStore,EventStore,4200,https://github.com/EventStore/EventStore
datascript,tonsky,4200,https://github.com/tonsky/datascript
hbase,apache,4100,https://github.com/apache/hbase
questdb,questdb,4100,https://github.com/questdb/questdb
GRDB.swift,groue,4100,https://github.com/groue/GRDB.swift
sqlboiler,volatiletech,4100,https://github.com/volatiletech/sqlboiler
dataset,pudo,4100,https://github.com/pudo/dataset
awesome-elasticsearch,dzharii,4000,https://github.com/dzharii/awesome-elasticsearch
ignite,apache,3900,https://github.com/apache/ignite
objectbox-java,objectbox,3800,https://github.com/objectbox/objectbox-java
hive,apache,3800,https://github.com/apache/hive
K8tools,k8gege,3800,https://github.com/k8gege/K8tools
franchise,HVF,3800,https://github.com/HVF/franchise
adminMongo,mrvautin,3700,https://github.com/mrvautin/adminMongo
sqlectron-gui,sqlectron,3700,https://github.com/sqlectron/sqlectron-gui
bigchaindb,bigchaindb,3700,https://github.com/bigchaindb/bigchaindb
go-sqlmock,DATA-DOG,3600,https://github.com/DATA-DOG/go-sqlmock
trino,trinodb,3600,https://github.com/trinodb/trino
jodd,oblac,3600,https://github.com/oblac/jodd
altair,altair-graphql,3500,https://github.com/altair-graphql/altair
pgloader,dimitri,3500,https://github.com/dimitri/pgloader
technical-books,doocs,3400,https://github.com/doocs/technical-books
buntdb,tidwall,3300,https://github.com/tidwall/buntdb
