Repository Name,Username,Stars,URL
tensorflow,tensorflow,157000,https://github.com/tensorflow/tensorflow
opencv,opencv,55500,https://github.com/opencv/opencv
keras,keras-team,51900,https://github.com/keras-team/keras
pytorch,pytorch,49500,https://github.com/pytorch/pytorch
TensorFlow-Examples,aymericdamien,40900,https://github.com/aymericdamien/TensorFlow-Examples
faceswap,deepfakes,37700,https://github.com/deepfakes/faceswap
100-Days-Of-ML-Code,Avik-Jain,32500,https://github.com/Avik-Jain/100-Days-Of-ML-Code
caffe,BVLC,31800,https://github.com/BVLC/caffe
Deep-Learning-Papers-Reading-Roadmap,floodsung,30100,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap
Real-Time-Voice-Cloning,CorentinJ,27900,https://github.com/CorentinJ/Real-Time-Voice-Cloning
DeepFaceLab,iperov,27300,https://github.com/iperov/DeepFaceLab
MadeWithML,GokuMohandas,26800,https://github.com/GokuMohandas/MadeWithML
machine-learning-for-software-engineers,ZuzooVn,25200,https://github.com/ZuzooVn/machine-learning-for-software-engineers
d2l-zh,d2l-ai,24700,https://github.com/d2l-ai/d2l-zh
tesseract.js,naptha,24100,https://github.com/naptha/tesseract.js
handson-ml,ageron,23100,https://github.com/ageron/handson-ml
awesome-deep-learning-papers,terryum,23000,https://github.com/terryum/awesome-deep-learning-papers
openpose,CMU-Perceptual-Computing-Lab,21400,https://github.com/CMU-Perceptual-Computing-Lab/openpose
data-science-ipython-notebooks,donnemartin,21300,https://github.com/donnemartin/data-science-ipython-notebooks
pytorch-tutorial,yunjey,21300,https://github.com/yunjey/pytorch-tutorial
fastai,fastai,21100,https://github.com/fastai/fastai
spaCy,explosion,20900,https://github.com/explosion/spaCy
ML-From-Scratch,eriklindernoren,20000,https://github.com/eriklindernoren/ML-From-Scratch
DeepSpeech,mozilla,17700,https://github.com/mozilla/DeepSpeech
awesome-deep-learning,ChristosChristofidis,17400,https://github.com/ChristosChristofidis/awesome-deep-learning
CNTK,microsoft,17000,https://github.com/microsoft/CNTK
spleeter,deezer,16900,https://github.com/deezer/spleeter
awesome-datascience,academic,16700,https://github.com/academic/awesome-datascience
darknet,AlexeyAB,16700,https://github.com/AlexeyAB/darknet
ray,ray-project,16600,https://github.com/ray-project/ray
100-Days-Of-ML-Code,MLEveryday,16500,https://github.com/MLEveryday/100-Days-Of-ML-Code
Paddle,PaddlePaddle,16000,https://github.com/PaddlePaddle/Paddle
TensorFlow-Course,instillai,15600,https://github.com/instillai/TensorFlow-Course
photoprism,photoprism,15400,https://github.com/photoprism/photoprism
pytorch-CycleGAN-and-pix2pix,junyanz,15400,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix
tfjs,tensorflow,15300,https://github.com/tensorflow/tfjs
streamlit,streamlit,15200,https://github.com/streamlit/streamlit
netron,lutzroeder,15100,https://github.com/lutzroeder/netron
lectures,oxford-cs-deepnlp-2017,15000,https://github.com/oxford-cs-deepnlp-2017/lectures
pytorch-handbook,zergtant,14800,https://github.com/zergtant/pytorch-handbook
labelImg,tzutalin,14800,https://github.com/tzutalin/labelImg
pytorch-lightning,PyTorchLightning,14500,https://github.com/PyTorchLightning/pytorch-lightning
learnopencv,spmallick,14200,https://github.com/spmallick/learnopencv
openface,cmusatyalab,14100,https://github.com/cmusatyalab/openface
cheatsheets-ai,kailashahirwar,13900,https://github.com/kailashahirwar/cheatsheets-ai
yolov5,ultralytics,13700,https://github.com/ultralytics/yolov5
Qix,ty4z2008,13600,https://github.com/ty4z2008/Qix
Screenshot-to-code,emilwallner,13400,https://github.com/emilwallner/Screenshot-to-code
AI-Expert-Roadmap,AMAI-GmbH,13300,https://github.com/AMAI-GmbH/AI-Expert-Roadmap
shap,slundberg,13200,https://github.com/slundberg/shap
Dive-into-DL-PyTorch,ShusenTang,13100,https://github.com/ShusenTang/Dive-into-DL-PyTorch
mediapipe,google,13000,https://github.com/google/mediapipe
fastbook,fastai,12900,https://github.com/fastai/fastbook
stanford-cs-229-machine-learning,afshinea,12300,https://github.com/afshinea/stanford-cs-229-machine-learning
awesome-nlp,keon,12100,https://github.com/keon/awesome-nlp
ncnn,Tencent,12100,https://github.com/Tencent/ncnn
EasyOCR,JaidedAI,12000,https://github.com/JaidedAI/EasyOCR
Awesome-pytorch-list,bharathgs,12000,https://github.com/bharathgs/Awesome-pytorch-list
facenet,davidsandberg,11900,https://github.com/davidsandberg/facenet
imgaug,aleju,11500,https://github.com/aleju/imgaug
horovod,horovod,11400,https://github.com/horovod/horovod
tensor2tensor,tensorflow,11400,https://github.com/tensorflow/tensor2tensor
Machine-Learning-Tutorials,ujjwalkarn,11400,https://github.com/ujjwalkarn/Machine-Learning-Tutorials
first-order-model,AliaksandrSiarohin,11400,https://github.com/AliaksandrSiarohin/first-order-model
ml-agents,Unity-Technologies,11300,https://github.com/Unity-Technologies/ml-agents
