Repository Name,Username,Stars,URL
vg,GetStream,1200,https://github.com/GetStream/vg
nve,ehmicky,539,https://github.com/ehmicky/nve
mozart,coenjacobs,286,https://github.com/coenjacobs/mozart
micropipenv,thoth-station,110,https://github.com/thoth-station/micropipenv
reproducible-research,aaronpeikert,96,https://github.com/aaronpeikert/reproducible-research
deps-report,pichillilorenzo,80,https://github.com/pichillilorenzo/deps-report
framework-info,netlify,75,https://github.com/netlify/framework-info
bnd-platform,stempler,74,https://github.com/stempler/bnd-platform
updates,silverwind,67,https://github.com/silverwind/updates
graphdot,ewohltman,44,https://github.com/ewohltman/graphdot
gradle-upgrade-interactive,kevcodez,42,https://github.com/kevcodez/gradle-upgrade-interactive
mosec-maven-plugin,momosecurity,36,https://github.com/momosecurity/mosec-maven-plugin
gradle-libraries-plugin,fkorotkov,27,https://github.com/fkorotkov/gradle-libraries-plugin
nvexeca,ehmicky,22,https://github.com/ehmicky/nvexeca
get-bin-path,ehmicky,20,https://github.com/ehmicky/get-bin-path
mosec-composer-plugin,momosecurity,18,https://github.com/momosecurity/mosec-composer-plugin
dim,subelsky,17,https://github.com/subelsky/dim
multi-module-dependency-setup,nikhil-thakkar,17,https://github.com/nikhil-thakkar/multi-module-dependency-setup
github-actions-version-updater,saadmk11,15,https://github.com/saadmk11/github-actions-version-updater
mosec-pip-plugin,momosecurity,15,https://github.com/momosecurity/mosec-pip-plugin
sbt-eviction-rules,scalacenter,14,https://github.com/scalacenter/sbt-eviction-rules
get-node,ehmicky,11,https://github.com/ehmicky/get-node
mosec-node-plugin,momosecurity,10,https://github.com/momosecurity/mosec-node-plugin
mosec-gradle-plugin,momosecurity,9,https://github.com/momosecurity/mosec-gradle-plugin
PicoMaven,mikroskeem,7,https://github.com/mikroskeem/PicoMaven
normalize-node-version,ehmicky,5,https://github.com/ehmicky/normalize-node-version
einstein,asseco-pst,4,https://github.com/asseco-pst/einstein
get-node-cli,ehmicky,4,https://github.com/ehmicky/get-node-cli
all-node-versions,ehmicky,4,https://github.com/ehmicky/all-node-versions
go-poc-bp,BNPrashanth,4,https://github.com/BNPrashanth/go-poc-bp
tuplip,gofunky,3,https://github.com/gofunky/tuplip
terrafile-ify,sgreben,3,https://github.com/sgreben/terrafile-ify
node-version-alias,ehmicky,3,https://github.com/ehmicky/node-version-alias
fetch-node-website,ehmicky,2,https://github.com/ehmicky/fetch-node-website
preferred-node-version,ehmicky,2,https://github.com/ehmicky/preferred-node-version
edm,svenfinke,1,https://github.com/svenfinke/edm
Joke-Telling-App,vikasdesale,1,https://github.com/vikasdesale/Joke-Telling-App
Waffle,CodeReaper,1,https://github.com/CodeReaper/Waffle
prescriptions,thoth-station,1,https://github.com/thoth-station/prescriptions
JokeTeller,DroidNanoDegree,1,https://github.com/DroidNanoDegree/JokeTeller
BuildItBigger,musapkahraman,0,https://github.com/musapkahraman/BuildItBigger
module-tracker.py,jeongukjae,0,https://github.com/jeongukjae/module-tracker.py
helm-outdated,yurrriq,0,https://github.com/yurrriq/helm-outdated
depot,t13a,0,https://github.com/t13a/depot
xbird-starter,OpenYich,0,https://github.com/OpenYich/xbird-starter
pipenv-example,thinkjrs,0,https://github.com/thinkjrs/pipenv-example
swift-package-dependencies-check,MarcoEidinger,0,https://github.com/MarcoEidinger/swift-package-dependencies-check
Gradle-Example,valencra,0,https://github.com/valencra/Gradle-Example
java-modern-gradle-plugin,proticity-cloud,0,https://github.com/proticity-cloud/java-modern-gradle-plugin
dependency-properties-plugin,saksmt,0,https://github.com/saksmt/dependency-properties-plugin
Build-It-Bigger,osamashabana95,0,https://github.com/osamashabana95/Build-It-Bigger
gradle-platformbom-example,gregwhitaker,0,https://github.com/gregwhitaker/gradle-platformbom-example
brewery-bom,Qkiz288,0,https://github.com/Qkiz288/brewery-bom
renv-test,matt-dray,0,https://github.com/matt-dray/renv-test
gradle-dmt-plugin,starvn,0,https://github.com/starvn/gradle-dmt-plugin
gradle-maven-versioncatalog-example,gregwhitaker,0,https://github.com/gregwhitaker/gradle-maven-versioncatalog-example
helm-outdated-dependencies,sapcc,0,https://github.com/sapcc/helm-outdated-dependencies
s2i-example-micropipenv,fridex,0,https://github.com/fridex/s2i-example-micropipenv
cocoapods-store,jnewc,0,https://github.com/jnewc/cocoapods-store
Build-It-Bigger,lucaslprimo,0,https://github.com/lucaslprimo/Build-It-Bigger
