Repository Name,Username,Stars,URL
fastlane,fastlane,32600,https://github.com/fastlane/fastlane
ray,ray-project,16600,https://github.com/ray-project/ray
capistrano,capistrano,11900,https://github.com/capistrano/capistrano
deployer,deployphp,8600,https://github.com/deployphp/deployer
up,apex,8300,https://github.com/apex/up
caprover,caprover,7400,https://github.com/caprover/caprover
chef,chef,6600,https://github.com/chef/chef
AppImageKit,AppImage,6600,https://github.com/AppImage/AppImageKit
node-config,lorenwest,5200,https://github.com/lorenwest/node-config
shipit,shipitjs,5200,https://github.com/shipitjs/shipit
gaia,gaia-pipeline,4400,https://github.com/gaia-pipeline/gaia
st2,StackStorm,4400,https://github.com/StackStorm/st2
rundeck,rundeck,4300,https://github.com/rundeck/rundeck
gradle-play-publisher,Triple-T,3600,https://github.com/Triple-T/gradle-play-publisher
linuxdeploy,meefik,3500,https://github.com/meefik/linuxdeploy
Production-Level-Deep-Learning,alirezadir,3200,https://github.com/alirezadir/Production-Level-Deep-Learning
distillery,bitwalker,2800,https://github.com/bitwalker/distillery
rocketeer,rocketeers,2700,https://github.com/rocketeers/rocketeer
PaddleX,PaddlePaddle,2500,https://github.com/PaddlePaddle/PaddleX
react-gh-pages,gitname,2400,https://github.com/gitname/react-gh-pages
seldon-core,SeldonIO,2400,https://github.com/SeldonIO/seldon-core
opyrator,ml-tooling,2300,https://github.com/ml-tooling/opyrator
cobbler,cobbler,2100,https://github.com/cobbler/cobbler
deploy,ansistrano,2100,https://github.com/ansistrano/deploy
meli,getmeli,2100,https://github.com/getmeli/meli
now-examples,vercel,1900,https://github.com/vercel/now-examples
keel,keel-hq,1800,https://github.com/keel-hq/keel
github-pages-deploy-action,JamesIves,1700,https://github.com/JamesIves/github-pages-deploy-action
nnvm,dmlc,1600,https://github.com/dmlc/nnvm
snowflake,subhra74,1500,https://github.com/subhra74/snowflake
nanobox,nanobox-io,1500,https://github.com/nanobox-io/nanobox
laravel-deployer,lorisleiva,1500,https://github.com/lorisleiva/laravel-deployer
seldon-server,SeldonIO,1400,https://github.com/SeldonIO/seldon-server
linuxdeployqt,probonopd,1400,https://github.com/probonopd/linuxdeployqt
PHPloy,banago,1400,https://github.com/banago/PHPloy
AutomatedLab,AutomatedLab,1300,https://github.com/AutomatedLab/AutomatedLab
budgetml,ebhy,1200,https://github.com/ebhy/budgetml
AutoDMG,MagerValp,1200,https://github.com/MagerValp/AutoDMG
capsule,puniverse,1100,https://github.com/puniverse/capsule
exoframe,exoframejs,990,https://github.com/exoframejs/exoframe
keras-flask-deploy-webapp,mtobeiyf,900,https://github.com/mtobeiyf/keras-flask-deploy-webapp
docker-rails,ledermann,896,https://github.com/ledermann/docker-rails
deployer,REBELinBLUE,863,https://github.com/REBELinBLUE/deployer
