Repository Name,Username,Stars,URL
django,django,58500,https://github.com/django/django
sentry,getsentry,28500,https://github.com/getsentry/sentry
django-rest-framework,encode,21400,https://github.com/encode/django-rest-framework
awesome-cheatsheets,LeCoupa,21100,https://github.com/LeCoupa/awesome-cheatsheets
jumpserver,jumpserver,16400,https://github.com/jumpserver/jumpserver
saleor,mirumee,13400,https://github.com/mirumee/saleor
Zappa,Miserlou,11800,https://github.com/Miserlou/Zappa
wagtail,wagtail,10800,https://github.com/wagtail/wagtail
awx,ansible,9900,https://github.com/ansible/awx
django-cms,django-cms,8300,https://github.com/django-cms/django-cms
graphite-web,graphite-project,5300,https://github.com/graphite-project/graphite-web
cabot,arachnys,5100,https://github.com/arachnys/cabot
django-oscar,django-oscar,5000,https://github.com/django-oscar/django-oscar
posthog,PostHog,4400,https://github.com/PostHog/posthog
awesome-django,wsvincent,4200,https://github.com/wsvincent/awesome-django
OnlineJudge,QingdaoU,3900,https://github.com/QingdaoU/OnlineJudge
healthchecks,healthchecks,3900,https://github.com/healthchecks/healthchecks
DjangoBlog,liangliangyy,3900,https://github.com/liangliangyy/DjangoBlog
graphene-django,graphql-python,3600,https://github.com/graphql-python/graphene-django
django-jet,geex-arts,3100,https://github.com/geex-arts/django-jet
django-rest-framework-jwt,jpadilla,3100,https://github.com/jpadilla/django-rest-framework-jwt
adminset,guhongze,2900,https://github.com/guhongze/adminset
pyinstrument,joerick,2900,https://github.com/joerick/pyinstrument
django-react-redux-base,Seedstars,2600,https://github.com/Seedstars/django-react-redux-base
authlib,lepture,2600,https://github.com/lepture/authlib
django-shop,awesto,2600,https://github.com/awesto/django-shop
factory_boy,FactoryBoy,2600,https://github.com/FactoryBoy/factory_boy
ownphotos,hooram,2500,https://github.com/hooram/ownphotos
weblate,WeblateOrg,2500,https://github.com/WeblateOrg/weblate
Gerapy,Gerapy,2500,https://github.com/Gerapy/Gerapy
django-sspanel,Ehco1996,2400,https://github.com/Ehco1996/django-sspanel
drf-yasg,axnsan12,2300,https://github.com/axnsan12/drf-yasg
django-oauth-toolkit,jazzband,2300,https://github.com/jazzband/django-oauth-toolkit
django-material,viewflow,2300,https://github.com/viewflow/django-material
django-environ,joke2k,2300,https://github.com/joke2k/django-environ
django-webpack-loader,django-webpack,2300,https://github.com/django-webpack/django-webpack-loader
django-bootstrap3,zostera,2300,https://github.com/zostera/django-bootstrap3
django-rest-auth,Tivix,2300,https://github.com/Tivix/django-rest-auth
django-import-export,django-import-export,2200,https://github.com/django-import-export/django-import-export
Misago,rafalp,2100,https://github.com/rafalp/Misago
django-suit,darklow,2100,https://github.com/darklow/django-suit
bootcamp,vitorfs,2100,https://github.com/vitorfs/bootcamp
viewflow,viewflow,2100,https://github.com/viewflow/viewflow
awesome-opensource-apps,unicodeveloper,2100,https://github.com/unicodeveloper/awesome-opensource-apps
django-blog-zinnia,Fantomas42,2000,https://github.com/Fantomas42/django-blog-zinnia
pongo2,flosch,2000,https://github.com/flosch/pongo2
django-storages,jschneier,1900,https://github.com/jschneier/django-storages
django-sql-explorer,groveco,1900,https://github.com/groveco/django-sql-explorer
modoboa,modoboa,1800,https://github.com/modoboa/modoboa
dynaconf,rochacbruno,1800,https://github.com/rochacbruno/dynaconf
django-push-notifications,jazzband,1800,https://github.com/jazzband/django-push-notifications
django-fsm,viewflow,1800,https://github.com/viewflow/django-fsm
paperless-ng,jonaswinkler,1800,https://github.com/jonaswinkler/paperless-ng
pinry,pinry,1800,https://github.com/pinry/pinry
django-DefectDojo,DefectDojo,1700,https://github.com/DefectDojo/django-DefectDojo
django-braces,brack3t,1700,https://github.com/brack3t/django-braces
tera,Keats,1700,https://github.com/Keats/tera
shuup,shuup,1600,https://github.com/shuup/shuup
Wooey,wooey,1600,https://github.com/wooey/Wooey
ralph,allegro,1600,https://github.com/allegro/ralph
timestrap,overshard,1600,https://github.com/overshard/timestrap
django-autocomplete-light,yourlabs,1500,https://github.com/yourlabs/django-autocomplete-light
wger,wger-project,1500,https://github.com/wger-project/wger
askbot-devel,ASKBOT,1500,https://github.com/ASKBOT/askbot-devel
shynet,milesmcc,1500,https://github.com/milesmcc/shynet
django-cacheops,Suor,1400,https://github.com/Suor/django-cacheops
ariadne,mirumee,1400,https://github.com/mirumee/ariadne
django-celery,celery,1400,https://github.com/celery/django-celery
django-wiki,django-wiki,1400,https://github.com/django-wiki/django-wiki
django-rq,rq,1400,https://github.com/rq/django-rq
django-filer,django-cms,1400,https://github.com/django-cms/django-filer
django-tables2,jieter,1400,https://github.com/jieter/django-tables2
reminiscence,kanishka-linux,1400,https://github.com/kanishka-linux/reminiscence
pootle,translate,1400,https://github.com/translate/pootle
django-th,foxmask,1400,https://github.com/foxmask/django-th
MrDoc,zmister2016,1300,https://github.com/zmister2016/MrDoc
djongo,nesdis,1300,https://github.com/nesdis/djongo
evennia,evennia,1300,https://github.com/evennia/evennia
django-rules,dfunckt,1300,https://github.com/dfunckt/django-rules
papermerge,ciur,1300,https://github.com/ciur/papermerge
archer,jly8866,1300,https://github.com/jly8866/archer
arguman.org,arguman,1300,https://github.com/arguman/arguman.org
django-notifications,django-notifications,1300,https://github.com/django-notifications/django-notifications
best-of-web-python,ml-tooling,1300,https://github.com/ml-tooling/best-of-web-python
ara,ansible-community,1300,https://github.com/ansible-community/ara
django-react-boilerplate,vintasoftware,1300,https://github.com/vintasoftware/django-react-boilerplate
django-ninja,vitalik,1300,https://github.com/vitalik/django-ninja
loonflow,blackholll,1300,https://github.com/blackholll/loonflow
see,myide,1200,https://github.com/myide/see
django-vue-template,gtalarico,1200,https://github.com/gtalarico/django-vue-template
awesome-django-cn,haiiiiiyun,1200,https://github.com/haiiiiiyun/awesome-django-cn
django-helpdesk,django-helpdesk,1200,https://github.com/django-helpdesk/django-helpdesk
wemake-django-template,wemake-services,1200,https://github.com/wemake-services/wemake-django-template
django-polymorphic,django-polymorphic,1200,https://github.com/django-polymorphic/django-polymorphic
EvalAI,Cloud-CV,1200,https://github.com/Cloud-CV/EvalAI
webargs,marshmallow-code,1200,https://github.com/marshmallow-code/webargs
webterminal,jimmy201602,1200,https://github.com/jimmy201602/webterminal
cookiecutter-django-rest,agconti,1200,https://github.com/agconti/cookiecutter-django-rest
django-simple-captcha,mbi,1200,https://github.com/mbi/django-simple-captcha
api_automation_test,githublitao,1200,https://github.com/githublitao/api_automation_test
django-anymail,anymail,1200,https://github.com/anymail/django-anymail
drf-nested-routers,alanjds,1200,https://github.com/alanjds/drf-nested-routers
