Repository Name,Username,Stars,URL
moby,moby,60600,https://github.com/moby/moby
netdata,netdata,55200,https://github.com/netdata/netdata
mall,macrozheng,50900,https://github.com/macrozheng/mall
traefik,traefik,34300,https://github.com/traefik/traefik
kong,Kong,29600,https://github.com/Kong/kong
dive,wagoodman,26800,https://github.com/wagoodman/dive
spring-boot-examples,ityouknow,25800,https://github.com/ityouknow/spring-boot-examples
mastodon,mastodon,24400,https://github.com/mastodon/mastodon
drone,drone,23500,https://github.com/drone/drone
compose,docker,23000,https://github.com/docker/compose
dokku,dokku,21600,https://github.com/dokku/dokku
awesome-cheatsheets,LeCoupa,21100,https://github.com/LeCoupa/awesome-cheatsheets
docker-cheat-sheet,wsargent,20100,https://github.com/wsargent/docker-cheat-sheet
awesome-docker,veggiemonk,20100,https://github.com/veggiemonk/awesome-docker
faas,openfaas,20000,https://github.com/openfaas/faas
docker_practice,yeasy,19000,https://github.com/yeasy/docker_practice
portainer,portainer,18900,https://github.com/portainer/portainer
generator-jhipster,jhipster,18600,https://github.com/jhipster/generator-jhipster
eShopOnContainers,dotnet-architecture,18100,https://github.com/dotnet-architecture/eShopOnContainers
rancher,rancher,17200,https://github.com/rancher/rancher
n8n,n8n-io,16500,https://github.com/n8n-io/n8n
nginx-proxy,nginx-proxy,15000,https://github.com/nginx-proxy/nginx-proxy
Docker-OSX,sickcodes,14900,https://github.com/sickcodes/Docker-OSX
nvidia-docker,NVIDIA,13400,https://github.com/NVIDIA/nvidia-docker
kitematic,docker,12200,https://github.com/docker/kitematic
outline,outline,12000,https://github.com/outline/outline
devops-exercises,bregman-arie,11900,https://github.com/bregman-arie/devops-exercises
verdaccio,verdaccio,11900,https://github.com/verdaccio/verdaccio
awesome-kubernetes,ramitsurana,11800,https://github.com/ramitsurana/awesome-kubernetes
ctop,bcicen,11800,https://github.com/bcicen/ctop
docker-elk,deviantony,11500,https://github.com/deviantony/docker-elk
skaffold,GoogleContainerTools,11500,https://github.com/GoogleContainerTools/skaffold
gvisor,google,11400,https://github.com/google/gvisor
reaction,reactioncommerce,11300,https://github.com/reactioncommerce/reaction
transfer.sh,dutchcoders,11300,https://github.com/dutchcoders/transfer.sh
hydra,ory,11200,https://github.com/ory/hydra
dockerfiles,jessfraz,11100,https://github.com/jessfraz/dockerfiles
jib,GoogleContainerTools,10800,https://github.com/GoogleContainerTools/jib
laradock,laradock,10700,https://github.com/laradock/laradock
appwrite,appwrite,10500,https://github.com/appwrite/appwrite
kuboard-press,eip-work,10400,https://github.com/eip-work/kuboard-press
piggymetrics,sqshq,10400,https://github.com/sqshq/piggymetrics
docker-slim,docker-slim,10300,https://github.com/docker-slim/docker-slim
distroless,GoogleContainerTools,10000,https://github.com/GoogleContainerTools/distroless
labs,docker,10000,https://github.com/docker/labs
vaultwarden,dani-garcia,9800,https://github.com/dani-garcia/vaultwarden
chatwoot,chatwoot,9500,https://github.com/chatwoot/chatwoot
mall-learning,macrozheng,9200,https://github.com/macrozheng/mall-learning
rook,rook,8800,https://github.com/rook/rook
containerd,containerd,8800,https://github.com/containerd/containerd
SpaceX-API,r-spacex,8600,https://github.com/r-spacex/SpaceX-API
watchtower,containrrr,8500,https://github.com/containrrr/watchtower
pdf,itdevbooks,8400,https://github.com/itdevbooks/pdf
goreleaser,goreleaser,8300,https://github.com/goreleaser/goreleaser
runc,opencontainers,8200,https://github.com/opencontainers/runc
kind,kubernetes-sigs,8200,https://github.com/kubernetes-sigs/kind
vulhub,vulhub,8100,https://github.com/vulhub/vulhub
server,bitwarden,8000,https://github.com/bitwarden/server
mal,kanaka,8000,https://github.com/kanaka/mal
crawlab,crawlab-team,8000,https://github.com/crawlab-team/crawlab
clair,quay,7900,https://github.com/quay/clair
trivy,aquasecurity,7800,https://github.com/aquasecurity/trivy
paperwork,paperwork,7800,https://github.com/paperwork/paperwork
mlcourse.ai,Yorko,7700,https://github.com/Yorko/mlcourse.ai
docker-mailserver,docker-mailserver,7400,https://github.com/docker-mailserver/docker-mailserver
caprover,caprover,7400,https://github.com/caprover/caprover
kubeasz,easzlab,7100,https://github.com/easzlab/kubeasz
mall-swarm,macrozheng,7000,https://github.com/macrozheng/mall-swarm
openebs,openebs,7000,https://github.com/openebs/openebs
docker-gitlab,sameersbn,6900,https://github.com/sameersbn/docker-gitlab
docker-openvpn,kylemanna,6800,https://github.com/kylemanna/docker-openvpn
fabio,fabiolb,6700,https://github.com/fabiolb/fabio
authelia,authelia,6700,https://github.com/authelia/authelia
docker-node,nodejs,6600,https://github.com/nodejs/docker-node
flannel,flannel-io,6500,https://github.com/flannel-io/flannel
argo-cd,argoproj,6400,https://github.com/argoproj/argo-cd
kompose,kubernetes,6400,https://github.com/kubernetes/kompose
follow-me-install-kubernetes-cluster,opsnull,6400,https://github.com/opsnull/follow-me-install-kubernetes-cluster
full-stack-fastapi-postgresql,tiangolo,6300,https://github.com/tiangolo/full-stack-fastapi-postgresql
tini,krallin,6300,https://github.com/krallin/tini
firefly-iii,firefly-iii,6200,https://github.com/firefly-iii/firefly-iii
acme-companion,nginx-proxy,6100,https://github.com/nginx-proxy/acme-companion
weave,weaveworks,6100,https://github.com/weaveworks/weave
docker-stacks,jupyter,6100,https://github.com/jupyter/docker-stacks
socketcluster,SocketCluster,5800,https://github.com/SocketCluster/socketcluster
elasticsearch-dump,elasticsearch-dump,5600,https://github.com/elasticsearch-dump/elasticsearch-dump
aws-sam-cli,aws,5600,https://github.com/aws/aws-sam-cli
hadolint,hadolint,5600,https://github.com/hadolint/hadolint
apisix,apache,5600,https://github.com/apache/apisix
GuiLite,idea4good,5500,https://github.com/idea4good/GuiLite
terratest,gruntwork-io,5400,https://github.com/gruntwork-io/terratest
openwhisk,apache,5300,https://github.com/apache/openwhisk
docker-py,docker,5300,https://github.com/docker/docker-py
docker-ce,docker,5300,https://github.com/docker/docker-ce
datasette,simonw,5200,https://github.com/simonw/datasette
pachyderm,pachyderm,5100,https://github.com/pachyderm/pachyderm
docker-gc,spotify,5100,https://github.com/spotify/docker-gc
dumb-init,Yelp,5100,https://github.com/Yelp/dumb-init
testcontainers-java,testcontainers,5100,https://github.com/testcontainers/testcontainers-java
docker-selenium,SeleniumHQ,5100,https://github.com/SeleniumHQ/docker-selenium
scope,weaveworks,5000,https://github.com/weaveworks/scope
statping,statping,5000,https://github.com/statping/statping
fn,fnproject,4900,https://github.com/fnproject/fn
node-express-mongoose-demo,madhums,4900,https://github.com/madhums/node-express-mongoose-demo
docker-images,oracle,4800,https://github.com/oracle/docker-images
ansible-for-devops,geerlingguy,4800,https://github.com/geerlingguy/ansible-for-devops
imgproxy,imgproxy,4700,https://github.com/imgproxy/imgproxy
kraken,uber,4600,https://github.com/uber/kraken
docker,jenkinsci,4500,https://github.com/jenkinsci/docker
registrator,gliderlabs,4500,https://github.com/gliderlabs/registrator
posthog,PostHog,4400,https://github.com/PostHog/posthog
goss,aelsabbahy,4400,https://github.com/aelsabbahy/goss
favorites-web,cloudfavorites,4400,https://github.com/cloudfavorites/favorites-web
RustScan,RustScan,4300,https://github.com/RustScan/RustScan
docker-curriculum,prakhar1989,4300,https://github.com/prakhar1989/docker-curriculum
logspout,gliderlabs,4300,https://github.com/gliderlabs/logspout
papercups,papercups-io,4300,https://github.com/papercups-io/papercups
kubernetes-handbook,feiskyer,4300,https://github.com/feiskyer/kubernetes-handbook
budibase,Budibase,4200,https://github.com/Budibase/budibase
dockprom,stefanprodan,4100,https://github.com/stefanprodan/dockprom
