Repository Name,Username,Stars,URL
the-art-of-command-line,jlevy,92900,https://github.com/jlevy/the-art-of-command-line
storybook,storybookjs,63300,https://github.com/storybookjs/storybook
tldr,tldr-pages,33600,https://github.com/tldr-pages/tldr
wtfpython,satwikkansal,26900,https://github.com/satwikkansal/wtfpython
cheat.sh,chubin,26400,https://github.com/chubin/cheat.sh
devdocs,freeCodeCamp,26100,https://github.com/freeCodeCamp/devdocs
docusaurus,facebook,25100,https://github.com/facebook/docusaurus
docz,doczjs,21500,https://github.com/doczjs/docz
docsify,docsifyjs,18000,https://github.com/docsifyjs/docsify
professional-programming,charlax,15700,https://github.com/charlax/professional-programming
chinese-programmer-wrong-pronunciation,shimohq,14300,https://github.com/shimohq/chinese-programmer-wrong-pronunciation
electron-vue,SimulatedGREG,14200,https://github.com/SimulatedGREG/electron-vue
wiki,Requarks,13300,https://github.com/Requarks/wiki
tui.editor,nhn,13200,https://github.com/nhn/tui.editor
mkdocs,mkdocs,12500,https://github.com/mkdocs/mkdocs
jsdoc,jsdoc,12100,https://github.com/jsdoc/jsdoc
editor.md,pandao,11300,https://github.com/pandao/editor.md
react-styleguidist,styleguidist,9900,https://github.com/styleguidist/react-styleguidist
chinese-copywriting-guidelines,sparanoid,9800,https://github.com/sparanoid/chinese-copywriting-guidelines
zeal,zealdocs,8900,https://github.com/zealdocs/zeal
opensource.guide,github,8600,https://github.com/github/opensource.guide
cheat,cheat,7500,https://github.com/cheat/cheat
Dash-iOS,Kapeli,7000,https://github.com/Kapeli/Dash-iOS
mkdocs-material,squidfunk,7000,https://github.com/squidfunk/mkdocs-material
BookStack,BookStackApp,6900,https://github.com/BookStackApp/BookStack
lemonade-stand,nayafia,6400,https://github.com/nayafia/lemonade-stand
reactjs.org,reactjs,5700,https://github.com/reactjs/reactjs.org
documentation,documentationjs,5400,https://github.com/documentationjs/documentation
typedoc,TypeStrong,5000,https://github.com/TypeStrong/typedoc
TypeScript-Handbook,microsoft,4900,https://github.com/microsoft/TypeScript-Handbook
docs,tensorflow,4700,https://github.com/tensorflow/docs
awesome-webpack,webpack-contrib,4500,https://github.com/webpack-contrib/awesome-webpack
sklearn-doc-zh,apachecn,4300,https://github.com/apachecn/sklearn-doc-zh
The-Documentation-Compendium,kylelobo,4200,https://github.com/kylelobo/The-Documentation-Compendium
standard-readme,RichardLitt,4100,https://github.com/RichardLitt/standard-readme
EntityComponentSystemSamples,Unity-Technologies,4100,https://github.com/Unity-Technologies/EntityComponentSystemSamples
sphinx,sphinx-doc,4000,https://github.com/sphinx-doc/sphinx
assemble,assemble,4000,https://github.com/assemble/assemble
aws-doc-sdk-examples,awsdocs,3900,https://github.com/awsdocs/aws-doc-sdk-examples
bad-data-guide,Quartz,3800,https://github.com/Quartz/bad-data-guide
