Repository Name,Username,Stars,URL
You-Dont-Know-JS,getify,142000,https://github.com/getify/You-Dont-Know-JS
javascript,airbnb,112000,https://github.com/airbnb/javascript
nodebestpractices,goldbergyoni,68700,https://github.com/goldbergyoni/nodebestpractices
webpack,webpack,58700,https://github.com/webpack/webpack
33-js-concepts,leonardomso,41800,https://github.com/leonardomso/33-js-concepts
babel,babel,39400,https://github.com/babel/babel
parcel,parcel-bundler,38600,https://github.com/parcel-bundler/parcel
esbuild,evanw,25800,https://github.com/evanw/esbuild
standard,standard,25700,https://github.com/standard/standard
modern-js-cheatsheet,mbeaudru,21400,https://github.com/mbeaudru/modern-js-cheatsheet
react-redux-links,markerikson,20700,https://github.com/markerikson/react-redux-links
mojs,mojs,16900,https://github.com/mojs/mojs
draggable,Shopify,15300,https://github.com/Shopify/draggable
core-js,zloirock,14900,https://github.com/zloirock/core-js
electron-vue,SimulatedGREG,14200,https://github.com/SimulatedGREG/electron-vue
k6,k6io,12900,https://github.com/k6io/k6
wp-calypso,Automattic,11800,https://github.com/Automattic/wp-calypso
technology-talk,aalansehaiyang,11700,https://github.com/aalansehaiyang/technology-talk
x-spreadsheet,myliang,11500,https://github.com/myliang/x-spreadsheet
sage,roots,11300,https://github.com/roots/sage
vuestic-admin,epicmaxco,8100,https://github.com/epicmaxco/vuestic-admin
blog,jawil,7800,https://github.com/jawil/blog
thejsway,thejsway,7300,https://github.com/thejsway/thejsway
terser,terser,6200,https://github.com/terser/terser
js-code-to-svg-flowchart,Bogdan-Lyashenko,6100,https://github.com/Bogdan-Lyashenko/js-code-to-svg-flowchart
glide,glidejs,6100,https://github.com/glidejs/glide
BizCharts,alibaba,5700,https://github.com/alibaba/BizCharts
lebab,lebab,5400,https://github.com/lebab/lebab
GoJS,NorthwoodsSoftware,5400,https://github.com/NorthwoodsSoftware/GoJS
madge,pahen,5100,https://github.com/pahen/madge
esm,standard-things,5000,https://github.com/standard-things/esm
ES6-for-humans,metagrover,4900,https://github.com/metagrover/ES6-for-humans
backpack,jaredpalmer,4400,https://github.com/jaredpalmer/backpack
es6,bevacqua,4400,https://github.com/bevacqua/es6
react,duxianwei520,4200,https://github.com/duxianwei520/react
