Repository Name,Username,Stars,URL
javascript,airbnb,112000,https://github.com/airbnb/javascript
nodebestpractices,goldbergyoni,68700,https://github.com/goldbergyoni/nodebestpractices
standard,standard,25700,https://github.com/standard/standard
eslint,eslint,18800,https://github.com/eslint/eslint
js-stack-from-scratch,verekia,18600,https://github.com/verekia/js-stack-from-scratch
electron-react-boilerplate,electron-react-boilerplate,17900,https://github.com/electron-react-boilerplate/electron-react-boilerplate
front-end-guide,grab,13800,https://github.com/grab/front-end-guide
typescript-eslint,typescript-eslint,9900,https://github.com/typescript-eslint/typescript-eslint
lint-staged,okonet,8800,https://github.com/okonet/lint-staged
eslint-plugin-react,yannickcr,7200,https://github.com/yannickcr/eslint-plugin-react
xo,xojs,6000,https://github.com/xojs/xo
snowflake,bartonhammond,4600,https://github.com/bartonhammond/snowflake
eslint-plugin-vue,vuejs,3500,https://github.com/vuejs/eslint-plugin-vue
lsp-mode,emacs-lsp,3400,https://github.com/emacs-lsp/lsp-mode
prettier-eslint,prettier,3300,https://github.com/prettier/prettier-eslint
eslint-config-prettier,prettier,3100,https://github.com/prettier/eslint-config-prettier
babel-eslint,babel,3000,https://github.com/babel/babel-eslint
rushstack,microsoft,2800,https://github.com/microsoft/rushstack
express-mongoose-es6-rest-api,kunalkapadia,2800,https://github.com/kunalkapadia/express-mongoose-es6-rest-api
eslint-plugin-compat,amilajack,2700,https://github.com/amilajack/eslint-plugin-compat
awesome-eslint,dustinspecker,2600,https://github.com/dustinspecker/awesome-eslint
eslint-plugin-jsx-a11y,jsx-eslint,2400,https://github.com/jsx-eslint/eslint-plugin-jsx-a11y
100-days-of-code-frontend,nas5w,2400,https://github.com/nas5w/100-days-of-code-frontend
eslint-config-wesbos,wesbos,2200,https://github.com/wesbos/eslint-config-wesbos
eslint-config-standard,standard,2100,https://github.com/standard/eslint-config-standard
eslint-config-alloy,AlloyTeam,2000,https://github.com/AlloyTeam/eslint-config-alloy
eslint-plugin-unicorn,sindresorhus,1900,https://github.com/sindresorhus/eslint-plugin-unicorn
callapp-lib,suanmei,1700,https://github.com/suanmei/callapp-lib
static-site-boilerplate,ericalli,1600,https://github.com/ericalli/static-site-boilerplate
fork-ts-checker-webpack-plugin,TypeStrong,1400,https://github.com/TypeStrong/fork-ts-checker-webpack-plugin
gatsby-themes,LekoArts,1400,https://github.com/LekoArts/gatsby-themes
VueDemo_Sell_Eleme,SimonZhangITer,1400,https://github.com/SimonZhangITer/VueDemo_Sell_Eleme
vue-web-extension,Kocal,1300,https://github.com/Kocal/vue-web-extension
node-typescript-boilerplate,jsynowiec,1200,https://github.com/jsynowiec/node-typescript-boilerplate
starter,graphile,1200,https://github.com/graphile/starter
javascript,lin-123,1100,https://github.com/lin-123/javascript
eslint-plugin-flowtype,gajus,1100,https://github.com/gajus/eslint-plugin-flowtype
generator-fountain-webapp,FountainJS,980,https://github.com/FountainJS/generator-fountain-webapp
budgeting,ModusCreateOrg,976,https://github.com/ModusCreateOrg/budgeting
angular-eslint,angular-eslint,913,https://github.com/angular-eslint/angular-eslint
SublimeLinter-eslint,SublimeLinter,844,https://github.com/SublimeLinter/SublimeLinter-eslint
prettier-standard,sheerun,825,https://github.com/sheerun/prettier-standard
eslint-plugin-node,mysticatea,769,https://github.com/mysticatea/eslint-plugin-node
eslint-plugin-jest,jest-community,761,https://github.com/jest-community/eslint-plugin-jest
prettier-atom,prettier,759,https://github.com/prettier/prettier-atom
mevn-cli,madlabsinc,744,https://github.com/madlabsinc/mevn-cli
tslint-to-eslint-config,typescript-eslint,723,https://github.com/typescript-eslint/tslint-to-eslint-config
react-ssr-setup,manuelbieh,710,https://github.com/manuelbieh/react-ssr-setup
serverless-typescript-starter,postlight,672,https://github.com/postlight/serverless-typescript-starter
wemake-vue-template,wemake-services,665,https://github.com/wemake-services/wemake-vue-template
eslint_d.js,mantoni,657,https://github.com/mantoni/eslint_d.js
react-isomorphic-boilerplate,chikara-chan,655,https://github.com/chikara-chan/react-isomorphic-boilerplate
node-express-mongodb-jwt-rest-api-skeleton,davellanedam,645,https://github.com/davellanedam/node-express-mongodb-jwt-rest-api-skeleton
javascript-airbnb,leonidlebedev,633,https://github.com/leonidlebedev/javascript-airbnb
eslint-plugin-simple-import-sort,lydell,627,https://github.com/lydell/eslint-plugin-simple-import-sort
express-babel,vmasto,626,https://github.com/vmasto/express-babel
esprint,pinterest,587,https://github.com/pinterest/esprint
linter-eslint,AtomLinter,586,https://github.com/AtomLinter/linter-eslint
