Repository Name,Username,Stars,URL
vscode,microsoft,119000,https://github.com/microsoft/vscode
electron,electron,94400,https://github.com/electron/electron
atom,atom,55700,https://github.com/atom/atom
edex-ui,GitSquared,33100,https://github.com/GitSquared/edex-ui
nativefier,nativefier,27600,https://github.com/nativefier/nativefier
Motrix,agalwood,26700,https://github.com/agalwood/Motrix
playwright,microsoft,25700,https://github.com/microsoft/playwright
typeorm,typeorm,24900,https://github.com/typeorm/typeorm
nylas-mail,nylas,24600,https://github.com/nylas/nylas-mail
joplin,laurent22,24200,https://github.com/laurent22/joplin
awesome-electron,sindresorhus,21700,https://github.com/sindresorhus/awesome-electron
upterm,railsware,19500,https://github.com/railsware/upterm
marktext,marktext,19000,https://github.com/marktext/marktext
quasar,quasarframework,19000,https://github.com/quasarframework/quasar
nightmare,segmentio,18900,https://github.com/segmentio/nightmare
tabby,Eugeny,18500,https://github.com/Eugeny/tabby
notable,notable,18000,https://github.com/notable/notable
electron-react-boilerplate,electron-react-boilerplate,17900,https://github.com/electron-react-boilerplate/electron-react-boilerplate
Boostnote,BoostIO,17400,https://github.com/BoostIO/Boostnote
lowdb,typicode,15800,https://github.com/typicode/lowdb
rxdb,pubkey,15800,https://github.com/pubkey/rxdb
theia,eclipse-theia,15100,https://github.com/eclipse-theia/theia
electron-vue,SimulatedGREG,14200,https://github.com/SimulatedGREG/electron-vue
zulip,zulip,13900,https://github.com/zulip/zulip
Kap,wulkano,13900,https://github.com/wulkano/Kap
SwitchHosts,oldj,13800,https://github.com/oldj/SwitchHosts
electronic-wechat,geeeeeeeeek,13800,https://github.com/geeeeeeeeek/electronic-wechat
PicGo,Molunerfinn,13700,https://github.com/Molunerfinn/PicGo
responsively-app,responsively-org,12400,https://github.com/responsively-org/responsively-app
desktop,desktop,12400,https://github.com/desktop/desktop
kitematic,docker,12200,https://github.com/docker/kitematic
deskreen,pavlobu,11100,https://github.com/pavlobu/deskreen
Mailspring,Foundry376,11000,https://github.com/Foundry376/Mailspring
magnetW,xiandanin,10900,https://github.com/xiandanin/magnetW
electron-builder,electron-userland,10700,https://github.com/electron-userland/electron-builder
medis,luin,10200,https://github.com/luin/medis
keeweb,keeweb,10200,https://github.com/keeweb/keeweb
reactide,reactide,10200,https://github.com/reactide/reactide
photon,connors,9700,https://github.com/connors/photon
ZY-Player,cuiocean,9600,https://github.com/cuiocean/ZY-Player
YesPlayMusic,qier222,9000,https://github.com/qier222/YesPlayMusic
react-native-debugger,jhen0409,8700,https://github.com/jhen0409/react-native-debugger
Lepton,hackjutsu,8700,https://github.com/hackjutsu/Lepton
ieaseMusic,trazyn,8500,https://github.com/trazyn/ieaseMusic
Google-Play-Music-Desktop-Player-UNOFFICIAL-,MarshallOfSound,8500,https://github.com/MarshallOfSound/Google-Play-Music-Desktop-Player-UNOFFICIAL-
Winds,GetStream,8400,https://github.com/GetStream/Winds
webtorrent-desktop,webtorrent,8300,https://github.com/webtorrent/webtorrent-desktop
pencil,evolus,8100,https://github.com/evolus/pencil
browser-laptop,brave,8000,https://github.com/brave/browser-laptop
electron-packager,electron,7700,https://github.com/electron/electron-packager
revery,revery-ui,7600,https://github.com/revery-ui/revery
devhub,devhubapp,7500,https://github.com/devhubapp/devhub
macintosh.js,felixrieseberg,7500,https://github.com/felixrieseberg/macintosh.js
gridea,getgridea,7500,https://github.com/getgridea/gridea
mist,ethereum,7400,https://github.com/ethereum/mist
cerebro,cerebroapp,7000,https://github.com/cerebroapp/cerebro
nuclear,nukeop,6600,https://github.com/nukeop/nuclear
beekeeper-studio,beekeeper-studio,6500,https://github.com/beekeeper-studio/beekeeper-studio
azuredatastudio,microsoft,6400,https://github.com/microsoft/azuredatastudio
outline-client,Jigsaw-Code,6300,https://github.com/Jigsaw-Code/outline-client
beaker,beakerbrowser,6300,https://github.com/beakerbrowser/beaker
caprine,sindresorhus,6000,https://github.com/sindresorhus/caprine
Electron.NET,ElectronNET,5800,https://github.com/ElectronNET/Electron.NET
fiddle,electron,5600,https://github.com/electron/fiddle
weweChat,trazyn,5600,https://github.com/trazyn/weweChat
Zettlr,Zettlr,5300,https://github.com/Zettlr/Zettlr
udemy-downloader-gui,FaisalUmair,5100,https://github.com/FaisalUmair/udemy-downloader-gui
Manta,hql287,5100,https://github.com/hql287/Manta
miniblink49,weolar,5100,https://github.com/weolar/miniblink49
react-native-nw-react-calculator,benoitvallon,5100,https://github.com/benoitvallon/react-native-nw-react-calculator
nodegit,nodegit,4900,https://github.com/nodegit/nodegit
node-serialport,serialport,4900,https://github.com/serialport/node-serialport
soundnode-app,Soundnode,4800,https://github.com/Soundnode/soundnode-app
falcon,plotly,4800,https://github.com/plotly/falcon
OpenSC2K,nicholas-ochoa,4700,https://github.com/nicholas-ochoa/OpenSC2K
angular-electron,maximegris,4700,https://github.com/maximegris/angular-electron
electron-forge,electron-userland,4400,https://github.com/electron-userland/electron-forge
polar-bookshelf,burtonator,4400,https://github.com/burtonator/polar-bookshelf
betwixt,kdzwinel,4300,https://github.com/kdzwinel/betwixt
electrino,pojala,4100,https://github.com/pojala/electrino
franz,meetfranz,4000,https://github.com/meetfranz/franz
Moeditor,Moeditor,4000,https://github.com/Moeditor/Moeditor
outline-server,Jigsaw-Code,3900,https://github.com/Jigsaw-Code/outline-server
go-astilectron,asticode,3900,https://github.com/asticode/go-astilectron
dev-sidecar,docmirror,3800,https://github.com/docmirror/dev-sidecar
sqlectron-gui,sqlectron,3700,https://github.com/sqlectron/sqlectron-gui
buttercup-desktop,buttercup,3600,https://github.com/buttercup/buttercup-desktop
lbry-desktop,lbryio,3600,https://github.com/lbryio/lbry-desktop
Thief,cteamx,3600,https://github.com/cteamx/Thief
altair,altair-graphql,3500,https://github.com/altair-graphql/altair
electron-sample-apps,hokein,3500,https://github.com/hokein/electron-sample-apps
electerm,electerm,3500,https://github.com/electerm/electerm
felony,henryboldi,3500,https://github.com/henryboldi/felony
patchwork,ssbc,3500,https://github.com/ssbc/patchwork
Publii,GetPublii,3400,https://github.com/GetPublii/Publii
melonJS,melonjs,3400,https://github.com/melonjs/melonJS
ramme,terkelg,3300,https://github.com/terkelg/ramme
pennywise,kamranahmedse,3300,https://github.com/kamranahmedse/pennywise
gitify,manosim,3300,https://github.com/manosim/gitify
vue-cli-plugin-electron-builder,nklayman,3300,https://github.com/nklayman/vue-cli-plugin-electron-builder
react-proto,React-Proto,3200,https://github.com/React-Proto/react-proto
hain,hainproject,3200,https://github.com/hainproject/hain
ganache,trufflesuite,3100,https://github.com/trufflesuite/ganache
electron-store,sindresorhus,3000,https://github.com/sindresorhus/electron-store
ferdi,getferdi,3000,https://github.com/getferdi/ferdi
mockoon,mockoon,3000,https://github.com/mockoon/mockoon
streamlabs-obs,stream-labs,2900,https://github.com/stream-labs/streamlabs-obs
desktop,bitwarden,2800,https://github.com/bitwarden/desktop
electron-webpack-dashboard,FormidableLabs,2800,https://github.com/FormidableLabs/electron-webpack-dashboard
stretchly,hovancik,2700,https://github.com/hovancik/stretchly
