Repository Name,Username,Stars,URL
phoenix,phoenixframework,16900,https://github.com/phoenixframework/phoenix
asdf,asdf-vm,11300,https://github.com/asdf-vm/asdf
dogehouse,benawad,9200,https://github.com/benawad/dogehouse
analytics,plausible,8200,https://github.com/plausible/analytics
awesomo,lk-geimfari,8000,https://github.com/lk-geimfari/awesomo
translations,oldratlee,5900,https://github.com/oldratlee/translations
papercups,papercups-io,4300,https://github.com/papercups-io/papercups
credo,rrrene,4000,https://github.com/rrrene/credo
elixir_style_guide,christopheradams,3800,https://github.com/christopheradams/elixir_style_guide
realtime,supabase,3700,https://github.com/supabase/realtime
absinthe,absinthe-graphql,3700,https://github.com/absinthe-graphql/absinthe
guardian,ueberauth,3100,https://github.com/ueberauth/guardian
elixirschool,elixirschool,3000,https://github.com/elixirschool/elixirschool
rustler,rusterlium,2900,https://github.com/rusterlium/rustler
distillery,bitwalker,2800,https://github.com/bitwalker/distillery
changelog.com,thechangelog,2300,https://github.com/thechangelog/changelog.com
dependabot-core,dependabot,2000,https://github.com/dependabot/dependabot-core
httpoison,edgurgel,2000,https://github.com/edgurgel/httpoison
poison,devinus,1900,https://github.com/devinus/poison
livebook,elixir-nx,1800,https://github.com/elixir-nx/livebook
quantum-core,quantum-elixir,1800,https://github.com/quantum-elixir/quantum-core
elixir-koans,elixirkoans,1700,https://github.com/elixirkoans/elixir-koans
bamboo,thoughtbot,1700,https://github.com/thoughtbot/bamboo
nerves,nerves-project,1700,https://github.com/nerves-project/nerves
ex_machina,thoughtbot,1600,https://github.com/thoughtbot/ex_machina
floki,philss,1600,https://github.com/philss/floki
nodebook,netgusto,1500,https://github.com/netgusto/nodebook
elixirscript,elixirscript,1500,https://github.com/elixirscript/elixirscript
timex,bitwalker,1500,https://github.com/bitwalker/timex
tesla,teamon,1500,https://github.com/teamon/tesla
broadway,dashbitco,1500,https://github.com/dashbitco/broadway
elixir-companies,beam-community,1500,https://github.com/beam-community/elixir-companies
intellij-elixir,KronicDeth,1400,https://github.com/KronicDeth/intellij-elixir
nx,elixir-nx,1400,https://github.com/elixir-nx/nx
libcluster,bitwalker,1400,https://github.com/bitwalker/libcluster
commanded,commanded,1400,https://github.com/commanded/commanded
manifold,discord,1300,https://github.com/discord/manifold
dialyxir,jeremyjh,1300,https://github.com/jeremyjh/dialyxir
ueberauth,ueberauth,1300,https://github.com/ueberauth/ueberauth
pow,danschultzer,1300,https://github.com/danschultzer/pow
exq,akira,1200,https://github.com/akira/exq
jason,michalmuskala,1200,https://github.com/michalmuskala/jason
coherence,smpallen99,1200,https://github.com/smpallen99/coherence
