Repository Name,Username,Stars,URL
spacemacs,syl20bnr,21600,https://github.com/syl20bnr/spacemacs
dracula-theme,dracula,16000,https://github.com/dracula/dracula-theme
doom-emacs,hlissner,11400,https://github.com/hlissner/doom-emacs
awesome-emacs,emacs-tw,6500,https://github.com/emacs-tw/awesome-emacs
nyxt,atlas-engineer,6500,https://github.com/atlas-engineer/nyxt
magit,magit,5100,https://github.com/magit/magit
filestash,mickael-kerjean,4700,https://github.com/mickael-kerjean/filestash
prelude,bbatsov,4700,https://github.com/bbatsov/prelude
remacs,remacs,4500,https://github.com/remacs/remacs
use-package,jwiegley,3600,https://github.com/jwiegley/use-package
lsp-mode,emacs-lsp,3400,https://github.com/emacs-lsp/lsp-mode
projectile,bbatsov,3300,https://github.com/bbatsov/projectile
cider,clojure-emacs,3200,https://github.com/clojure-emacs/cider
helm,emacs-helm,3000,https://github.com/emacs-helm/helm
know-your-http-well,for-GET,2200,https://github.com/for-GET/know-your-http-well
flycheck,flycheck,2100,https://github.com/flycheck/flycheck
evil,emacs-evil,2000,https://github.com/emacs-evil/evil
Spacemacs-rocks,emacs-china,2000,https://github.com/emacs-china/Spacemacs-rocks
swiper,abo-abo,1900,https://github.com/abo-abo/swiper
straight.el,raxod502,1700,https://github.com/raxod502/straight.el
emacs-application-framework,manateelazycat,1600,https://github.com/manateelazycat/emacs-application-framework
auto-complete,auto-complete,1600,https://github.com/auto-complete/auto-complete
emacs-doom-themes,hlissner,1600,https://github.com/hlissner/emacs-doom-themes
org-brain,Kungsgeten,1500,https://github.com/Kungsgeten/org-brain
slime,slime,1500,https://github.com/slime/slime
smartparens,Fuco1,1500,https://github.com/Fuco1/smartparens
organice,200ok-ch,1500,https://github.com/200ok-ch/organice
web-mode,fxbois,1400,https://github.com/fxbois/web-mode
treemacs,Alexander-Miller,1400,https://github.com/Alexander-Miller/treemacs
.emacs.d,seagle0128,1300,https://github.com/seagle0128/.emacs.d
merlin,ocaml,1300,https://github.com/ocaml/merlin
dumb-jump,jacktasia,1300,https://github.com/jacktasia/dumb-jump
tide,ananthakumaran,1300,https://github.com/ananthakumaran/tide
books-pdf,huyubing,1300,https://github.com/huyubing/books-pdf
emacs-which-key,justbur,1200,https://github.com/justbur/emacs-which-key
org-web,DanielDe,1200,https://github.com/DanielDe/org-web
vscode-org-mode,vscode-org-mode,1100,https://github.com/vscode-org-mode/vscode-org-mode
emacs-document,lujun9972,1100,https://github.com/lujun9972/emacs-document
all-the-icons.el,domtronn,1100,https://github.com/domtronn/all-the-icons.el
nano-emacs,rougier,1100,https://github.com/rougier/nano-emacs
homebrew-emacs-plus,d12frosted,1100,https://github.com/d12frosted/homebrew-emacs-plus
Indium,NicolasPetton,1100,https://github.com/NicolasPetton/Indium
intero,chrisdone,1000,https://github.com/chrisdone/intero
elegant-emacs,rougier,1000,https://github.com/rougier/elegant-emacs
emacs-libvterm,akermu,1000,https://github.com/akermu/emacs-libvterm
emacs-slack,yuya373,948,https://github.com/yuya373/emacs-slack
emacs-anywhere,zachcurry,944,https://github.com/zachcurry/emacs-anywhere
emacs.dz,caisah,912,https://github.com/caisah/emacs.dz
org-super-agenda,alphapapa,910,https://github.com/alphapapa/org-super-agenda
yasnippet-snippets,AndreaCrotti,879,https://github.com/AndreaCrotti/yasnippet-snippets
dap-mode,emacs-lsp,868,https://github.com/emacs-lsp/dap-mode
irony-mode,Sarcasm,863,https://github.com/Sarcasm/irony-mode
zenburn-emacs,bbatsov,845,https://github.com/bbatsov/zenburn-emacs
smart-mode-line,Malabarba,824,https://github.com/Malabarba/smart-mode-line
sly,joaotavora,822,https://github.com/joaotavora/sly
AceJump,acejump,814,https://github.com/acejump/AceJump
clojure-mode,clojure-emacs,807,https://github.com/clojure-emacs/clojure-mode
org-ql,alphapapa,796,https://github.com/alphapapa/org-ql
emacs-ng,emacs-ng,794,https://github.com/emacs-ng/emacs-ng
doom-modeline,seagle0128,793,https://github.com/seagle0128/doom-modeline
dotfiles,da-edra,760,https://github.com/da-edra/dotfiles
emacs-dashboard,emacs-dashboard,755,https://github.com/emacs-dashboard/emacs-dashboard
evil-collection,emacs-evil,754,https://github.com/emacs-evil/evil-collection
Memacs,novoid,746,https://github.com/novoid/Memacs
uncap,susam,736,https://github.com/susam/uncap
org-noter,weirdNox,726,https://github.com/weirdNox/org-noter
clj-refactor.el,clojure-emacs,705,https://github.com/clojure-emacs/clj-refactor.el
emacs-package-dev-handbook,alphapapa,696,https://github.com/alphapapa/emacs-package-dev-handbook
cmake-ide,atilaneves,671,https://github.com/atilaneves/cmake-ide
sx.el,vermiculus,670,https://github.com/vermiculus/sx.el
helpful,Wilfred,661,https://github.com/Wilfred/helpful
scimax,jkitchin,660,https://github.com/jkitchin/scimax
solarized-emacs,bbatsov,657,https://github.com/bbatsov/solarized-emacs
eslint_d.js,mantoni,657,https://github.com/mantoni/eslint_d.js
markdown-mode,jrblevin,649,https://github.com/jrblevin/markdown-mode
anaconda-mode,pythonic-emacs,642,https://github.com/pythonic-emacs/anaconda-mode
ox-hugo,kaushalmodi,612,https://github.com/kaushalmodi/ox-hugo
nyan-mode,TeMPOraL,612,https://github.com/TeMPOraL/nyan-mode
rjsx-mode,felipeochoa,609,https://github.com/felipeochoa/rjsx-mode
olivetti,rnkn,602,https://github.com/rnkn/olivetti
god-mode,emacsorphanage,600,https://github.com/emacsorphanage/god-mode
diff-hl,dgutov,597,https://github.com/dgutov/diff-hl
crux,bbatsov,594,https://github.com/bbatsov/crux
telega.el,zevlg,594,https://github.com/zevlg/telega.el
magithub,vermiculus,591,https://github.com/vermiculus/magithub
editorconfig-emacs,editorconfig,589,https://github.com/editorconfig/editorconfig-emacs
meghanada-emacs,mopemope,585,https://github.com/mopemope/meghanada-emacs
its,PDP-10,585,https://github.com/PDP-10/its
racket-mode,greghendershott,582,https://github.com/greghendershott/racket-mode
emacs-from-scratch,daviwil,578,https://github.com/daviwil/emacs-from-scratch
Emacs-Elisp-Programming,caiorss,566,https://github.com/caiorss/Emacs-Elisp-Programming
deft,jrblevin,553,https://github.com/jrblevin/deft
dotfiles,hrs,550,https://github.com/hrs/dotfiles
org-roam-server,org-roam,542,https://github.com/org-roam/org-roam-server
docker.el,Silex,537,https://github.com/Silex/docker.el
php-mode,emacs-php,529,https://github.com/emacs-php/php-mode
robe,dgutov,528,https://github.com/dgutov/robe
ggtags,leoliu,528,https://github.com/leoliu/ggtags
portacle,portacle,522,https://github.com/portacle/portacle
import-js,Galooshi,517,https://github.com/Galooshi/import-js
Zero-to-Emacs-and-Org-roam,nobiot,507,https://github.com/nobiot/Zero-to-Emacs-and-Org-roam
spacemacs-theme,nashamri,504,https://github.com/nashamri/spacemacs-theme
