Repository Name,Username,Stars,URL
storybook,storybookjs,63300,https://github.com/storybookjs/storybook
Ghost,TryGhost,38000,https://github.com/TryGhost/Ghost
discourse,discourse,33600,https://github.com/discourse/discourse
ember.js,emberjs,21900,https://github.com/emberjs/ember.js
text-mask,text-mask,8000,https://github.com/text-mask/text-mask
sharedrop,szimek,4900,https://github.com/szimek/sharedrop
ember-cli,ember-cli,3300,https://github.com/ember-cli/ember-cli
data,emberjs,3000,https://github.com/emberjs/data
ember-simple-auth,simplabs,1900,https://github.com/simplabs/ember-simple-auth
ember-table,Addepar,1700,https://github.com/Addepar/ember-table
zoid,krakenjs,1600,https://github.com/krakenjs/zoid
awesome-grid,FancyGrid,1200,https://github.com/FancyGrid/awesome-grid
ember-inspector,emberjs,940,https://github.com/emberjs/ember-inspector
ember-paper,miguelcobain,871,https://github.com/miguelcobain/ember-paper
ember-cli-mirage,miragejs,853,https://github.com/miragejs/ember-cli-mirage
storefront-api-examples,Shopify,842,https://github.com/Shopify/storefront-api-examples
ember-electron,adopted-ember-addons,792,https://github.com/adopted-ember-addons/ember-electron
rfcs,emberjs,735,https://github.com/emberjs/rfcs
website,emberjs,623,https://github.com/emberjs/website
travis-web,travis-ci,586,https://github.com/travis-ci/travis-web
Admin,TryGhost,558,https://github.com/TryGhost/Admin
ember-power-select,cibernox,520,https://github.com/cibernox/ember-power-select
ember-engines,ember-engines,488,https://github.com/ember-engines/ember-engines
ui,rancher,485,https://github.com/rancher/ui
ember-bootstrap,kaliber5,474,https://github.com/kaliber5/ember-bootstrap
ember-cp-validations,offirgolan,441,https://github.com/offirgolan/ember-cp-validations
ember-intl,ember-intl,416,https://github.com/ember-intl/ember-intl
esri-loader,Esri,410,https://github.com/Esri/esri-loader
ember-infinity,ember-infinity,370,https://github.com/ember-infinity/ember-infinity
ember-runloop-handbook,eoinkelly,367,https://github.com/eoinkelly/ember-runloop-handbook
