Repository Name,Username,Stars,URL
rich,willmcgugan,27500,https://github.com/willmcgugan/rich
marktext,marktext,19000,https://github.com/marktext/marktext
twemoji,twitter,13000,https://github.com/twitter/twemoji
gitmoji,carloscuesta,10000,https://github.com/carloscuesta/gitmoji
emoji-cheat-sheet,ikatyang,4500,https://github.com/ikatyang/emoji-cheat-sheet
emoji-mart,missive,4400,https://github.com/missive/emoji-mart
subconverter,tindy2013,4100,https://github.com/tindy2013/subconverter
gemoji,github,3800,https://github.com/github/gemoji
Coding-iOS,Coding,3800,https://github.com/Coding/Coding-iOS
gitmoji-cli,carloscuesta,3200,https://github.com/carloscuesta/gitmoji-cli
PhotoEditor,burhanrashid52,2900,https://github.com/burhanrashid52/PhotoEditor
twitter-text,twitter,2500,https://github.com/twitter/twitter-text
free-gophers-pack,MariaLetta,2300,https://github.com/MariaLetta/free-gophers-pack
emoji,muan,2000,https://github.com/muan/emoji
mojibar,muan,2000,https://github.com/muan/mojibar
EmojiPackage,getActivity,1700,https://github.com/getActivity/EmojiPackage
git-commit-emoji-cn,liuchengxu,1700,https://github.com/liuchengxu/git-commit-emoji-cn
openmoji,hfg-gmuend,1500,https://github.com/hfg-gmuend/openmoji
emojilib,muan,1300,https://github.com/muan/emojilib
emoji,carpedm20,1300,https://github.com/carpedm20/emoji
emojipacks,lambtron,1300,https://github.com/lambtron/emojipacks
Emoji,vanniktech,1200,https://github.com/vanniktech/Emoji
embed-js,ritz078,1200,https://github.com/ritz078/embed-js
emoji-regex,mathiasbynens,1200,https://github.com/mathiasbynens/emoji-regex
twemoji-color-font,eosrei,1100,https://github.com/eosrei/twemoji-color-font
node-emoji,omnidan,986,https://github.com/omnidan/node-emoji
awesome-typography,Jolg42,978,https://github.com/Jolg42/awesome-typography
styleguide-git-commit-message,slashsbin,945,https://github.com/slashsbin/styleguide-git-commit-message
react-rewards,thedevelobear,905,https://github.com/thedevelobear/react-rewards
SBSAnimoji,simonbs,901,https://github.com/simonbs/SBSAnimoji
emojione-color-font,13rac1,890,https://github.com/13rac1/emojione-color-font
jeelizWeboji,jeeliz,872,https://github.com/jeeliz/jeelizWeboji
opensource-socialnetwork,opensource-socialnetwork,755,https://github.com/opensource-socialnetwork/opensource-socialnetwork
electron-markdownify,amitmerchant1990,736,https://github.com/amitmerchant1990/electron-markdownify
ngx-markdown,jfcere,724,https://github.com/jfcere/ngx-markdown
emoji-minesweeper,muan,722,https://github.com/muan/emoji-minesweeper
Countries,annexare,702,https://github.com/annexare/Countries
emoji-button,joeattardi,693,https://github.com/joeattardi/emoji-button
AGEmojiKeyboard,ayushgoel,686,https://github.com/ayushgoel/AGEmojiKeyboard
ecoji,keith-turner,681,https://github.com/keith-turner/ecoji
oji,xxczaki,671,https://github.com/xxczaki/oji
GSYRickText,CarGuo,661,https://github.com/CarGuo/GSYRickText
Emoji-Log,ahmadawais,660,https://github.com/ahmadawais/Emoji-Log
uni,arp242,648,https://github.com/arp242/uni
emoji-picker-element,nolanlawson,642,https://github.com/nolanlawson/emoji-picker-element
iconify,iconify,607,https://github.com/iconify/iconify
emoji-mart-vue,jm-david,553,https://github.com/jm-david/emoji-mart-vue
TextInlineSprite,coding2233,538,https://github.com/coding2233/TextInlineSprite
interweave,milesj,529,https://github.com/milesj/interweave
KeyboardKit,KeyboardKit,510,https://github.com/KeyboardKit/KeyboardKit
yeetgif,sgreben,486,https://github.com/sgreben/yeetgif
wdt-emoji-bundle,needim,418,https://github.com/needim/wdt-emoji-bundle
rofimoji,fdw,404,https://github.com/fdw/rofimoji
contour,contour-terminal,395,https://github.com/contour-terminal/contour
ISEmojiView,isaced,393,https://github.com/isaced/ISEmojiView
Smile,onmyway133,390,https://github.com/onmyway133/Smile
PPStickerKeyboard,VernonVan,387,https://github.com/VernonVan/PPStickerKeyboard
partyparrot,shrugs,377,https://github.com/shrugs/partyparrot
emoji,Wscats,362,https://github.com/Wscats/emoji
emo,hadley,344,https://github.com/hadley/emo
ngx-emoji-mart,scttcper,344,https://github.com/scttcper/ngx-emoji-mart
SuperNova-Emoji,hani-momanii,342,https://github.com/hani-momanii/SuperNova-Emoji
format-README,GnuriaN,338,https://github.com/GnuriaN/format-README
Facemoji,huihut,338,https://github.com/huihut/Facemoji
alfred-emoj,sindresorhus,333,https://github.com/sindresorhus/alfred-emoj
emoji,enescakir,332,https://github.com/enescakir/emoji
