Repository Name,Username,Stars,URL
yuzu,yuzu-emu,15100,https://github.com/yuzu-emu/yuzu
OpenEmu,OpenEmu,12900,https://github.com/OpenEmu/OpenEmu
v86,copy,11400,https://github.com/copy/v86
ish,ish-app,10000,https://github.com/ish-app/ish
Ryujinx,Ryujinx,9200,https://github.com/Ryujinx/Ryujinx
ruffle,ruffle-rs,8300,https://github.com/ruffle-rs/ruffle
Android-Debug-Database,amitshekhariitbhu,7800,https://github.com/amitshekhariitbhu/Android-Debug-Database
dolphin,dolphin-emu,7500,https://github.com/dolphin-emu/dolphin
macintosh.js,felixrieseberg,7500,https://github.com/felixrieseberg/macintosh.js
citra,citra-emu,6600,https://github.com/citra-emu/citra
jsnes,bfirsh,5200,https://github.com/bfirsh/jsnes
pcsx2,PCSX2,5200,https://github.com/PCSX2/pcsx2
xenia,xenia-project,5000,https://github.com/xenia-project/xenia
Provenance,Provenance-Emu,4500,https://github.com/Provenance-Emu/Provenance
unicorn,unicorn-engine,4500,https://github.com/unicorn-engine/unicorn
gameboy.live,HFO4,4100,https://github.com/HFO4/gameboy.live
mininet,mininet,4000,https://github.com/mininet/mininet
simplify,CalebFenton,3700,https://github.com/CalebFenton/simplify
docker-android,budtmo,3500,https://github.com/budtmo/docker-android
PyBoy,Baekalfen,3200,https://github.com/Baekalfen/PyBoy
SimpleNES,amhndu,2600,https://github.com/amhndu/SimpleNES
jquery.terminal,jcubic,2500,https://github.com/jcubic/jquery.terminal
miasm,cea-sec,2500,https://github.com/cea-sec/miasm
qiling,qilingframework,2500,https://github.com/qilingframework/qiling
goboy,Humpheh,2400,https://github.com/Humpheh/goboy
duckstation,stenzek,2000,https://github.com/stenzek/duckstation
EasyProtector,lamster2018,1600,https://github.com/lamster2018/EasyProtector
Cxbx-Reloaded,Cxbx-Reloaded,1600,https://github.com/Cxbx-Reloaded/Cxbx-Reloaded
jor1k,s-macke,1500,https://github.com/s-macke/jor1k
azerothcore-wotlk,azerothcore,1500,https://github.com/azerothcore/azerothcore-wotlk
Vita3K,Vita3K,1500,https://github.com/Vita3K/Vita3K
bap,BinaryAnalysisPlatform,1500,https://github.com/BinaryAnalysisPlatform/bap
py-kms,SystemRage,1400,https://github.com/SystemRage/py-kms
LaiNES,AndreaOrru,1400,https://github.com/AndreaOrru/LaiNES
jsemu,fcambus,1400,https://github.com/fcambus/jsemu
unidbg,zhkl0228,1400,https://github.com/zhkl0228/unidbg
selfie,cksystemsteaching,1400,https://github.com/cksystemsteaching/selfie
GPCS4,Inori,1300,https://github.com/Inori/GPCS4
Play-,jpd002,1200,https://github.com/jpd002/Play-
