Repository Name,Username,Stars,URL
go-ethereum,ethereum,31400,https://github.com/ethereum/go-ethereum
ccxt,ccxt,20300,https://github.com/ccxt/ccxt
solidity,ethereum,11300,https://github.com/ethereum/solidity
openzeppelin-contracts,OpenZeppelin,11300,https://github.com/OpenZeppelin/openzeppelin-contracts
web3.js,ChainSafe,10800,https://github.com/ChainSafe/web3.js
truffle,trufflesuite,10300,https://github.com/trufflesuite/truffle
ethereumbook,ethereumbook,9700,https://github.com/ethereumbook/ethereumbook
mist,ethereum,7400,https://github.com/ethereum/mist
parity-ethereum,openethereum,6400,https://github.com/openethereum/parity-ethereum
blockchain_guide,yeasy,5700,https://github.com/yeasy/blockchain_guide
metamask-extension,MetaMask,5200,https://github.com/MetaMask/metamask-extension
capstone,aquynh,5000,https://github.com/aquynh/capstone
smart-contract-best-practices,ConsenSys,4300,https://github.com/ConsenSys/smart-contract-best-practices
quorum,ConsenSys,4000,https://github.com/ConsenSys/quorum
aleth,ethereum,3800,https://github.com/ethereum/aleth
EthList,Scanate,3500,https://github.com/Scanate/EthList
awesome-coins,Zheaoli,3400,https://github.com/Zheaoli/awesome-coins
embark,embarklabs,3300,https://github.com/embarklabs/embark
CryptoList,coinpride,3300,https://github.com/coinpride/CryptoList
squeezer,SqueezerIO,3200,https://github.com/SqueezerIO/squeezer
Crypto-Signal,CryptoSignal,3200,https://github.com/CryptoSignal/Crypto-Signal
web3j,web3j,3200,https://github.com/web3j/web3j
status-react,status-im,3200,https://github.com/status-im/status-react
vyper,vyperlang,3200,https://github.com/vyperlang/vyper
ganache,trufflesuite,3100,https://github.com/trufflesuite/ganache
awesome-blockchains,openblockchains,3100,https://github.com/openblockchains/awesome-blockchains
clay,golemfactory,3000,https://github.com/golemfactory/clay
ethers.js,ethers-io,2600,https://github.com/ethers-io/ethers.js
cointop,miguelmota,2500,https://github.com/miguelmota/cointop
Blockchain-stuff,Xel,2500,https://github.com/Xel/Blockchain-stuff
manticore,trailofbits,2400,https://github.com/trailofbits/manticore
scaffold-eth,austintgriffith,2200,https://github.com/austintgriffith/scaffold-eth
prysm,prysmaticlabs,2100,https://github.com/prysmaticlabs/prysm
uniswap-interface,Uniswap,2100,https://github.com/Uniswap/uniswap-interface
chainlink,smartcontractkit,2100,https://github.com/smartcontractkit/chainlink
awesome-solidity,bkrem,2000,https://github.com/bkrem/awesome-solidity
cryptocurrency-icons,spothq,1900,https://github.com/spothq/cryptocurrency-icons
go-ethereum-code-analysis,ZtesoftCS,1800,https://github.com/ZtesoftCS/go-ethereum-code-analysis
raiden,raiden-network,1800,https://github.com/raiden-network/raiden
mythril,ConsenSys,1700,https://github.com/ConsenSys/mythril
DeFi-Developer-Road-Map,OffcierCia,1700,https://github.com/OffcierCia/DeFi-Developer-Road-Map
remix-ide,ethereum,1600,https://github.com/ethereum/remix-ide
eattheblocks,jklepatch,1600,https://github.com/jklepatch/eattheblocks
coinmon,bichenkk,1600,https://github.com/bichenkk/coinmon
coinbasepro-python,danpaquin,1500,https://github.com/danpaquin/coinbasepro-python
dapp,DemocracyEarth,1400,https://github.com/DemocracyEarth/dapp
0x-monorepo,0xProject,1400,https://github.com/0xProject/0x-monorepo
vue-ethereum-ipfs,redacademy,1300,https://github.com/redacademy/vue-ethereum-ipfs
ebook,dolotech,1300,https://github.com/dolotech/ebook
Nethereum,Nethereum,1300,https://github.com/Nethereum/Nethereum
web3-react,NoahZinsmeister,1300,https://github.com/NoahZinsmeister/web3-react
uniswap-v2-core,Uniswap,1300,https://github.com/Uniswap/uniswap-v2-core
trust-wallet-ios,trustwallet,1300,https://github.com/trustwallet/trust-wallet-ios
py-evm,ethereum,1300,https://github.com/ethereum/py-evm
bee,ethersphere,1200,https://github.com/ethersphere/bee
web,gitcoinco,1200,https://github.com/gitcoinco/web
hardhat,nomiclabs,1200,https://github.com/nomiclabs/hardhat
smart-contracts,TokenMarketNet,1200,https://github.com/TokenMarketNet/smart-contracts
lighthouse,sigp,1200,https://github.com/sigp/lighthouse
awesome-blockchain,yjjnls,1200,https://github.com/yjjnls/awesome-blockchain
open-ethereum-pool,sammy007,1100,https://github.com/sammy007/open-ethereum-pool
uniswap-v3-core,Uniswap,1100,https://github.com/Uniswap/uniswap-v3-core
ethereum_book,inoutcode,1100,https://github.com/inoutcode/ethereum_book
graph-node,graphprotocol,1100,https://github.com/graphprotocol/graph-node
qtum,qtumproject,1100,https://github.com/qtumproject/qtum
ta4j,ta4j,1100,https://github.com/ta4j/ta4j
ethereum-etl,blockchain-etl,1100,https://github.com/blockchain-etl/ethereum-etl
remix,ethereum,1100,https://github.com/ethereum/remix
NBMiner,NebuTech,1100,https://github.com/NebuTech/NBMiner
blockscout,blockscout,1100,https://github.com/blockscout/blockscout
ethereum-org-website,ethereum,1000,https://github.com/ethereum/ethereum-org-website
ZoKrates,Zokrates,1000,https://github.com/Zokrates/ZoKrates
bds,jdcloud-bds,1000,https://github.com/jdcloud-bds/bds
slither,crytic,1000,https://github.com/crytic/slither
ethereumjs-monorepo,ethereumjs,995,https://github.com/ethereumjs/ethereumjs-monorepo
TypeChain,ethereum-ts,991,https://github.com/ethereum-ts/TypeChain
create-eth-app,paulrberg,987,https://github.com/paulrberg/create-eth-app
openethereum,openethereum,973,https://github.com/openethereum/openethereum
MyCrypto,MyCryptoHQ,968,https://github.com/MyCryptoHQ/MyCrypto
rainbow,rainbow-me,961,https://github.com/rainbow-me/rainbow
aeternity,aeternity,960,https://github.com/aeternity/aeternity
rotki,rotki,954,https://github.com/rotki/rotki
awesome-decentralized-finance,ong,909,https://github.com/ong/awesome-decentralized-finance
burrow,hyperledger,895,https://github.com/hyperledger/burrow
cryptocurrency-arbitrage,manu354,880,https://github.com/manu354/cryptocurrency-arbitrage
wallet-core,trustwallet,878,https://github.com/trustwallet/wallet-core
ethereum-development-with-go-book,miguelmota,867,https://github.com/miguelmota/ethereum-development-with-go-book
oyente,enzymefinance,864,https://github.com/enzymefinance/oyente
peatio,openware,861,https://github.com/openware/peatio
token-core-ios,consenlabs,858,https://github.com/consenlabs/token-core-ios
design,ewasm,857,https://github.com/ewasm/design
awesome-cryptoeconomics,jpantunes,856,https://github.com/jpantunes/awesome-cryptoeconomics
MyEtherWallet,MyEtherWallet,843,https://github.com/MyEtherWallet/MyEtherWallet
web3modal,Web3Modal,836,https://github.com/Web3Modal/web3modal
not-so-smart-contracts,crytic,828,https://github.com/crytic/not-so-smart-contracts
Blockchain,bellaj,806,https://github.com/bellaj/Blockchain
coinbase-pro-node,coinbase,799,https://github.com/coinbase/coinbase-pro-node
ethereum_nvidia_miner,Cyclenerd,796,https://github.com/Cyclenerd/ethereum_nvidia_miner
awesome-blockchain,dily3825002,786,https://github.com/dily3825002/awesome-blockchain
brownie,eth-brownie,781,https://github.com/eth-brownie/brownie
MultiPoolMiner,MultiPoolMiner,781,https://github.com/MultiPoolMiner/MultiPoolMiner
client,aragon,749,https://github.com/aragon/client
Ethlint,duaraghav8,723,https://github.com/duaraghav8/Ethlint
ethereumjs-tx,ethereumjs,714,https://github.com/ethereumjs/ethereumjs-tx
intellij-solidity,intellij-solidity,709,https://github.com/intellij-solidity/intellij-solidity
kelp,stellar,704,https://github.com/stellar/kelp
ethereumjs-wallet,ethereumjs,697,https://github.com/ethereumjs/ethereumjs-wallet
echidna,crytic,687,https://github.com/crytic/echidna
ethermint-archive,cosmos,668,https://github.com/cosmos/ethermint-archive
solgraph,raineorshine,630,https://github.com/raineorshine/solgraph
token-core-android,consenlabs,623,https://github.com/consenlabs/token-core-android
Ethplorer,EverexIO,622,https://github.com/EverexIO/Ethplorer
brainflayer,ryancdotorg,614,https://github.com/ryancdotorg/brainflayer
ethlance,district0x,613,https://github.com/district0x/ethlance
status-go,status-im,593,https://github.com/status-im/status-go
augur-core,AugurProject,586,https://github.com/AugurProject/augur-core
ethjs,ethjs,579,https://github.com/ethjs/ethjs
lionshare-desktop,lionsharecapital,575,https://github.com/lionsharecapital/lionshare-desktop
react-box,truffle-box,573,https://github.com/truffle-box/react-box
rocketpool,rocket-pool,571,https://github.com/rocket-pool/rocketpool
