Repository Name,Username,Stars,URL
supabase,supabase,14600,https://github.com/supabase/supabase
appwrite,appwrite,10500,https://github.com/appwrite/appwrite
functions-samples,firebase,10100,https://github.com/firebase/functions-samples
react-native-firebase,invertase,9200,https://github.com/invertase/react-native-firebase
quickstart-android,firebase,7700,https://github.com/firebase/quickstart-android
angularfire,angular,6800,https://github.com/angular/angularfire
flutterfire,FirebaseExtended,5400,https://github.com/FirebaseExtended/flutterfire
react-firebase-starter,kriasoft,4300,https://github.com/kriasoft/react-firebase-starter
FirebaseUI-Android,firebase,4300,https://github.com/firebase/FirebaseUI-Android
GmsCore,microg,4000,https://github.com/microg/GmsCore
firebase-js-sdk,firebase,3500,https://github.com/firebase/firebase-js-sdk
vuefire,vuejs,3200,https://github.com/vuejs/vuefire
material-kit-react,devias-io,3100,https://github.com/devias-io/material-kit-react
space-cloud,spacecloud-io,3100,https://github.com/spacecloud-io/space-cloud
firebase-ios-sdk,firebase,3000,https://github.com/firebase/firebase-ios-sdk
reactfire,FirebaseExtended,2600,https://github.com/FirebaseExtended/reactfire
Fakeflix,Th3Wall,2500,https://github.com/Th3Wall/Fakeflix
canner,Canner,2500,https://github.com/Canner/canner
react-redux-firebase,prescottprue,2500,https://github.com/prescottprue/react-redux-firebase
quickstart-ios,firebase,2200,https://github.com/firebase/quickstart-ios
react-hn,insin,2200,https://github.com/insin/react-hn
re-base,tylermcginnis,2200,https://github.com/tylermcginnis/re-base
awesome-opensource-apps,unicodeveloper,2100,https://github.com/unicodeveloper/awesome-opensource-apps
app,WorldHealthOrganization,2100,https://github.com/WorldHealthOrganization/app
santa-tracker-android,google,2100,https://github.com/google/santa-tracker-android
cerebral,cerebral,1900,https://github.com/cerebral/cerebral
react-firebase-hooks,CSFrequency,1900,https://github.com/CSFrequency/react-firebase-hooks
fluttergram,mdanics,1800,https://github.com/mdanics/fluttergram
Quick-Chat,aslanyanhaik,1800,https://github.com/aslanyanhaik/Quick-Chat
angular9-example-app,Ismaestro,1700,https://github.com/Ismaestro/angular9-example-app
react-native-fcm,evollu,1700,https://github.com/evollu/react-native-fcm
react-shopping-cart,jeffersonRibeiro,1700,https://github.com/jeffersonRibeiro/react-shopping-cart
PushNotifications,onmyway133,1700,https://github.com/onmyway133/PushNotifications
timy-messenger,janoodleFTW,1700,https://github.com/janoodleFTW/timy-messenger
Pyrebase,thisbejim,1600,https://github.com/thisbejim/Pyrebase
react-most-wanted,TarikHuber,1600,https://github.com/TarikHuber/react-most-wanted
firebase-android-sdk,firebase,1600,https://github.com/firebase/firebase-android-sdk
firebase-php,kreait,1600,https://github.com/kreait/firebase-php
netflix,karlhadwen,1500,https://github.com/karlhadwen/netflix
codelab-friendlychat-web,firebase,1500,https://github.com/firebase/codelab-friendlychat-web
bento-starter,kefranabg,1500,https://github.com/kefranabg/bento-starter
flutter_catalog,X-Wei,1500,https://github.com/X-Wei/flutter_catalog
chat-sdk-android,chat-sdk,1500,https://github.com/chat-sdk/chat-sdk-android
FirebaseUI-iOS,firebase,1300,https://github.com/firebase/FirebaseUI-iOS
firetable,FiretableProject,1300,https://github.com/FiretableProject/firetable
wild-workouts-go-ddd-example,ThreeDotsLabs,1300,https://github.com/ThreeDotsLabs/wild-workouts-go-ddd-example
HackerNews,amitburst,1300,https://github.com/amitburst/HackerNews
awesome-android-kotlin-apps,androiddevnotes,1200,https://github.com/androiddevnotes/awesome-android-kotlin-apps
firebase-admin-node,firebase,1100,https://github.com/firebase/firebase-admin-node
flutter-chat-demo,duytq94,1100,https://github.com/duytq94/flutter-chat-demo
fireship.io,fireship-io,1100,https://github.com/fireship-io/fireship.io
nativescript-plugin-firebase,EddyVerbruggen,1000,https://github.com/EddyVerbruggen/nativescript-plugin-firebase
cordova-plugin-firebase,arnesson,999,https://github.com/arnesson/cordova-plugin-firebase
flutter-chat-app,rohan20,989,https://github.com/rohan20/flutter-chat-app
todo-react-redux,r-park,955,https://github.com/r-park/todo-react-redux
hoverboard,gdg-x,939,https://github.com/gdg-x/hoverboard
distributed,funretro,912,https://github.com/funretro/distributed
react-firebase-authentication,the-road-to-react-with-firebase,885,https://github.com/the-road-to-react-with-firebase/react-firebase-authentication
chat-sdk-ios,chat-sdk,829,https://github.com/chat-sdk/chat-sdk-ios
todoist,karlhadwen,759,https://github.com/karlhadwen/todoist
react-router-firebase-auth,tylermcginnis,731,https://github.com/tylermcginnis/react-router-firebase-auth
react-native-firestack,fullstackreact,725,https://github.com/fullstackreact/react-native-firestack
packtpub-crawler,niqdev,722,https://github.com/niqdev/packtpub-crawler
PyFCM,olucurious,711,https://github.com/olucurious/PyFCM
firebase-admin-go,firebase,701,https://github.com/firebase/firebase-admin-go
emberfire,FirebaseExtended,692,https://github.com/FirebaseExtended/emberfire
firebase-server,urish,676,https://github.com/urish/firebase-server
bookdash-android-app,bookdash,660,https://github.com/bookdash/bookdash-android-app
web,rmuif,655,https://github.com/rmuif/web
app-framework,scriptPilot,640,https://github.com/scriptPilot/app-framework
firebase-admin-python,firebase,630,https://github.com/firebase/firebase-admin-python
UberClone,SimCoderYoutube,630,https://github.com/SimCoderYoutube/UberClone
FireSharp,ziyasal,612,https://github.com/ziyasal/FireSharp
firebase-action,w9jds,610,https://github.com/w9jds/firebase-action
photobooth,flutter,604,https://github.com/flutter/photobooth
quickstart-unity,firebase,591,https://github.com/firebase/quickstart-unity
redux-vcr,joshwcomeau,583,https://github.com/joshwcomeau/redux-vcr
startup-os,google,581,https://github.com/google/startup-os
angular-1-5-components-app,toddmotto,581,https://github.com/toddmotto/angular-1-5-components-app
react-native-starter,ueno-llc,579,https://github.com/ueno-llc/react-native-starter
Learning-Resources,GDGAhmedabad,577,https://github.com/GDGAhmedabad/Learning-Resources
FirebaseAndroidChat,AleBarreto,576,https://github.com/AleBarreto/FirebaseAndroidChat
vuexfire,posva,574,https://github.com/posva/vuexfire
bonfire-firebase-sample,novoda,561,https://github.com/novoda/bonfire-firebase-sample
firebase-module,nuxt-community,546,https://github.com/nuxt-community/firebase-module
redux-firestore,prescottprue,542,https://github.com/prescottprue/redux-firestore
flank,Flank,541,https://github.com/Flank/flank
angular-commerce,NodeArt,539,https://github.com/NodeArt/angular-commerce
