Repository Name,Username,Stars,URL
mkcert,FiloSottile,30900,https://github.com/FiloSottile/mkcert
playwright,microsoft,25700,https://github.com/microsoft/playwright
uBlock,gorhill,25600,https://github.com/gorhill/uBlock
octotree,ovity,21400,https://github.com/ovity/octotree
bypass-paywalls-chrome,iamadamdev,17000,https://github.com/iamadamdev/bypass-paywalls-chrome
firefox-ios,mozilla-mobile,10400,https://github.com/mozilla-mobile/firefox-ios
ArchiveBox,ArchiveBox,9700,https://github.com/ArchiveBox/ArchiveBox
uBlock,uBlock-LLC,8000,https://github.com/uBlock-LLC/uBlock
ext-saladict,crimx,7500,https://github.com/crimx/ext-saladict
geckodriver,mozilla,5300,https://github.com/mozilla/geckodriver
metamask-extension,MetaMask,5200,https://github.com/MetaMask/metamask-extension
fenix,mozilla-mobile,5000,https://github.com/mozilla-mobile/fenix
simpread,Kenshin,4800,https://github.com/Kenshin/simpread
debugger,firefox-devtools,4600,https://github.com/firefox-devtools/debugger
Surfingkeys,brookhong,3600,https://github.com/brookhong/Surfingkeys
chrome-remote-interface,cyrus-and,3500,https://github.com/cyrus-and/chrome-remote-interface
SingleFile,gildas-lormeau,3500,https://github.com/gildas-lormeau/SingleFile
melonJS,melonjs,3400,https://github.com/melonjs/melonJS
supercookie,jonasstrehle,3400,https://github.com/jonasstrehle/supercookie
crx-selection-translate,lmk123,3300,https://github.com/lmk123/crx-selection-translate
wpt,web-platform-tests,3300,https://github.com/web-platform-tests/wpt
user.js,arkenfox,3300,https://github.com/arkenfox/user.js
HackBrowserData,moonD4rk,3300,https://github.com/moonD4rk/HackBrowserData
tridactyl,tridactyl,3300,https://github.com/tridactyl/tridactyl
bypass-paywalls-firefox,iamadamdev,3100,https://github.com/iamadamdev/bypass-paywalls-firefox
jjb,sunoj,3000,https://github.com/sunoj/jjb
slimerjs,laurentj,3000,https://github.com/laurentj/slimerjs
browser,bitwarden,2900,https://github.com/bitwarden/browser
Addon,ClearURLs,2800,https://github.com/ClearURLs/Addon
qawolf,qawolf,2800,https://github.com/qawolf/qawolf
xdm,subhra74,2700,https://github.com/subhra74/xdm
selenium-python-helium,mherrmann,2600,https://github.com/mherrmann/selenium-python-helium
SponsorBlock,ajayyy,2600,https://github.com/ajayyy/SponsorBlock
floccus,floccusaddon,2300,https://github.com/floccusaddon/floccus
treestyletab,piroor,2300,https://github.com/piroor/treestyletab
user.js,pyllyukko,2300,https://github.com/pyllyukko/user.js
vim-vixen,ueokande,1900,https://github.com/ueokande/vim-vixen
multi-account-containers,mozilla,1700,https://github.com/mozilla/multi-account-containers
MaterialFox,muckSponge,1600,https://github.com/muckSponge/MaterialFox
Librefox,intika,1500,https://github.com/intika/Librefox
docker-selenium,elgalu,1400,https://github.com/elgalu/docker-selenium
fx_cast,hensm,1400,https://github.com/hensm/fx_cast
ShadowFox,overdodactyl,1300,https://github.com/overdodactyl/ShadowFox
CustomCSSforFx,Aris-t2,1300,https://github.com/Aris-t2/CustomCSSforFx
better-onetab,cnwangjie,1200,https://github.com/cnwangjie/better-onetab
vimperator-labs,vimperator,1200,https://github.com/vimperator/vimperator-labs
AdguardBrowserExtension,AdguardTeam,1200,https://github.com/AdguardTeam/AdguardBrowserExtension
OpenWPM,mozilla,1100,https://github.com/mozilla/OpenWPM
docker-desktop,rogaha,1100,https://github.com/rogaha/docker-desktop
Cookie-AutoDelete,Cookie-AutoDelete,1100,https://github.com/Cookie-AutoDelete/Cookie-AutoDelete
web-extension-starter,abhijithvijayan,1100,https://github.com/abhijithvijayan/web-extension-starter
github-awesome-autocomplete,algolia,1000,https://github.com/algolia/github-awesome-autocomplete
browserpass-legacy,browserpass,1000,https://github.com/browserpass/browserpass-legacy
focus-ios,mozilla-mobile,1000,https://github.com/mozilla-mobile/focus-ios
playwright-dotnet,microsoft,985,https://github.com/microsoft/playwright-dotnet
bedrock,mozilla,973,https://github.com/mozilla/bedrock
FlyingFox,akshat46,963,https://github.com/akshat46/FlyingFox
Qogir-theme,vinceliuice,953,https://github.com/vinceliuice/Qogir-theme
firefox-gnome-theme,rafaelmardojai,951,https://github.com/rafaelmardojai/firefox-gnome-theme
ember-inspector,emberjs,940,https://github.com/emberjs/ember-inspector
SingleFileZ,gildas-lormeau,939,https://github.com/gildas-lormeau/SingleFileZ
toggl-button,toggl,925,https://github.com/toggl/toggl-button
gooreplacer,jiacai2050,896,https://github.com/jiacai2050/gooreplacer
browser,mumuy,831,https://github.com/mumuy/browser
firefox_decrypt,unode,828,https://github.com/unode/firefox_decrypt
SimplerentFox,migueravila,801,https://github.com/migueravila/SimplerentFox
foxr,deepsweet,784,https://github.com/deepsweet/foxr
RunningCheese-Firefox,runningcheese,768,https://github.com/runningcheese/RunningCheese-Firefox
saka-key,lusakasa,766,https://github.com/lusakasa/saka-key
duckduckgo-privacy-extension,duckduckgo,754,https://github.com/duckduckgo/duckduckgo-privacy-extension
freshplayerplugin,i-rinat,742,https://github.com/i-rinat/freshplayerplugin
nightTab,zombieFox,742,https://github.com/zombieFox/nightTab
news-feed-eradicator,jordwest,728,https://github.com/jordwest/news-feed-eradicator
search-deflector,spikespaz,692,https://github.com/spikespaz/search-deflector
CanvasBlocker,kkapsner,667,https://github.com/kkapsner/CanvasBlocker
BetterTweetDeck,eramdam,651,https://github.com/eramdam/BetterTweetDeck
Powerful-Plugins,Hack-with-Github,642,https://github.com/Hack-with-Github/Powerful-Plugins
etaoin,igrishaev,637,https://github.com/igrishaev/etaoin
rdrview,eafer,636,https://github.com/eafer/rdrview
lockwise-android,mozilla-lockwise,617,https://github.com/mozilla-lockwise/lockwise-android
screenshots,mozilla-services,612,https://github.com/mozilla-services/screenshots
chrome-utm-stripper,jparise,612,https://github.com/jparise/chrome-utm-stripper
ViewImage,bijij,608,https://github.com/bijij/ViewImage
blurredfox,manilarome,598,https://github.com/manilarome/blurredfox
adblockfast,rocketshipapps,597,https://github.com/rocketshipapps/adblockfast
webextension-pixiv-toolkit,leoding86,589,https://github.com/leoding86/webextension-pixiv-toolkit
CVE-2019-11708,0vercl0k,586,https://github.com/0vercl0k/CVE-2019-11708
profiler,firefox-devtools,579,https://github.com/firefox-devtools/profiler
refined-bitbucket,refined-bitbucket,577,https://github.com/refined-bitbucket/refined-bitbucket
awesome-meta-and-manifest,gokulkrishh,558,https://github.com/gokulkrishh/awesome-meta-and-manifest
github-dark,cquanu,551,https://github.com/cquanu/github-dark
downthemall,downthemall,546,https://github.com/downthemall/downthemall
firefox-sweet-theme,EliverLara,545,https://github.com/EliverLara/firefox-sweet-theme
web-developer,chrispederick,544,https://github.com/chrispederick/web-developer
markdown-viewer,simov,542,https://github.com/simov/markdown-viewer
linkedin_scraper,joeyism,535,https://github.com/joeyism/linkedin_scraper
temporary-containers,stoically,533,https://github.com/stoically/temporary-containers
yomichan,FooSoft,523,https://github.com/FooSoft/yomichan
privacy-redirect,SimonBrazell,503,https://github.com/SimonBrazell/privacy-redirect
browsertime,sitespeedio,494,https://github.com/sitespeedio/browsertime
chromebackdoor,graniet,482,https://github.com/graniet/chromebackdoor
tracy,nccgroup,479,https://github.com/nccgroup/tracy
blurts-server,mozilla,460,https://github.com/mozilla/blurts-server
ff-password-exporter,kspearrin,454,https://github.com/kspearrin/ff-password-exporter
extensions,raindropio,451,https://github.com/raindropio/extensions
scriptsafe,andryou,442,https://github.com/andryou/scriptsafe
roam-toolkit,roam-unofficial,431,https://github.com/roam-unofficial/roam-toolkit
playwright-go,mxschmitt,424,https://github.com/mxschmitt/playwright-go
clockwork-chrome,itsgoingd,417,https://github.com/itsgoingd/clockwork-chrome
org-capture-extension,sprig,410,https://github.com/sprig/org-capture-extension
