Repository Name,Username,Stars,URL
flask,pallets,56000,https://github.com/pallets/flask
superset,apache,39400,https://github.com/apache/superset
dash,plotly,14800,https://github.com/plotly/dash
proxy_pool,jhao104,12800,https://github.com/jhao104/proxy_pool
Zappa,Miserlou,11800,https://github.com/Miserlou/Zappa
awesome-flask,humiaozuzu,10000,https://github.com/humiaozuzu/awesome-flask
flasky,miguelgrinberg,7300,https://github.com/miguelgrinberg/flasky
trape,jofpin,6500,https://github.com/jofpin/trape
eve,pyeve,6400,https://github.com/pyeve/eve
blockchain,dvf,6100,https://github.com/dvf/blockchain
grip,joeyespo,5200,https://github.com/joeyespo/grip
Flask-SocketIO,miguelgrinberg,4300,https://github.com/miguelgrinberg/Flask-SocketIO
nginx-ui,schenkd,3900,https://github.com/schenkd/nginx-ui
cookiecutter-flask,cookiecutter-flask,3800,https://github.com/cookiecutter-flask/cookiecutter-flask
microblog,miguelgrinberg,3600,https://github.com/miguelgrinberg/microblog
responder,taoufik07,3600,https://github.com/taoufik07/responder
flask-sqlalchemy,pallets,3500,https://github.com/pallets/flask-sqlalchemy
CTFd,CTFd,3400,https://github.com/CTFd/CTFd
Flask-AppBuilder,dpgaspar,3400,https://github.com/dpgaspar/Flask-AppBuilder
flask_jsondash,christabor,3200,https://github.com/christabor/flask_jsondash
toapi,gaojiuli,3200,https://github.com/gaojiuli/toapi
ShadowSocksShare,the0demiurge,3000,https://github.com/the0demiurge/ShadowSocksShare
Deep-Learning-in-Production,ahkarami,2900,https://github.com/ahkarami/Deep-Learning-in-Production
nyaa,nyaadevs,2800,https://github.com/nyaadevs/nyaa
formspree,formspree,2700,https://github.com/formspree/formspree
flasgger,flasgger,2700,https://github.com/flasgger/flasgger
ProxyPool,Python3WebSpider,2600,https://github.com/Python3WebSpider/ProxyPool
authlib,lepture,2600,https://github.com/lepture/authlib
flask-base,hack4impact,2600,https://github.com/hack4impact/flask-base
flask-restplus,noirbizarre,2500,https://github.com/noirbizarre/flask-restplus
uwsgi-nginx-flask-docker,tiangolo,2500,https://github.com/tiangolo/uwsgi-nginx-flask-docker
dtale,man-group,2500,https://github.com/man-group/dtale
quokka,quokkaproject,2200,https://github.com/quokkaproject/quokka
whoogle-search,benbusby,2100,https://github.com/benbusby/whoogle-search
flaskbb,flaskbb,2000,https://github.com/flaskbb/flaskbb
pyt,python-security,2000,https://github.com/python-security/pyt
flaskr-tdd,mjhea0,2000,https://github.com/mjhea0/flaskr-tdd
Machine-Learning-with-Python,tirthajyoti,2000,https://github.com/tirthajyoti/Machine-Learning-with-Python
Flask-Migrate,miguelgrinberg,1900,https://github.com/miguelgrinberg/Flask-Migrate
flask-ask,johnwheeler,1900,https://github.com/johnwheeler/flask-ask
dynaconf,rochacbruno,1800,https://github.com/rochacbruno/dynaconf
wechat-admin,dongweiming,1700,https://github.com/dongweiming/wechat-admin
30-Days-of-Python,codingforentrepreneurs,1600,https://github.com/codingforentrepreneurs/30-Days-of-Python
explore-flask,rpicard,1600,https://github.com/rpicard/explore-flask
PyOne,abbeyokgo,1400,https://github.com/abbeyokgo/PyOne
python-dependency-injector,ets-labs,1400,https://github.com/ets-labs/python-dependency-injector
flask-oauthlib,lepture,1400,https://github.com/lepture/flask-oauthlib
React-Redux-Flask,dternyak,1400,https://github.com/dternyak/React-Redux-Flask
app,simple-login,1400,https://github.com/simple-login/app
gxgk-wechat-server,paicha,1300,https://github.com/paicha/gxgk-wechat-server
best-of-web-python,ml-tooling,1300,https://github.com/ml-tooling/best-of-web-python
flask-restplus-server-example,frol,1300,https://github.com/frol/flask-restplus-server-example
sqlite-web,coleifer,1300,https://github.com/coleifer/sqlite-web
weixin-python,zwczou,1200,https://github.com/zwczou/weixin-python
flask-graphql,graphql-python,1200,https://github.com/graphql-python/flask-graphql
flask-restx,python-restx,1200,https://github.com/python-restx/flask-restx
helloflask,greyli,1200,https://github.com/greyli/helloflask
indico,indico,1200,https://github.com/indico/indico
flask-wtf,wtforms,1200,https://github.com/wtforms/flask-wtf
webargs,marshmallow-code,1200,https://github.com/marshmallow-code/webargs
flask-website,pallets,1200,https://github.com/pallets/flask-website
flask-jwt-extended,vimalloc,1200,https://github.com/vimalloc/flask-jwt-extended
web_develop,dongweiming,1200,https://github.com/dongweiming/web_develop
flask-vuejs-template,gtalarico,1100,https://github.com/gtalarico/flask-vuejs-template
tensorflow-101,burness,1100,https://github.com/burness/tensorflow-101
OpenClubhouse,ai-eks,1100,https://github.com/ai-eks/OpenClubhouse
Flask-HTTPAuth,miguelgrinberg,989,https://github.com/miguelgrinberg/Flask-HTTPAuth
Yacht,SelfhostedPro,987,https://github.com/SelfhostedPro/Yacht
querybook,pinterest,925,https://github.com/pinterest/querybook
bibi,seasonstar,914,https://github.com/seasonstar/bibi
keras-flask-deploy-webapp,mtobeiyf,900,https://github.com/mtobeiyf/keras-flask-deploy-webapp
heroku-buildpack-python,heroku,873,https://github.com/heroku/heroku-buildpack-python
apispec,marshmallow-code,873,https://github.com/marshmallow-code/apispec
flask-bones,cburmeister,869,https://github.com/cburmeister/flask-bones
