Repository Name,Username,Stars,URL
Font-Awesome,FortAwesome,65800,https://github.com/FortAwesome/Font-Awesome
FiraCode,tonsky,57100,https://github.com/tonsky/FiraCode
nerd-fonts,ryanoasis,28900,https://github.com/ryanoasis/nerd-fonts
You-Dont-Need-JavaScript,you-dont-need,15600,https://github.com/you-dont-need/You-Dont-Need-JavaScript
Hack,source-foundry,14300,https://github.com/source-foundry/Hack
awesome-design,gztchan,13000,https://github.com/gztchan/awesome-design
inter,rsms,12700,https://github.com/rsms/inter
Iosevka,be5invis,12300,https://github.com/be5invis/Iosevka
terminalizer,faressoft,11700,https://github.com/faressoft/terminalizer
awesome-stock-resources,neutraltone,9900,https://github.com/neutraltone/awesome-stock-resources
source-han-sans,adobe-fonts,9600,https://github.com/adobe-fonts/source-han-sans
cdnjs,cdnjs,9100,https://github.com/cdnjs/cdnjs
dompdf,dompdf,8100,https://github.com/dompdf/dompdf
beautiful-web-type,ubuwaits,7100,https://github.com/ubuwaits/beautiful-web-type
Sarasa-Gothic,be5invis,6300,https://github.com/be5invis/Sarasa-Gothic
mactype,snowie2000,6100,https://github.com/snowie2000/mactype
plex,IBM,6100,https://github.com/IBM/plex
JetBrainsMono,JetBrains,5600,https://github.com/JetBrains/JetBrainsMono
fantasque-sans,belluzj,5600,https://github.com/belluzj/fantasque-sans
source-han-serif,adobe-fonts,5600,https://github.com/adobe-fonts/source-han-serif
codeface,chrissimpkins,5500,https://github.com/chrissimpkins/codeface
Hasklig,i-tu,5000,https://github.com/i-tu/Hasklig
fontmin,ecomfe,4200,https://github.com/ecomfe/fontmin
public-sans,uswds,4000,https://github.com/uswds/public-sans
devicon,devicons,3700,https://github.com/devicons/devicon
opentype.js,opentypejs,3200,https://github.com/opentypejs/opentype.js
brick,alfredxing,2900,https://github.com/alfredxing/brick
typefaces,KyleAMathews,2600,https://github.com/KyleAMathews/typefaces
operator-mono-lig,kiliman,2600,https://github.com/kiliman/operator-mono-lig
u8g2,olikraus,2500,https://github.com/olikraus/u8g2
LGButton,loregr,2200,https://github.com/loregr/LGButton
recursive,arrowtype,1900,https://github.com/arrowtype/recursive
simple-line-icons,thesabbir,1800,https://github.com/thesabbir/simple-line-icons
coreui-icons,coreui,1800,https://github.com/coreui/coreui-icons
awesome-product-design,matttga,1600,https://github.com/matttga/awesome-product-design
Ligaturizer,ToxicFrog,1600,https://github.com/ToxicFrog/Ligaturizer
victor-mono,rubjo,1600,https://github.com/rubjo/victor-mono
Typefont,Vasile-Peste,1600,https://github.com/Vasile-Peste/Typefont
creep,romeovs,1500,https://github.com/romeovs/creep
php-font-lib,PhenX,1500,https://github.com/PhenX/php-font-lib
free-font,wordshub,1400,https://github.com/wordshub/free-font
source-han-code-jp,adobe-fonts,1400,https://github.com/adobe-fonts/source-han-code-jp
Work-Sans,weiweihuanghuang,1300,https://github.com/weiweihuanghuang/Work-Sans
freetype-gl,rougier,1300,https://github.com/rougier/freetype-gl
fontsource,fontsource,1300,https://github.com/fontsource/fontsource
3270font,rbanffy,1200,https://github.com/rbanffy/3270font
vazir-font,rastikerdar,1200,https://github.com/rastikerdar/vazir-font
Cozette,slavfox,1200,https://github.com/slavfox/Cozette
SwiftIconFont,0x73,1100,https://github.com/0x73/SwiftIconFont
glyphhanger,filamentgroup,1100,https://github.com/filamentgroup/glyphhanger
bootstrapcdn,jsdelivr,1100,https://github.com/jsdelivr/bootstrapcdn
space-grotesk,floriankarsten,1100,https://github.com/floriankarsten/space-grotesk
twemoji-color-font,eosrei,1100,https://github.com/eosrei/twemoji-color-font
zpix-pixel-font,SolidZORO,1000,https://github.com/SolidZORO/zpix-pixel-font
web-font-loading-recipes,zachleat,980,https://github.com/zachleat/web-font-loading-recipes
google-type,femmebot,972,https://github.com/femmebot/google-type
unicons,Iconscout,962,https://github.com/Iconscout/unicons
scientifica,NerdyPepper,922,https://github.com/NerdyPepper/scientifica
Cica,miiton,913,https://github.com/miiton/Cica
emojione-color-font,13rac1,890,https://github.com/13rac1/emojione-color-font
openwebicons,pfefferle,838,https://github.com/pfefferle/openwebicons
cfonts,dominikwilkowski,830,https://github.com/dominikwilkowski/cfonts
glow-sans,welai,824,https://github.com/welai/glow-sans
Android-RobotoTextView,johnkil,789,https://github.com/johnkil/Android-RobotoTextView
Cirrus,Spiderpig86,789,https://github.com/Spiderpig86/Cirrus
Font-Awesome-Swift,Vaberer,744,https://github.com/Vaberer/Font-Awesome-Swift
alfred-font-awesome-workflow,ruedap,734,https://github.com/ruedap/alfred-font-awesome-workflow
FiraSystemFontReplacement,jenskutilek,731,https://github.com/jenskutilek/FiraSystemFontReplacement
juliamono,cormullion,729,https://github.com/cormullion/juliamono
SakuraKit,tingxins,682,https://github.com/tingxins/SakuraKit
rrpl,LingDong-,667,https://github.com/LingDong-/rrpl
react-fontawesome,danawoodman,662,https://github.com/danawoodman/react-fontawesome
source-han-mono,adobe-fonts,634,https://github.com/adobe-fonts/source-han-mono
fontdue,mooman219,624,https://github.com/mooman219/fontdue
quadplay,morgan3d,609,https://github.com/morgan3d/quadplay
qiji-font,LingDong-,605,https://github.com/LingDong-/qiji-font
hoard-of-bitfonts,robhagemans,595,https://github.com/robhagemans/hoard-of-bitfonts
Hack-windows-installer,source-foundry,575,https://github.com/source-foundry/Hack-windows-installer
academicons,jpswalsh,572,https://github.com/jpswalsh/academicons
tamzen-font,sunaku,564,https://github.com/sunaku/tamzen-font
libertinus,alerque,561,https://github.com/alerque/libertinus
rusttype,redox-os,529,https://github.com/redox-os/rusttype
fontawesome-iconpicker,itsjavi,526,https://github.com/itsjavi/fontawesome-iconpicker
last-resort-font,unicode-org,492,https://github.com/unicode-org/last-resort-font
Sketch-SF-UI-Font-Fixer,kylehickinson,491,https://github.com/kylehickinson/Sketch-SF-UI-Font-Fixer
vim-practice,oldratlee,472,https://github.com/oldratlee/vim-practice
romfont,spacerace,467,https://github.com/spacerace/romfont
undefined-medium,andirueckel,455,https://github.com/andirueckel/undefined-medium
glyphsearch,thomaspark,452,https://github.com/thomaspark/glyphsearch
pokemon-font,PascalPixel,445,https://github.com/PascalPixel/pokemon-font
QtAwesome,gamecreature,445,https://github.com/gamecreature/QtAwesome
Crimson,skosch,444,https://github.com/skosch/Crimson
fontisto,kenangundogan,440,https://github.com/kenangundogan/fontisto
pretendard,orioncactus,433,https://github.com/orioncactus/pretendard
weepeople,propublica,426,https://github.com/propublica/weepeople
google-fonts,expo,419,https://github.com/expo/google-fonts
prototypo,byte-foundry,395,https://github.com/byte-foundry/prototypo
glyph-brush,alexheretic,391,https://github.com/alexheretic/glyph-brush
openvg,ajstarks,381,https://github.com/ajstarks/openvg
PureCSS-Font,cyanharlow,378,https://github.com/cyanharlow/PureCSS-Font
open-baskerville,klepas,372,https://github.com/klepas/open-baskerville
fontfaceonload,zachleat,370,https://github.com/zachleat/fontfaceonload
Fraunces,undercasetype,369,https://github.com/undercasetype/Fraunces
otfcc,caryll,362,https://github.com/caryll/otfcc
showtext,yixuan,358,https://github.com/yixuan/showtext
coding-fonts,chriscoyier,335,https://github.com/chriscoyier/coding-fonts
lexend,ThomasJockin,331,https://github.com/ThomasJockin/lexend
iOS-UIFont-Names,lionhylra,322,https://github.com/lionhylra/iOS-UIFont-Names
DSEG,keshikan,315,https://github.com/keshikan/DSEG
prestashop-icon-font,PrestaShop,314,https://github.com/PrestaShop/prestashop-icon-font
agave,blobject,313,https://github.com/blobject/agave
react-native-responsive-fontSize,heyman333,304,https://github.com/heyman333/react-native-responsive-fontSize
yakuhanjp,qrac,303,https://github.com/qrac/yakuhanjp
polyicon,ilikerobots,296,https://github.com/ilikerobots/polyicon
keyrune,andrewgioia,291,https://github.com/andrewgioia/keyrune
web-typography-glossary,fontplus,282,https://github.com/fontplus/web-typography-glossary
Lora-Cyrillic,cyrealtype,279,https://github.com/cyrealtype/Lora-Cyrillic
nuxt-webfontloader,Developmint,277,https://github.com/Developmint/nuxt-webfontloader
Decovar,TypeNetwork,275,https://github.com/TypeNetwork/Decovar
xcode-monokai-revisited,halcyonmobile,273,https://github.com/halcyonmobile/xcode-monokai-revisited
