Repository Name,Username,Stars,URL
vue,vuejs,186000,https://github.com/vuejs/vue
laravel,laravel,65900,https://github.com/laravel/laravel
django,django,58500,https://github.com/django/django
spring-boot,spring-projects,56200,https://github.com/spring-projects/spring-boot
gin,gin-gonic,49500,https://github.com/gin-gonic/gin
rails,rails,48700,https://github.com/rails/rails
ionic-framework,ionic-team,44900,https://github.com/ionic-team/ionic-framework
spring-framework,spring-projects,43500,https://github.com/spring-projects/spring-framework
meteor,meteor,42500,https://github.com/meteor/meteor
scrapy,scrapy,41100,https://github.com/scrapy/scrapy
nest,nestjs,38500,https://github.com/nestjs/nest
materialize,Dogfalo,38500,https://github.com/Dogfalo/materialize
nuxt.js,nuxt,37000,https://github.com/nuxt/nuxt.js
fastapi,tiangolo,33400,https://github.com/tiangolo/fastapi
symfony,symfony,25600,https://github.com/symfony/symfony
postcss,postcss,24900,https://github.com/postcss/postcss
framework,laravel,24400,https://github.com/laravel/framework
ngx-admin,akveo,22800,https://github.com/akveo/ngx-admin
mdb-ui-kit,mdbootstrap,21300,https://github.com/mdbootstrap/mdb-ui-kit
slate,ianstormtaylor,21200,https://github.com/ianstormtaylor/slate
iris,kataras,20900,https://github.com/kataras/iris
vapor,vapor,20500,https://github.com/vapor/vapor
libgdx,libgdx,18600,https://github.com/libgdx/libgdx
hyperapp,jorgebucaran,18600,https://github.com/jorgebucaran/hyperapp
egg,eggjs,17100,https://github.com/eggjs/egg
ice,alibaba,16400,https://github.com/alibaba/ice
framework7,framework7io,16300,https://github.com/framework7io/framework7
python-telegram-bot,python-telegram-bot,15800,https://github.com/python-telegram-bot/python-telegram-bot
dva,dvajs,15700,https://github.com/dvajs/dva
sanic,sanic-org,15100,https://github.com/sanic-org/sanic
riot,riot,14500,https://github.com/riot/riot
colly,gocolly,14300,https://github.com/gocolly/colly
fiber,gofiber,14200,https://github.com/gofiber/fiber
Rocket,SergioBenitez,14100,https://github.com/SergioBenitez/Rocket
yii2,yiisoft,13800,https://github.com/yiisoft/yii2
Catch2,catchorg,13700,https://github.com/catchorg/Catch2
kratos,go-kratos,13600,https://github.com/go-kratos/kratos
feathers,feathersjs,13500,https://github.com/feathersjs/feathers
hapi,hapijs,13400,https://github.com/hapijs/hapi
mediapipe,google,13000,https://github.com/google/mediapipe
mithril.js,MithrilJS,12700,https://github.com/MithrilJS/mithril.js
playframework,playframework,11900,https://github.com/playframework/playframework
framework,aurelia,11600,https://github.com/aurelia/framework
Slim,slimphp,11100,https://github.com/slimphp/Slim
core,adonisjs,10700,https://github.com/adonisjs/core
october,octobercms,10700,https://github.com/octobercms/october
cphalcon,phalcon,10400,https://github.com/phalcon/cphalcon
css,primer,10400,https://github.com/primer/css
truffle,trufflesuite,10300,https://github.com/trufflesuite/truffle
qiankun,umijs,10000,https://github.com/umijs/qiankun
cyclejs,cyclejs,9900,https://github.com/cyclejs/cyclejs
webmagic,code4craft,9900,https://github.com/code4craft/webmagic
aspnetboilerplate,aspnetboilerplate,9700,https://github.com/aspnetboilerplate/aspnetboilerplate
material-design-for-bootstrap,mdbootstrap,9500,https://github.com/mdbootstrap/material-design-for-bootstrap
milligram,milligram,9400,https://github.com/milligram/milligram
cdnjs,cdnjs,9100,https://github.com/cdnjs/cdnjs
blitz,blitz-js,8600,https://github.com/blitz-js/blitz
falcon,falconry,8500,https://github.com/falconry/falcon
fprime,nasa,8300,https://github.com/nasa/fprime
vue-native-core,GeekyAnts,8200,https://github.com/GeekyAnts/vue-native-core
