Repository Name,Username,Stars,URL
vue,vuejs,186000,https://github.com/vuejs/vue
react,facebook,171000,https://github.com/facebook/react
Front-End-Checklist,thedaviddias,55000,https://github.com/thedaviddias/Front-End-Checklist
ionic-framework,ionic-team,44900,https://github.com/ionic-team/ionic-framework
frontend-dev-bookmarks,dypsilon,31600,https://github.com/dypsilon/frontend-dev-bookmarks
gold-miner,xitu,29200,https://github.com/xitu/gold-miner
vite,vitejs,29000,https://github.com/vitejs/vite
iview,iview,23800,https://github.com/iview/iview
awesome-cheatsheets,LeCoupa,21100,https://github.com/LeCoupa/awesome-cheatsheets
fe-interview,haizlin,18200,https://github.com/haizlin/fe-interview
ant-design-vue,vueComponent,14800,https://github.com/vueComponent/ant-design-vue
Front-End-Performance-Checklist,thedaviddias,13400,https://github.com/thedaviddias/Front-End-Performance-Checklist
weekly,ascoders,13300,https://github.com/ascoders/weekly
tui.editor,nhn,13200,https://github.com/nhn/tui.editor
tachyons,tachyons-css,10800,https://github.com/tachyons-css/tachyons
marko,marko-js,10400,https://github.com/marko-js/marko
material-design-for-bootstrap,mdbootstrap,9500,https://github.com/mdbootstrap/material-design-for-bootstrap
tui.calendar,nhn,9200,https://github.com/nhn/tui.calendar
gremlins.js,marmelab,8600,https://github.com/marmelab/gremlins.js
perfect-scrollbar,mdbootstrap,8400,https://github.com/mdbootstrap/perfect-scrollbar
frontend-stuff,moklick,8400,https://github.com/moklick/frontend-stuff
gdbgui,cs01,8100,https://github.com/cs01/gdbgui
ng-zorro-antd,NG-ZORRO,7600,https://github.com/NG-ZORRO/ng-zorro-antd
Awsome-Front-End-learning-resource,helloqingfeng,7600,https://github.com/helloqingfeng/Awsome-Front-End-learning-resource
amis,baidu,7400,https://github.com/baidu/amis
growth-ebook,phodal,7400,https://github.com/phodal/growth-ebook
backbone.marionette,marionettejs,7100,https://github.com/marionettejs/backbone.marionette
vue-enterprise-boilerplate,bencodezen,7100,https://github.com/bencodezen/vue-enterprise-boilerplate
zeroclipboard,zeroclipboard,6600,https://github.com/zeroclipboard/zeroclipboard
full-stack-fastapi-postgresql,tiangolo,6300,https://github.com/tiangolo/full-stack-fastapi-postgresql
frontend-case-studies,andrew--r,6000,https://github.com/andrew--r/frontend-case-studies
hospitalrun-frontend,HospitalRun,5900,https://github.com/HospitalRun/hospitalrun-frontend
Hippy,Tencent,5900,https://github.com/Tencent/Hippy
developer-roadmap-chinese,goodjack,5700,https://github.com/goodjack/developer-roadmap-chinese
nerv,NervJS,5400,https://github.com/NervJS/nerv
webpacker,rails,5200,https://github.com/rails/webpacker
san,baidu,4400,https://github.com/baidu/san
imba,imba,4400,https://github.com/imba/imba
papercups,papercups-io,4300,https://github.com/papercups-io/papercups
reagent,reagent-project,4300,https://github.com/reagent-project/reagent
Front-End-Design-Checklist,thedaviddias,4000,https://github.com/thedaviddias/Front-End-Design-Checklist
front-end-handbook-2019,FrontendMasters,3900,https://github.com/FrontendMasters/front-end-handbook-2019
create-react-app-typescript,wmonk,3800,https://github.com/wmonk/create-react-app-typescript
forum,frontendbr,3700,https://github.com/frontendbr/forum
FE-Interview,lgwebdream,3500,https://github.com/lgwebdream/FE-Interview
react-fontawesome,FortAwesome,3400,https://github.com/FortAwesome/react-fontawesome
AmazeFileManager,TeamAmaze,3400,https://github.com/TeamAmaze/AmazeFileManager
pattern.css,bansal-io,3300,https://github.com/bansal-io/pattern.css
Front-End-Web-Development-Resources,RitikPatni,3200,https://github.com/RitikPatni/Front-End-Web-Development-Resources
telegram-list,goq,3100,https://github.com/goq/telegram-list
webpack-libs-optimizations,GoogleChromeLabs,3100,https://github.com/GoogleChromeLabs/webpack-libs-optimizations
localResizeIMG,think2011,3100,https://github.com/think2011/localResizeIMG
TNT-Weekly,tnfe,3000,https://github.com/tnfe/TNT-Weekly
mini.css,Chalarangelo,2900,https://github.com/Chalarangelo/mini.css
redux-orm,redux-orm,2900,https://github.com/redux-orm/redux-orm
frontend-tech-list,alienzhou,2900,https://github.com/alienzhou/frontend-tech-list
rfs,twbs,2700,https://github.com/twbs/rfs
hiper,pod4g,2700,https://github.com/pod4g/hiper
webhook.site,webhooksite,2600,https://github.com/webhooksite/webhook.site
growth-in-action,phodal,2400,https://github.com/phodal/growth-in-action
webpack-book,survivejs,2400,https://github.com/survivejs/webpack-book
ViewUI,view-design,2300,https://github.com/view-design/ViewUI
awesome-jupyter,markusschanta,2300,https://github.com/markusschanta/awesome-jupyter
img2css,javierbyte,2300,https://github.com/javierbyte/img2css
FrontEndGitHub,FrontEndGitHub,2300,https://github.com/FrontEndGitHub/FrontEndGitHub
awesome-casestudy,luruke,2300,https://github.com/luruke/awesome-casestudy
the-front-end-knowledge-you-may-not-know,justjavac,2200,https://github.com/justjavac/the-front-end-knowledge-you-may-not-know
react-imgpro,nitin42,2200,https://github.com/nitin42/react-imgpro
vue-fontawesome,FortAwesome,2100,https://github.com/FortAwesome/vue-fontawesome
fe-interview,azl397985856,2100,https://github.com/azl397985856/fe-interview
meli,getmeli,2100,https://github.com/getmeli/meli
vecty,hexops,2000,https://github.com/hexops/vecty
bttn.css,ganapativs,2000,https://github.com/ganapativs/bttn.css
devmap,zualex,2000,https://github.com/zualex/devmap
userbase,smallbets,2000,https://github.com/smallbets/userbase
OverVue,open-source-labs,2000,https://github.com/open-source-labs/OverVue
fe,phodal,2000,https://github.com/phodal/fe
ansible-cmdb,fboender,1900,https://github.com/fboender/ansible-cmdb
OverlayScrollbars,KingSora,1900,https://github.com/KingSora/OverlayScrollbars
javascript-code-challenges,sadanandpai,1900,https://github.com/sadanandpai/javascript-code-challenges
builder,BuilderIO,1800,https://github.com/BuilderIO/builder
layerJS,layerJS,1800,https://github.com/layerJS/layerJS
frontendDaily,kujian,1800,https://github.com/kujian/frontendDaily
webapp.rs,saschagrunert,1800,https://github.com/saschagrunert/webapp.rs
spring-boot-vuejs,jonashackt,1700,https://github.com/jonashackt/spring-boot-vuejs
percy,chinedufn,1700,https://github.com/chinedufn/percy
reactpatterns,chantastic,1700,https://github.com/chantastic/reactpatterns
webpack-starter,wbkd,1700,https://github.com/wbkd/webpack-starter
Awesome-Interview,Awesome-Interview,1700,https://github.com/Awesome-Interview/Awesome-Interview
neo,neomjs,1600,https://github.com/neomjs/neo
login-flow,mxstbr,1600,https://github.com/mxstbr/login-flow
frontdesk,miripiruni,1600,https://github.com/miripiruni/frontdesk
frontend,home-assistant,1600,https://github.com/home-assistant/frontend
bulmaswatch,jenil,1500,https://github.com/jenil/bulmaswatch
web-interview,yisainan,1500,https://github.com/yisainan/web-interview
nipplejs,yoannmoinet,1400,https://github.com/yoannmoinet/nipplejs
visual-center,javierbyte,1300,https://github.com/javierbyte/visual-center
react-native-picker-select,lawnstarter,1300,https://github.com/lawnstarter/react-native-picker-select
