Repository Name,Username,Stars,URL
godot,godotengine,40200,https://github.com/godotengine/godot
games,leereilly,18000,https://github.com/leereilly/games
cocos2d-x,cocos2d,15300,https://github.com/cocos2d/cocos2d-x
Babylon.js,BabylonJS,14400,https://github.com/BabylonJS/Babylon.js
aframe,aframevr,12900,https://github.com/aframevr/aframe
matter-js,liabru,11800,https://github.com/liabru/matter-js
openage,SFTtech,10400,https://github.com/SFTtech/openage
bevy,bevyengine,9700,https://github.com/bevyengine/bevy
OpenDiablo2,OpenDiablo2,9600,https://github.com/OpenDiablo2/OpenDiablo2
OpenRA,OpenRA,9400,https://github.com/OpenRA/OpenRA
boardgame.io,boardgameio,8800,https://github.com/boardgameio/boardgame.io
magictools,ellisonleao,8400,https://github.com/ellisonleao/magictools
pyxel,kitao,8300,https://github.com/kitao/pyxel
MonoGame,MonoGame,7600,https://github.com/MonoGame/MonoGame
amethyst,amethyst,7200,https://github.com/amethyst/amethyst
engine,playcanvas,6400,https://github.com/playcanvas/engine
minetest,minetest,6100,https://github.com/minetest/minetest
entt,skypjack,5400,https://github.com/skypjack/entt
Entitas-CSharp,sschmid,5100,https://github.com/sschmid/Entitas-CSharp
ET,egametang,4600,https://github.com/egametang/ET
flame,flame-engine,4500,https://github.com/flame-engine/flame
egret-core,egret-labs,3600,https://github.com/egret-labs/egret-core
Urho3D,urho3d,3600,https://github.com/urho3d/Urho3D
magnum,mosra,3500,https://github.com/mosra/magnum
pixel,faiface,3500,https://github.com/faiface/pixel
melonJS,melonjs,3400,https://github.com/melonjs/melonJS
stride,stride3d,3200,https://github.com/stride3d/stride
Terasology,MovingBlocks,3100,https://github.com/MovingBlocks/Terasology
NoahGameFrame,ketoo,3000,https://github.com/ketoo/NoahGameFrame
ggez,ggez,2900,https://github.com/ggez/ggez
o3de,o3de,2900,https://github.com/o3de/o3de
GDevelop,4ian,2900,https://github.com/4ian/GDevelop
panda3d,panda3d,2800,https://github.com/panda3d/panda3d
FlaxEngine,FlaxEngine,2500,https://github.com/FlaxEngine/FlaxEngine
LumixEngine,nem0,2500,https://github.com/nem0/LumixEngine
AtomicGameEngine,AtomicGameEngine,2400,https://github.com/AtomicGameEngine/AtomicGameEngine
engine,cocos-creator,2300,https://github.com/cocos-creator/engine
armory,armory3d,2200,https://github.com/armory3d/armory
permafrost-engine,eduard-permyakov,2200,https://github.com/eduard-permyakov/permafrost-engine
opentk,opentk,2100,https://github.com/opentk/opentk
