Repository Name,Username,Stars,URL
gitignore,github,121000,https://github.com/github/gitignore
gogs,gogs,37300,https://github.com/gogs/gogs
bat,sharkdp,28100,https://github.com/sharkdp/bat
gitea,go-gitea,25400,https://github.com/go-gitea/gitea
cli,cli,24000,https://github.com/cli/cli
husky,typicode,23400,https://github.com/typicode/husky
hub,github,21000,https://github.com/github/hub
lazygit,jesseduffield,20400,https://github.com/jesseduffield/lazygit
tips,git-tips,19900,https://github.com/git-tips/tips
git-extras,tj,15000,https://github.com/tj/git-extras
diff-so-fancy,so-fancy,14500,https://github.com/so-fancy/diff-so-fancy
netlify-cms,netlify,14200,https://github.com/netlify/netlify-cms
git-recipes,geeeeeeeeek,13900,https://github.com/geeeeeeeeek/git-recipes
wiki,Requarks,13300,https://github.com/Requarks/wiki
git-tips,521xueweihan,13200,https://github.com/521xueweihan/git-tips
git-history,pomber,12600,https://github.com/pomber/git-history
desktop,desktop,12400,https://github.com/desktop/desktop
phabricator,phacility,12200,https://github.com/phacility/phabricator
devops-exercises,bregman-arie,11900,https://github.com/bregman-arie/devops-exercises
technology-talk,aalansehaiyang,11700,https://github.com/aalansehaiyang/technology-talk
cz-cli,commitizen,11700,https://github.com/commitizen/cz-cli
walle-web,meolu,11100,https://github.com/meolu/walle-web
pure,sindresorhus,10400,https://github.com/sindresorhus/pure
tig,jonas,10100,https://github.com/jonas/tig
delta,dandavison,9800,https://github.com/dandavison/delta
ungit,FredrikNoren,9700,https://github.com/FredrikNoren/ungit
git-lfs,git-lfs,9400,https://github.com/git-lfs/git-lfs
dolt,dolthub,9200,https://github.com/dolthub/dolt
lint-staged,okonet,8800,https://github.com/okonet/lint-staged
commitlint,conventional-changelog,8600,https://github.com/conventional-changelog/commitlint
gitbucket,gitbucket,8400,https://github.com/gitbucket/gitbucket
dvc,iterative,8300,https://github.com/iterative/dvc
libgit2,libgit2,8000,https://github.com/libgit2/libgit2
gitleaks,zricethezav,7900,https://github.com/zricethezav/gitleaks
w3-goto-world,hoochanlon,7800,https://github.com/hoochanlon/w3-goto-world
bfg-repo-cleaner,rtyley,7700,https://github.com/rtyley/bfg-repo-cleaner
vim-gitgutter,airblade,7100,https://github.com/airblade/vim-gitgutter
gitsome,donnemartin,7100,https://github.com/donnemartin/gitsome
my-git,xirong,7100,https://github.com/xirong/my-git
git-standup,kamranahmedse,6900,https://github.com/kamranahmedse/git-standup
docker-gitlab,sameersbn,6900,https://github.com/sameersbn/docker-gitlab
sourcerer-app,sourcerer-io,6600,https://github.com/sourcerer-io/sourcerer-app
githug,Gazler,6300,https://github.com/Gazler/githug
pre-commit,pre-commit,6200,https://github.com/pre-commit/pre-commit
vscode-gitlens,eamodio,6000,https://github.com/eamodio/vscode-gitlens
translations,oldratlee,5900,https://github.com/oldratlee/translations
gitextensions,gitextensions,5700,https://github.com/gitextensions/gitextensions
gitql,filhodanuvem,5700,https://github.com/filhodanuvem/gitql
legit,frostming,5700,https://github.com/frostming/legit
bit,chriswalz,5600,https://github.com/chriswalz/bit
Waking-Up,wolverinn,5600,https://github.com/wolverinn/Waking-Up
conventional-changelog,conventional-changelog,5600,https://github.com/conventional-changelog/conventional-changelog
dev-setup,donnemartin,5500,https://github.com/donnemartin/dev-setup
posh-git,dahlbyk,5500,https://github.com/dahlbyk/posh-git
docker-ce,docker,5300,https://github.com/docker/docker-ce
gitpitch,gitpitch,5300,https://github.com/gitpitch/gitpitch
standard-version,conventional-changelog,5300,https://github.com/conventional-changelog/standard-version
git-bug,MichaelMure,5200,https://github.com/MichaelMure/git-bug
gitui,extrawurst,5200,https://github.com/extrawurst/gitui
magit,magit,5100,https://github.com/magit/magit
git-ftp,git-ftp,5000,https://github.com/git-ftp/git-ftp
go-git,src-d,5000,https://github.com/src-d/go-git
nodegit,nodegit,4900,https://github.com/nodegit/nodegit
git-quick-stats,arzzen,4900,https://github.com/arzzen/git-quick-stats
keep-a-changelog,olivierlacan,4900,https://github.com/olivierlacan/keep-a-changelog
gitflow-avh,petervanderdoes,4800,https://github.com/petervanderdoes/gitflow-avh
git-cheat-sheet,arslanbilal,4800,https://github.com/arslanbilal/git-cheat-sheet
logseq,logseq,4800,https://github.com/logseq/logseq
git-style-guide,agis,4800,https://github.com/agis/git-style-guide
school-of-sre,linkedin,4700,https://github.com/linkedin/school-of-sre
SparkleShare,hbons,4600,https://github.com/hbons/SparkleShare
FAQGURU,FAQGURU,4600,https://github.com/FAQGURU/FAQGURU
lolcommits,lolcommits,4400,https://github.com/lolcommits/lolcommits
progit2,progit,4300,https://github.com/progit/progit2
release-it,release-it,4300,https://github.com/release-it/release-it
gopass,gopasspw,4100,https://github.com/gopasspw/gopass
onedev,theonedev,3900,https://github.com/theonedev/onedev
grv,rgburke,3800,https://github.com/rgburke/grv
DevOps-Guide,Tikam02,3800,https://github.com/Tikam02/DevOps-Guide
git-fire,qw3rtman,3500,https://github.com/qw3rtman/git-fire
gitkube,hasura,3500,https://github.com/hasura/gitkube
nb,xwmx,3400,https://github.com/xwmx/nb
onefetch,o2sh,3300,https://github.com/o2sh/onefetch
awesome-programming-books,royeo,3300,https://github.com/royeo/awesome-programming-books
training-kit,github,3300,https://github.com/github/training-kit
awesome-blockchains,openblockchains,3100,https://github.com/openblockchains/awesome-blockchains
conventionalcommits.org,conventional-commits,3100,https://github.com/conventional-commits/conventionalcommits.org
picocli,remkop,3000,https://github.com/remkop/picocli
gitlist,klaussilveira,2800,https://github.com/klaussilveira/gitlist
