Repository Name,Username,Stars,URL
hub,github,21000,https://github.com/github/hub
profile-summary-for-github,tipsy,19400,https://github.com/tipsy/profile-summary-for-github
go-github,google,7600,https://github.com/google/go-github
devhub,devhubapp,7500,https://github.com/devhubapp/devhub
gitsome,donnemartin,7100,https://github.com/donnemartin/gitsome
github-changelog-generator,github-changelog-generator,6500,https://github.com/github-changelog-generator/github-changelog-generator
gitrob,michenriksen,5100,https://github.com/michenriksen/gitrob
PyGithub,PyGithub,4400,https://github.com/PyGithub/PyGithub
Gitter,kokohuang,3500,https://github.com/kokohuang/Gitter
octokit.rb,octokit,3400,https://github.com/octokit/octokit.rb
metrics,lowlighter,3300,https://github.com/lowlighter/metrics
gitify,manosim,3300,https://github.com/manosim/gitify
shhgit,eth0izzle,3200,https://github.com/eth0izzle/shhgit
builderbook,async-labs,2800,https://github.com/async-labs/builderbook
ForkHub,jonan,2800,https://github.com/jonan/ForkHub
awesome-github,AntBranch,1900,https://github.com/AntBranch/awesome-github
php-github-api,KnpLabs,1900,https://github.com/KnpLabs/php-github-api
gas-github,leonhartX,1800,https://github.com/leonhartX/gas-github
Monkey,coderyi,1800,https://github.com/coderyi/Monkey
github-audio,debugger22,1700,https://github.com/debugger22/github-audio
react-graphql-github-apollo,the-road-to-graphql,1500,https://github.com/the-road-to-graphql/react-graphql-github-apollo
VBlog,GitHub-Laziji,1400,https://github.com/GitHub-Laziji/VBlog
github-rank,jaywcjlove,1300,https://github.com/jaywcjlove/github-rank
mini-github,kezhenxu94,1200,https://github.com/kezhenxu94/mini-github
github-script,actions,1200,https://github.com/actions/github-script
octonode,pksunkara,1100,https://github.com/pksunkara/octonode
github,piotrmurach,1100,https://github.com/piotrmurach/github
github3.py,sigmavirus24,1100,https://github.com/sigmavirus24/github3.py
DownGit,MinhasKamal,1000,https://github.com/MinhasKamal/DownGit
GitGot,BishopFox,996,https://github.com/BishopFox/GitGot
github-repo-size,harshjv,902,https://github.com/harshjv/github-repo-size
github-api,hub4j,784,https://github.com/hub4j/github-api
picx,XPoet,740,https://github.com/XPoet/picx
micro-github,mxstbr,727,https://github.com/mxstbr/micro-github
github-stats,jstrieb,668,https://github.com/jstrieb/github-stats
github-trending-api,huchenme,649,https://github.com/huchenme/github-trending-api
starcharts,caarlos0,610,https://github.com/caarlos0/starcharts
gitstalk,thelittlewonder,566,https://github.com/thelittlewonder/gitstalk
git-labelmaker,himynameisdave,542,https://github.com/himynameisdave/git-labelmaker
githubchart-api,2016rshah,527,https://github.com/2016rshah/githubchart-api
LeetHub,QasimWani,519,https://github.com/QasimWani/LeetHub
automerge-action,pascalgn,495,https://github.com/pascalgn/automerge-action
git-peek,Jarred-Sumner,492,https://github.com/Jarred-Sumner/git-peek
github-mirror,gousiosg,490,https://github.com/gousiosg/github-mirror
GitTrends,brminnick,449,https://github.com/brminnick/GitTrends
octokat.js,philschatz,407,https://github.com/philschatz/octokat.js
This-Repo-Has-383-Stars,iBug,383,https://github.com/iBug/This-Repo-Has-383-Stars
ok.sh,whiteinge,380,https://github.com/whiteinge/ok.sh
hukum,abskmj,376,https://github.com/abskmj/hukum
octoprofile,bchiang7,374,https://github.com/bchiang7/octoprofile
kafka-connect-github-source,simplesteph,348,https://github.com/simplesteph/kafka-connect-github-source
octokit.swift,nerdishbynature,343,https://github.com/nerdishbynature/octokit.swift
repository-dispatch,peter-evans,342,https://github.com/peter-evans/repository-dispatch
astronomer,Ullaakut,328,https://github.com/Ullaakut/astronomer
github-rs,github-rs,303,https://github.com/github-rs/github-rs
github-wrapped,ishandeveloper,302,https://github.com/ishandeveloper/github-wrapped
simonw,simonw,302,https://github.com/simonw/simonw
ghcrawler,microsoft,301,https://github.com/microsoft/ghcrawler
hacker-tab-extension,huchenme,298,https://github.com/huchenme/hacker-tab-extension
buildAPKs,BuildAPKs,296,https://github.com/BuildAPKs/buildAPKs
GithubFollows,skydoves,276,https://github.com/skydoves/GithubFollows
Repository-Hunter,AdiChat,275,https://github.com/AdiChat/Repository-Hunter
github_cli,piotrmurach,265,https://github.com/piotrmurach/github_cli
GitLit,amfoss,264,https://github.com/amfoss/GitLit
node-github-profile-summary,Molunerfinn,261,https://github.com/Molunerfinn/node-github-profile-summary
hubcaps,softprops,254,https://github.com/softprops/hubcaps
jcabi-github,jcabi,254,https://github.com/jcabi/jcabi-github
Tentacle,mdiep,245,https://github.com/mdiep/Tentacle
buildAPKs,SDRausty,231,https://github.com/SDRausty/buildAPKs
ghapi,fastai,225,https://github.com/fastai/ghapi
curiosity,mubaris,216,https://github.com/mubaris/curiosity
auto-green,justjavac,196,https://github.com/justjavac/auto-green
orgmanager,orgmanager,196,https://github.com/orgmanager/orgmanager
ansibullbot,ansible,187,https://github.com/ansible/ansibullbot
octotui,irevenko,183,https://github.com/irevenko/octotui
githubDB,usmakestwo,178,https://github.com/usmakestwo/githubDB
octohatrack,LABHR,175,https://github.com/LABHR/octohatrack
BeeFun-Pro,wenghengcong,173,https://github.com/wenghengcong/BeeFun-Pro
useful-forks.github.io,useful-forks,168,https://github.com/useful-forks/useful-forks.github.io
CodeHub,aalok05,168,https://github.com/aalok05/CodeHub
deployments,bobheadxi,162,https://github.com/bobheadxi/deployments
gh,r-lib,161,https://github.com/r-lib/gh
onestlatech.github.io,onestlatech,160,https://github.com/onestlatech/onestlatech.github.io
gh-got,sindresorhus,156,https://github.com/sindresorhus/gh-got
starring,ritz078,156,https://github.com/ritz078/starring
fork-cleaner,caarlos0,150,https://github.com/caarlos0/fork-cleaner
Alize,yasintoy,146,https://github.com/yasintoy/Alize
github-to-sqlite,dogsheep,144,https://github.com/dogsheep/github-to-sqlite
Chronicler,nytimes,143,https://github.com/nytimes/Chronicler
github-timeline,barisesen,142,https://github.com/barisesen/github-timeline
lastversion,dvershinin,138,https://github.com/dvershinin/lastversion
git-pull-request,splitbrain,132,https://github.com/splitbrain/git-pull-request
contributions.taminomartinius.de,tamino-martinius,131,https://github.com/tamino-martinius/contributions.taminomartinius.de
gitfame,thenamankumar,130,https://github.com/thenamankumar/gitfame
ReactNativeTemplate,Yalantis,127,https://github.com/Yalantis/ReactNativeTemplate
git-hub,sociomantic-tsunami,123,https://github.com/sociomantic-tsunami/git-hub
github-downloads-count,mmilidoni,121,https://github.com/mmilidoni/github-downloads-count
blog,LeachZhou,121,https://github.com/LeachZhou/blog
github_ecto,wojtekmach,117,https://github.com/wojtekmach/github_ecto
android-issue-reporter,heinrichreimer,114,https://github.com/heinrichreimer/android-issue-reporter
GitHub-Pro,zenghongtu,114,https://github.com/zenghongtu/GitHub-Pro
gitstats,akashraj9828,113,https://github.com/akashraj9828/gitstats
RxGithub,oronbz,113,https://github.com/oronbz/RxGithub
year-on-github,jrieke,112,https://github.com/jrieke/year-on-github
llum,acacha,109,https://github.com/acacha/llum
opensource,globocom,109,https://github.com/globocom/opensource
pullp,rkclark,102,https://github.com/rkclark/pullp
github-clone,HR,101,https://github.com/HR/github-clone
github-rest-apis-for-insomnia,swinton,97,https://github.com/swinton/github-rest-apis-for-insomnia
PortfolioFy,kaustubhgupta,96,https://github.com/kaustubhgupta/PortfolioFy
org-stats,caarlos0,95,https://github.com/caarlos0/org-stats
dart_hub,SamThompson,91,https://github.com/SamThompson/dart_hub
gistr,ropensci,90,https://github.com/ropensci/gistr
projmgr,emilyriederer,90,https://github.com/emilyriederer/projmgr
meteorite,nickzuber,85,https://github.com/nickzuber/meteorite
RepoPeek,sameera-madushan,83,https://github.com/sameera-madushan/RepoPeek
GitMAD,deepdivesec,83,https://github.com/deepdivesec/GitMAD
coderstats,wobsoriano,82,https://github.com/wobsoriano/coderstats
keynuker,tleyden,82,https://github.com/tleyden/keynuker
fixtures,octokit,79,https://github.com/octokit/fixtures
