Repository Name,Username,Stars,URL
go,golang,87800,https://github.com/golang/go
kubernetes,kubernetes,79000,https://github.com/kubernetes/kubernetes
awesome-go,avelino,65800,https://github.com/avelino/awesome-go
moby,moby,60600,https://github.com/moby/moby
hugo,gohugoio,52900,https://github.com/gohugoio/hugo
gin,gin-gonic,49500,https://github.com/gin-gonic/gin
frp,fatedier,46800,https://github.com/fatedier/frp
grafana,grafana,42900,https://github.com/grafana/grafana
syncthing,syncthing,39200,https://github.com/syncthing/syncthing
fzf,junegunn,37800,https://github.com/junegunn/fzf
gogs,gogs,37300,https://github.com/gogs/gogs
etcd,etcd-io,36500,https://github.com/etcd-io/etcd
traefik,traefik,34300,https://github.com/traefik/traefik
caddy,caddyserver,34000,https://github.com/caddyserver/caddy
go-ethereum,ethereum,31400,https://github.com/ethereum/go-ethereum
minio,minio,28400,https://github.com/minio/minio
tidb,pingcap,28400,https://github.com/pingcap/tidb
rclone,rclone,27900,https://github.com/rclone/rclone
beego,beego,26600,https://github.com/beego/beego
the-way-to-go_ZH_CN,unknwon,26300,https://github.com/unknwon/the-way-to-go_ZH_CN
gitea,go-gitea,25400,https://github.com/go-gitea/gitea
project-layout,golang-standards,24900,https://github.com/golang-standards/project-layout
gorm,go-gorm,24400,https://github.com/go-gorm/gorm
drone,drone,23500,https://github.com/drone/drone
cobra,spf13,22300,https://github.com/spf13/cobra
influxdb,influxdata,21800,https://github.com/influxdata/influxdb
vault,hashicorp,21400,https://github.com/hashicorp/vault
minikube,kubernetes,21300,https://github.com/kubernetes/minikube
hub,github,21000,https://github.com/github/hub
cockroach,cockroachdb,20900,https://github.com/cockroachdb/cockroach
iris,kataras,20900,https://github.com/kataras/iris
kit,go-kit,20600,https://github.com/go-kit/kit
mattermost-server,mattermost,20600,https://github.com/mattermost/mattermost-server
echo,labstack,20200,https://github.com/labstack/echo
nsq,nsqio,19900,https://github.com/nsqio/nsq
LeetCode-Go,halfrost,19000,https://github.com/halfrost/LeetCode-Go
logrus,sirupsen,18200,https://github.com/sirupsen/logrus
vegeta,tsenart,17700,https://github.com/tsenart/vegeta
nps,ehang-io,17600,https://github.com/ehang-io/nps
micro,zyedidia,17200,https://github.com/zyedidia/micro
nvm-windows,coreybutler,16600,https://github.com/coreybutler/nvm-windows
delve,go-delve,16500,https://github.com/go-delve/delve
flatbuffers,google,16500,https://github.com/google/flatbuffers
dgraph,dgraph-io,16300,https://github.com/dgraph-io/dgraph
go-micro,asim,16300,https://github.com/asim/go-micro
cli,urfave,16100,https://github.com/urfave/cli
gotty,yudai,15600,https://github.com/yudai/gotty
go-patterns,tmrts,15600,https://github.com/tmrts/go-patterns
advanced-go-programming-book,chai2010,15300,https://github.com/chai2010/advanced-go-programming-book
annie,iawia002,15100,https://github.com/iawia002/annie
websocket,gorilla,15000,https://github.com/gorilla/websocket
mux,gorilla,14700,https://github.com/gorilla/mux
learn-go-with-tests,quii,14700,https://github.com/quii/learn-go-with-tests
goreplay,buger,14400,https://github.com/buger/goreplay
colly,gocolly,14300,https://github.com/gocolly/colly
fiber,gofiber,14200,https://github.com/gofiber/fiber
grpc-go,grpc,14100,https://github.com/grpc/grpc-go
cayley,cayleygraph,13900,https://github.com/cayleygraph/cayley
testify,stretchr,13700,https://github.com/stretchr/testify
Qix,ty4z2008,13600,https://github.com/ty4z2008/Qix
vim-go,fatih,13600,https://github.com/fatih/vim-go
kratos,go-kratos,13600,https://github.com/go-kratos/kratos
fyne,fyne-io,13500,https://github.com/fyne-io/fyne
restic,restic,13100,https://github.com/restic/restic
kops,kubernetes,13100,https://github.com/kubernetes/kops
httprouter,julienschmidt,12900,https://github.com/julienschmidt/httprouter
k9s,derailed,12700,https://github.com/derailed/k9s
wtf,wtfutil,12600,https://github.com/wtfutil/wtf
codis,CodisLabs,12000,https://github.com/CodisLabs/codis
redis,go-redis,12000,https://github.com/go-redis/redis
bolt,boltdb,11900,https://github.com/boltdb/bolt
skaffold,GoogleContainerTools,11500,https://github.com/GoogleContainerTools/skaffold
golang-developer-roadmap,Alikhll,11500,https://github.com/Alikhll/golang-developer-roadmap
primitive,fogleman,11500,https://github.com/fogleman/primitive
tink,google,11400,https://github.com/google/tink
grpc-gateway,grpc-ecosystem,11100,https://github.com/grpc-ecosystem/grpc-gateway
mysql,go-sql-driver,11100,https://github.com/go-sql-driver/mysql
gopherjs,gopherjs,10300,https://github.com/gopherjs/gopherjs
docker-slim,docker-slim,10300,https://github.com/docker-slim/docker-slim
gods,emirpasic,10200,https://github.com/emirpasic/gods
learngo,inancgumus,10100,https://github.com/inancgumus/learngo
casbin,casbin,9800,https://github.com/casbin/casbin
teleport,gravitational,9700,https://github.com/gravitational/teleport
wuzz,asciimoo,9700,https://github.com/asciimoo/wuzz
chi,go-chi,9700,https://github.com/go-chi/chi
GoBooks,dariubs,9600,https://github.com/dariubs/GoBooks
OpenDiablo2,OpenDiablo2,9600,https://github.com/OpenDiablo2/OpenDiablo2
nats-server,nats-io,9600,https://github.com/nats-io/nats-server
go,json-iterator,9500,https://github.com/json-iterator/go
badger,dgraph-io,9500,https://github.com/dgraph-io/badger
git-lfs,git-lfs,9400,https://github.com/git-lfs/git-lfs
night,talkgo,9400,https://github.com/talkgo/night
pulumi,pulumi,9300,https://github.com/pulumi/pulumi
Halfrost-Field,halfrost,9200,https://github.com/halfrost/Halfrost-Field
guide,uber-go,9200,https://github.com/uber-go/guide
excelize,360EntSecGroup-Skylar,9100,https://github.com/360EntSecGroup-Skylar/excelize
compiler-explorer,compiler-explorer,9000,https://github.com/compiler-explorer/compiler-explorer
rkt,rkt,8900,https://github.com/rkt/rkt
qt,therecipe,8600,https://github.com/therecipe/qt
rqlite,rqlite,8600,https://github.com/rqlite/rqlite
vuls,future-architect,8600,https://github.com/future-architect/vuls
redigo,gomodule,8500,https://github.com/gomodule/redigo
gin-vue-admin,flipped-aurora,8500,https://github.com/flipped-aurora/gin-vue-admin
goreleaser,goreleaser,8300,https://github.com/goreleaser/goreleaser
glide,Masterminds,8100,https://github.com/Masterminds/glide
golangci-lint,golangci,8100,https://github.com/golangci/golangci-lint
crawlab,crawlab-team,8000,https://github.com/crawlab-team/crawlab
clair,quay,7900,https://github.com/quay/clair
origin,openshift,7900,https://github.com/openshift/origin
The-Golang-Standard-Library-by-Example,polaris1119,7900,https://github.com/polaris1119/The-Golang-Standard-Library-by-Example
gitleaks,zricethezav,7900,https://github.com/zricethezav/gitleaks
coredns,coredns,7900,https://github.com/coredns/coredns
go-cloud,google,7800,https://github.com/google/go-cloud
trivy,aquasecurity,7800,https://github.com/aquasecurity/trivy
protobuf,golang,7800,https://github.com/golang/protobuf
go-github,google,7600,https://github.com/google/go-github
client,keybase,7600,https://github.com/keybase/client
webrtc,pion,7500,https://github.com/pion/webrtc
gost,ginuerzh,7400,https://github.com/ginuerzh/gost
sarama,Shopify,7400,https://github.com/Shopify/sarama
