Repository Name,Username,Stars,URL
gradle,gradle,12100,https://github.com/gradle/gradle
jib,GoogleContainerTools,10800,https://github.com/GoogleContainerTools/jib
AndroidDevTools,inferjay,7100,https://github.com/inferjay/AndroidDevTools
walle,Meituan-Dianping,6100,https://github.com/Meituan-Dianping/walle
android-showcase,igorwojda,4900,https://github.com/igorwojda/android-showcase
packer-ng-plugin,mcxiaoke,4700,https://github.com/mcxiaoke/packer-ng-plugin
hibernate-orm,hibernate,4700,https://github.com/hibernate/hibernate-orm
android-tips-tricks,nisrulz,4400,https://github.com/nisrulz/android-tips-tricks
Robust,Meituan-Dianping,4000,https://github.com/Meituan-Dianping/Robust
dryrun,cesarferreira,3800,https://github.com/cesarferreira/dryrun
kotlin-dsl-samples,gradle,3400,https://github.com/gradle/kotlin-dsl-samples
baritone,cabaletta,3200,https://github.com/cabaletta/baritone
kotlin-examples,Kotlin,3000,https://github.com/Kotlin/kotlin-examples
T-MVP,north2016,2700,https://github.com/north2016/T-MVP
ArgusAPM,Qihoo360,2400,https://github.com/Qihoo360/ArgusAPM
VasDolly,Tencent,2400,https://github.com/Tencent/VasDolly
jitpack.io,jitpack,2100,https://github.com/jitpack/jitpack.io
spotless,diffplug,2000,https://github.com/diffplug/spotless
WorldEdit,EngineHub,2000,https://github.com/EngineHub/WorldEdit
MaterialSearchBar,mancj,2000,https://github.com/mancj/MaterialSearchBar
ByteX,bytedance,1800,https://github.com/bytedance/ByteX
dns66,julian-klode,1700,https://github.com/julian-klode/dns66
PublicCMS,sanluan,1700,https://github.com/sanluan/PublicCMS
AnyChart-Android,AnyChart,1700,https://github.com/AnyChart/AnyChart-Android
Android-ReadTheFuckingSourceCode,jeanboydev,1600,https://github.com/jeanboydev/Android-ReadTheFuckingSourceCode
okbuck,uber,1500,https://github.com/uber/okbuck
fastdex,typ0520,1400,https://github.com/typ0520/fastdex
PiracyChecker,javiersantos,1400,https://github.com/javiersantos/PiracyChecker
AndroidAnimationExercise,REBOOTERS,1300,https://github.com/REBOOTERS/AndroidAnimationExercise
Cipher.so,linisme,1300,https://github.com/linisme/Cipher.so
material-chip-view,robertlevonyan,1200,https://github.com/robertlevonyan/material-chip-view
Fetch,tonyofrancis,1200,https://github.com/tonyofrancis/Fetch
MaterialStyledDialogs,javiersantos,1200,https://github.com/javiersantos/MaterialStyledDialogs
kotlin-android-template,cortinico,1100,https://github.com/cortinico/kotlin-android-template
SpongeForge,SpongePowered,1100,https://github.com/SpongePowered/SpongeForge
S-MVP,UCodeUStory,1100,https://github.com/UCodeUStory/S-MVP
Hunter,Leaking,1100,https://github.com/Leaking/Hunter
SpongeAPI,SpongePowered,1100,https://github.com/SpongePowered/SpongeAPI
WeaponApp,G-Joker,1000,https://github.com/G-Joker/WeaponApp
Android-Easy-MultiDex,TangXiaoLv,982,https://github.com/TangXiaoLv/Android-Easy-MultiDex
gradle-intellij-plugin,JetBrains,982,https://github.com/JetBrains/gradle-intellij-plugin
refreshVersions,jmfayard,972,https://github.com/jmfayard/refreshVersions
Android-Cookbook-Examples,IanDarwin,940,https://github.com/IanDarwin/Android-Cookbook-Examples
fod,freedomofdevelopers,940,https://github.com/freedomofdevelopers/fod
android-basic-samples,playgameservices,934,https://github.com/playgameservices/android-basic-samples
McImage,smallSohoSolo,925,https://github.com/smallSohoSolo/McImage
Shield,Meituan-Dianping,911,https://github.com/Meituan-Dianping/Shield
AndroidSDK,thyrlian,865,https://github.com/thyrlian/AndroidSDK
BestNote,pengMaster,859,https://github.com/pengMaster/BestNote
light-novel-library_Wenku8_Android,MewX,823,https://github.com/MewX/light-novel-library_Wenku8_Android
StringFog,MegatronKing,790,https://github.com/MegatronKing/StringFog
