Repository Name,Username,Stars,URL
gatsby,gatsbyjs,50800,https://github.com/gatsbyjs/gatsby
prettier,prettier,40100,https://github.com/prettier/prettier
strapi,strapi,37600,https://github.com/strapi/strapi
hoppscotch,hoppscotch,29900,https://github.com/hoppscotch/hoppscotch
graphql-engine,hasura,23500,https://github.com/hasura/graphql-engine
react-query,tannerlinsley,21200,https://github.com/tannerlinsley/react-query
react-starter-kit,kriasoft,20800,https://github.com/kriasoft/react-starter-kit
parse-server,parse-community,18800,https://github.com/parse-community/parse-server
graphql-js,graphql,17800,https://github.com/graphql/graphql-js
insomnia,Kong,16900,https://github.com/Kong/insomnia
prisma1,prisma,16900,https://github.com/prisma/prisma1
apollo-client,apollographql,16400,https://github.com/apollographql/apollo-client
dgraph,dgraph-io,16300,https://github.com/dgraph-io/dgraph
rxdb,pubkey,15800,https://github.com/pubkey/rxdb
nocodb,nocodb,13600,https://github.com/nocodb/nocodb
saleor,mirumee,13400,https://github.com/mirumee/saleor
awesome-graphql,chentsulin,12700,https://github.com/chentsulin/awesome-graphql
graphiql,graphql,12400,https://github.com/graphql/graphiql
apollo-server,apollographql,11600,https://github.com/apollographql/apollo-server
directus,directus,11500,https://github.com/directus/directus
reaction,reactioncommerce,11300,https://github.com/reactioncommerce/reaction
spree,spree,11300,https://github.com/spree/spree
dataloader,graphql,10600,https://github.com/graphql/dataloader
postgraphile,graphile,10500,https://github.com/graphile/postgraphile
spectrum,withspectrum,10000,https://github.com/withspectrum/spectrum
redwood,redwoodjs,8400,https://github.com/redwoodjs/redwood
up,apex,8300,https://github.com/apex/up
Vulcan,VulcanJS,8000,https://github.com/VulcanJS/Vulcan
graphql,graphql-go,7800,https://github.com/graphql-go/graphql
gridsome,gridsome,7700,https://github.com/gridsome/gridsome
howtographql,howtographql,7700,https://github.com/howtographql/howtographql
devhub,devhubapp,7500,https://github.com/devhubapp/devhub
graphql-playground,graphql,7400,https://github.com/graphql/graphql-playground
graphql-code-generator,dotansimha,7200,https://github.com/dotansimha/graphql-code-generator
react-apollo,apollographql,6900,https://github.com/apollographql/react-apollo
api-platform,api-platform,6800,https://github.com/api-platform/api-platform
quicktype,quicktype,6700,https://github.com/quicktype/quicktype
graphene,graphql-python,6700,https://github.com/graphql-python/graphene
tyk,TykTechnologies,6400,https://github.com/TykTechnologies/tyk
graphql-yoga,dotansimha,6400,https://github.com/dotansimha/graphql-yoga
type-graphql,MichalLytek,6400,https://github.com/MichalLytek/type-graphql
gqlgen,99designs,6200,https://github.com/99designs/gqlgen
graphql-voyager,APIs-guru,6200,https://github.com/APIs-guru/graphql-voyager
urql,FormidableLabs,6100,https://github.com/FormidableLabs/urql
express-graphql,graphql,6000,https://github.com/graphql/express-graphql
starlette,encode,5800,https://github.com/encode/starlette
este,este,5500,https://github.com/este/este
