Repository Name,Username,Stars,URL
magic,miniMAC,7100,https://github.com/miniMAC/magic
blendid,vigetlabs,5000,https://github.com/vigetlabs/blendid
fetool,nieweidong,4300,https://github.com/nieweidong/fetool
assemble,assemble,4000,https://github.com/assemble/assemble
generator-webapp,yeoman,3800,https://github.com/yeoman/generator-webapp
WeFlow,Tencent,3200,https://github.com/Tencent/WeFlow
Vorlonjs,MicrosoftDX,2900,https://github.com/MicrosoftDX/Vorlonjs
extension-boilerplate,EmailThis,2900,https://github.com/EmailThis/extension-boilerplate
100-days-of-code-frontend,nas5w,2400,https://github.com/nas5w/100-days-of-code-frontend
tmt-workflow,Tencent,2200,https://github.com/Tencent/tmt-workflow
maid,egoist,2000,https://github.com/egoist/maid
phphub5,summerblue,2000,https://github.com/summerblue/phphub5
NG6-starter,PatrickJS,1900,https://github.com/PatrickJS/NG6-starter
Front-end-tutorial,nicejade,1600,https://github.com/nicejade/Front-end-tutorial
wordpressify,luangjokaj,1400,https://github.com/luangjokaj/wordpressify
sketch-threejs,ykob,1400,https://github.com/ykob/sketch-threejs
angular-material-dashboard,flatlogic,1300,https://github.com/flatlogic/angular-material-dashboard
generator-fountain-webapp,FountainJS,980,https://github.com/FountainJS/generator-fountain-webapp
docker-compose-nodejs-examples,b00giZm,957,https://github.com/b00giZm/docker-compose-nodejs-examples
hoverboard,gdg-x,939,https://github.com/gdg-x/hoverboard
use-gulp,Platform-CUF,859,https://github.com/Platform-CUF/use-gulp
gulp-boilerplate,cferdinandi,843,https://github.com/cferdinandi/gulp-boilerplate
tars,tars,796,https://github.com/tars/tars
nice-front-end-tutorial,nicejade,793,https://github.com/nicejade/nice-front-end-tutorial
sassy-starter,minamarkham,746,https://github.com/minamarkham/sassy-starter
gulp-htmlmin,jonschlinkert,721,https://github.com/jonschlinkert/gulp-htmlmin
Frontend-Cheat-Sheets,logeshpaul,711,https://github.com/logeshpaul/Frontend-Cheat-Sheets
generator-ng-fullstack,ericmdantas,701,https://github.com/ericmdantas/generator-ng-fullstack
wordpress-gulp-starter-kit,xsynaptic,674,https://github.com/xsynaptic/wordpress-gulp-starter-kit
tyto,jh3y,665,https://github.com/jh3y/tyto
gulp-clean-css,scniro,636,https://github.com/scniro/gulp-clean-css
vue-chat,aermin,636,https://github.com/aermin/vue-chat
NTH-start-project,nicothin,591,https://github.com/nicothin/NTH-start-project
