Repository Name,Username,Stars,URL
bootstrap,twbs,152000,https://github.com/twbs/bootstrap
electron,electron,94400,https://github.com/electron/electron
storybook,storybookjs,63300,https://github.com/storybookjs/storybook
Front-End-Checklist,thedaviddias,55000,https://github.com/thedaviddias/Front-End-Checklist
html5-boilerplate,h5bp,50900,https://github.com/h5bp/html5-boilerplate
rails,rails,48700,https://github.com/rails/rails
bulma,jgthms,43900,https://github.com/jgthms/bulma
prettier,prettier,40100,https://github.com/prettier/prettier
parcel,parcel-bundler,38600,https://github.com/parcel-bundler/parcel
hyper,vercel,36200,https://github.com/vercel/hyper
video.js,videojs,31700,https://github.com/videojs/video.js
front-end-interview-handbook,yangshun,30400,https://github.com/yangshun/front-end-interview-handbook
Web-Dev-For-Beginners,microsoft,29100,https://github.com/microsoft/Web-Dev-For-Beginners
HEAD,joshbuchea,28700,https://github.com/joshbuchea/HEAD
sheetjs,SheetJS,26100,https://github.com/SheetJS/sheetjs
cheerio,cheeriojs,23900,https://github.com/cheeriojs/cheerio
layui,sentsin,23800,https://github.com/sentsin/layui
tabler,tabler,23800,https://github.com/tabler/tabler
pure,pure-css,21800,https://github.com/pure-css/pure
mdb-ui-kit,mdbootstrap,21300,https://github.com/mdbootstrap/mdb-ui-kit
intro.js,usablica,20500,https://github.com/usablica/intro.js
gentelella,ColorlibHQ,20200,https://github.com/ColorlibHQ/gentelella
fe-interview,haizlin,18200,https://github.com/haizlin/fe-interview
Web,qianguyihao,16500,https://github.com/qianguyihao/Web
jsdom,jsdom,16100,https://github.com/jsdom/jsdom
p5.js,processing,15700,https://github.com/processing/p5.js
ratchet,twbs,14500,https://github.com/twbs/ratchet
Front-End-Performance-Checklist,thedaviddias,13400,https://github.com/thedaviddias/Front-End-Performance-Checklist
tui.editor,nhn,13200,https://github.com/nhn/tui.editor
aframe,aframevr,12900,https://github.com/aframevr/aframe
WebFundamentals,google,12100,https://github.com/google/WebFundamentals
requests-html,psf,12000,https://github.com/psf/requests-html
showdown,showdownjs,11800,https://github.com/showdownjs/showdown
framework,aurelia,11600,https://github.com/aurelia/framework
ReLaXed,RelaxedJS,11600,https://github.com/RelaxedJS/ReLaXed
remark,gnab,11500,https://github.com/gnab/remark
tachyons,tachyons-css,10800,https://github.com/tachyons-css/tachyons
frontend-bootcamp,microsoft,10400,https://github.com/microsoft/frontend-bootcamp
responsive-html-email-template,leemunroe,10400,https://github.com/leemunroe/responsive-html-email-template
photon,connors,9700,https://github.com/connors/photon
blog,yygmind,9400,https://github.com/yygmind/blog
milligram,milligram,9400,https://github.com/milligram/milligram
30-seconds-of-interviews,30-seconds,9000,https://github.com/30-seconds/30-seconds-of-interviews
jsoup,jhy,8900,https://github.com/jhy/jsoup
startbootstrap-sb-admin-2,StartBootstrap,8900,https://github.com/StartBootstrap/startbootstrap-sb-admin-2
stylelint,stylelint,8900,https://github.com/stylelint/stylelint
CS-Book,iamshuaidi,8500,https://github.com/iamshuaidi/CS-Book
habitica,HabitRPG,8400,https://github.com/HabitRPG/habitica
OnsenUI,OnsenUI,8400,https://github.com/OnsenUI/OnsenUI
MathJax,mathjax,8300,https://github.com/mathjax/MathJax
dompdf,dompdf,8100,https://github.com/dompdf/dompdf
noVNC,novnc,7800,https://github.com/novnc/noVNC
AriaNg,mayswind,7700,https://github.com/mayswind/AriaNg
wxParse,icindy,7600,https://github.com/icindy/wxParse
dom-to-image,tsayen,7500,https://github.com/tsayen/dom-to-image
DOMPurify,cure53,7400,https://github.com/cure53/DOMPurify
js-beautify,beautify-web,7300,https://github.com/beautify-web/js-beautify
startbootstrap,BlackrockDigital,7100,https://github.com/BlackrockDigital/startbootstrap
timesheet.js,sbstjn,6900,https://github.com/sbstjn/timesheet.js
lozad.js,ApoorvSaxena,6800,https://github.com/ApoorvSaxena/lozad.js
Metro-UI-CSS,olton,6800,https://github.com/olton/Metro-UI-CSS
url-to-pdf-api,alvarcarto,6400,https://github.com/alvarcarto/url-to-pdf-api
nopCommerce,nopSolutions,6400,https://github.com/nopSolutions/nopCommerce
TiddlyWiki5,Jermolene,6100,https://github.com/Jermolene/TiddlyWiki5
capacitor,ionic-team,5900,https://github.com/ionic-team/capacitor
structured-text-tools,dbohdan,5800,https://github.com/dbohdan/structured-text-tools
turndown,mixmark-io,5800,https://github.com/mixmark-io/turndown
react-admin,yezihaohao,5700,https://github.com/yezihaohao/react-admin
PHPWord,PHPOffice,5700,https://github.com/PHPOffice/PHPWord
APlayer,DIYgod,5600,https://github.com/DIYgod/APlayer
emmet-vim,mattn,5600,https://github.com/mattn/emmet-vim
WebSlides,webslides,5600,https://github.com/webslides/WebSlides
tablesaw,filamentgroup,5500,https://github.com/filamentgroup/tablesaw
GoJS,NorthwoodsSoftware,5400,https://github.com/NorthwoodsSoftware/GoJS
Zettlr,Zettlr,5300,https://github.com/Zettlr/Zettlr
grip,joeyespo,5200,https://github.com/joeyespo/grip
bootstrap-fileinput,kartik-v,5000,https://github.com/kartik-v/bootstrap-fileinput
mavonEditor,hinesboy,4900,https://github.com/hinesboy/mavonEditor
balloon.css,kazzkiq,4800,https://github.com/kazzkiq/balloon.css
html,whatwg,4700,https://github.com/whatwg/html
intercooler-js,bigskysoftware,4700,https://github.com/bigskysoftware/intercooler-js
carbon,carbon-design-system,4500,https://github.com/carbon-design-system/carbon
WeasyPrint,Kozea,4400,https://github.com/Kozea/WeasyPrint
charts.css,ChartsCSS,4300,https://github.com/ChartsCSS/charts.css
VvvebJs,givanz,4300,https://github.com/givanz/VvvebJs
simpl,samdutton,4300,https://github.com/samdutton/simpl
semaphore,ansible-semaphore,4200,https://github.com/ansible-semaphore/semaphore
web-skills,andreasbm,4200,https://github.com/andreasbm/web-skills
web-design-in-4-minutes,jgthms,4200,https://github.com/jgthms/web-design-in-4-minutes
channels,andrew--r,4100,https://github.com/andrew--r/channels
emmet,emmetio,4100,https://github.com/emmetio/emmet
eagle.js,Zulko,4000,https://github.com/Zulko/eagle.js
assemble,assemble,4000,https://github.com/assemble/assemble
htmx,bigskysoftware,3900,https://github.com/bigskysoftware/htmx
polr,cydrobolt,3900,https://github.com/cydrobolt/polr
html-dom,phuoc-ng,3900,https://github.com/phuoc-ng/html-dom
neutralinojs,neutralinojs,3900,https://github.com/neutralinojs/neutralinojs
front-end-handbook-2017,FrontendMasters,3900,https://github.com/FrontendMasters/front-end-handbook-2017
AlgoWiki,vicky002,3800,https://github.com/vicky002/AlgoWiki
AngleSharp,AngleSharp,3800,https://github.com/AngleSharp/AngleSharp
Coding-iOS,Coding,3800,https://github.com/Coding/Coding-iOS
asciidoctor,asciidoctor,3700,https://github.com/asciidoctor/asciidoctor
RichText,zzhoujay,3700,https://github.com/zzhoujay/RichText
pnotify,sciactive,3600,https://github.com/sciactive/pnotify
curriculum,TheOdinProject,3500,https://github.com/TheOdinProject/curriculum
FE-Interview,lgwebdream,3500,https://github.com/lgwebdream/FE-Interview
epic-spinners,epicmaxco,3500,https://github.com/epicmaxco/epic-spinners
eslint-plugin-vue,vuejs,3500,https://github.com/vuejs/eslint-plugin-vue
lsp-mode,emacs-lsp,3400,https://github.com/emacs-lsp/lsp-mode
papercss,papercss,3400,https://github.com/papercss/papercss
HTML-GL,PixelsCommander,3400,https://github.com/PixelsCommander/HTML-GL
supercookie,jonasstrehle,3400,https://github.com/jonasstrehle/supercookie
wpt,web-platform-tests,3300,https://github.com/web-platform-tests/wpt
percollate,danburzo,3300,https://github.com/danburzo/percollate
node-html-pdf,marcbachmann,3200,https://github.com/marcbachmann/node-html-pdf
varharrie.github.io,varHarrie,3200,https://github.com/varHarrie/varharrie.github.io
mpdf,mpdf,3200,https://github.com/mpdf/mpdf
toapi,gaojiuli,3200,https://github.com/gaojiuli/toapi
Front-End-Web-Development-Resources,RitikPatni,3200,https://github.com/RitikPatni/Front-End-Web-Development-Resources
design-system,salesforce-ux,3100,https://github.com/salesforce-ux/design-system
