Repository Name,Username,Stars,URL
httpie,httpie,51400,https://github.com/httpie/httpie
requests,psf,45600,https://github.com/psf/requests
caddy,caddyserver,34000,https://github.com/caddyserver/caddy
aria2,aria2,23200,https://github.com/aria2/aria2
mitmproxy,mitmproxy,22800,https://github.com/mitmproxy/mitmproxy
curl,curl,21300,https://github.com/curl/curl
hutool,dromara,19600,https://github.com/dromara/hutool
vegeta,tsenart,17700,https://github.com/tsenart/vegeta
nps,ehang-io,17600,https://github.com/ehang-io/nps
locust,locustio,16600,https://github.com/locustio/locust
mux,gorilla,14700,https://github.com/gorilla/mux
kratos,go-kratos,13600,https://github.com/go-kratos/kratos
hapi,hapijs,13400,https://github.com/hapijs/hapi
httprouter,julienschmidt,12900,https://github.com/julienschmidt/httprouter
uWebSockets,uNetworking,12800,https://github.com/uNetworking/uWebSockets
nginx-admins-handbook,trimstray,12200,https://github.com/trimstray/nginx-admins-handbook
requests-html,psf,12000,https://github.com/psf/requests-html
aiohttp,aio-libs,11400,https://github.com/aio-libs/aiohttp
http-server,http-party,10700,https://github.com/http-party/http-server
nock,nock,10700,https://github.com/nock/nock
goproxy,snail007,10500,https://github.com/snail007/goproxy
postgraphile,graphile,10500,https://github.com/graphile/postgraphile
okhttp-OkGo,jeasonlzy,10300,https://github.com/jeasonlzy/okhttp-OkGo
httpbin,postmanlabs,10000,https://github.com/postmanlabs/httpbin
got,sindresorhus,9700,https://github.com/sindresorhus/got
wuzz,asciimoo,9700,https://github.com/asciimoo/wuzz
chi,go-chi,9700,https://github.com/go-chi/chi
thrift,apache,8500,https://github.com/apache/thrift
falcon,falconry,8500,https://github.com/falconry/falcon
inlets-archived,inlets,8400,https://github.com/inlets/inlets-archived
up,apex,8300,https://github.com/apex/up
http-prompt,httpie,8200,https://github.com/httpie/http-prompt
hyper,hyperium,8200,https://github.com/hyperium/hyper
finagle,twitter,8000,https://github.com/twitter/finagle
http-foundation,symfony,7900,https://github.com/symfony/http-foundation
gunicorn,benoitc,7700,https://github.com/benoitc/gunicorn
http-kernel,symfony,7400,https://github.com/symfony/http-kernel
proxychains-ng,rofl0r,7200,https://github.com/rofl0r/proxychains-ng
httpx,encode,7200,https://github.com/encode/httpx
serve,vercel,7000,https://github.com/vercel/serve
node-fetch,node-fetch,6600,https://github.com/node-fetch/node-fetch
hug,hugapi,6500,https://github.com/hugapi/hug
cowboy,ninenines,6400,https://github.com/ninenines/cowboy
cpprestsdk,microsoft,6400,https://github.com/microsoft/cpprestsdk
http-message,php-fig,6300,https://github.com/php-fig/http-message
chisel,jpillora,6000,https://github.com/jpillora/chisel
web-frameworks,the-benchmarker,5800,https://github.com/the-benchmarker/web-frameworks
drogon,an-tao,5800,https://github.com/an-tao/drogon
