Repository Name,Username,Stars,URL
free-programming-books,EbookFoundation,197000,https://github.com/EbookFoundation/free-programming-books
ohmyzsh,ohmyzsh,130000,https://github.com/ohmyzsh/ohmyzsh
Python,TheAlgorithms,112000,https://github.com/TheAlgorithms/Python
material-ui,mui-org,69700,https://github.com/mui-org/material-ui
java-design-patterns,iluwatar,68800,https://github.com/iluwatar/java-design-patterns
awesome-go,avelino,65800,https://github.com/avelino/awesome-go
Chart.js,chartjs,54200,https://github.com/chartjs/Chart.js
hugo,gohugoio,52900,https://github.com/gohugoio/hugo
Apollo-11,chrislgarry,51100,https://github.com/chrislgarry/Apollo-11
ansible,ansible,49000,https://github.com/ansible/ansible
core,home-assistant,44500,https://github.com/home-assistant/core
grafana,grafana,42900,https://github.com/grafana/grafana
app-ideas,florinpop17,42700,https://github.com/florinpop17/app-ideas
meteor,meteor,42500,https://github.com/meteor/meteor
Best-websites-a-programmer-should-visit,sdmg15,41300,https://github.com/sdmg15/Best-websites-a-programmer-should-visit
scrapy,scrapy,41100,https://github.com/scrapy/scrapy
tesseract,tesseract-ocr,40700,https://github.com/tesseract-ocr/tesseract
Java,TheAlgorithms,39500,https://github.com/TheAlgorithms/Java
git,git,38600,https://github.com/git/git
strapi,strapi,37600,https://github.com/strapi/strapi
prometheus,prometheus,37600,https://github.com/prometheus/prometheus
x64dbg,x64dbg,37000,https://github.com/x64dbg/x64dbg
DefinitelyTyped,DefinitelyTyped,34800,https://github.com/DefinitelyTyped/DefinitelyTyped
tldr,tldr-pages,33600,https://github.com/tldr-pages/tldr
fastlane,fastlane,32600,https://github.com/fastlane/fastlane
hackathon-starter,sahat,32000,https://github.com/sahat/hackathon-starter
pi-hole,pi-hole,31800,https://github.com/pi-hole/pi-hole
vuetify,vuetifyjs,31400,https://github.com/vuetifyjs/vuetify
Rocket.Chat,RocketChat,30400,https://github.com/RocketChat/Rocket.Chat
sentry,getsentry,28500,https://github.com/getsentry/sentry
tidb,pingcap,28400,https://github.com/pingcap/tidb
bat,sharkdp,28100,https://github.com/sharkdp/bat
PowerShell,PowerShell,27700,https://github.com/PowerShell/PowerShell
PayloadsAllTheThings,swisskyrepo,27600,https://github.com/swisskyrepo/PayloadsAllTheThings
rich,willmcgugan,27500,https://github.com/willmcgugan/rich
github-readme-stats,anuraghazra,26800,https://github.com/anuraghazra/github-readme-stats
react,typescript-cheatsheets,26500,https://github.com/typescript-cheatsheets/react
