Repository Name,Username,Stars,URL
shellcheck,koalaman,25400,https://github.com/koalaman/shellcheck
pandoc,jgm,23000,https://github.com/jgm/pandoc
postgrest,PostgREST,17200,https://github.com/PostgREST/postgrest
compiler-explorer,compiler-explorer,9000,https://github.com/compiler-explorer/compiler-explorer
milewski-ctfp-pdf,hmemcpy,8600,https://github.com/hmemcpy/milewski-ctfp-pdf
awesomo,lk-geimfari,8000,https://github.com/lk-geimfari/awesomo
purescript,purescript,7200,https://github.com/purescript/purescript
hadolint,hadolint,5600,https://github.com/hadolint/hadolint
unison,unisonweb,4000,https://github.com/unisonweb/unison
cardano-sl,input-output-hk,3600,https://github.com/input-output-hk/cardano-sl
eta,typelead,2500,https://github.com/typelead/eta
haskell-ide-engine,haskell,2400,https://github.com/haskell/haskell-ide-engine
wire-server,wireapp,2300,https://github.com/wireapp/wire-server
wiwinwlh,sdiehl,2200,https://github.com/sdiehl/wiwinwlh
ihp,digitallyinduced,2000,https://github.com/digitallyinduced/ihp
miso,dmjio,1800,https://github.com/dmjio/miso
m2cgen,BayesWitnesses,1800,https://github.com/BayesWitnesses/m2cgen
hledger,simonmichael,1800,https://github.com/simonmichael/hledger
asterius,tweag,1700,https://github.com/tweag/asterius
patat,jaspervdj,1600,https://github.com/jaspervdj/patat
haskell-language-server,haskell,1600,https://github.com/haskell/haskell-language-server
arl,kaxap,1500,https://github.com/kaxap/arl
koka,koka-lang,1500,https://github.com/koka-lang/koka
nodebook,netgusto,1500,https://github.com/netgusto/nodebook
Project-Euler-solutions,nayuki,1500,https://github.com/nayuki/Project-Euler-solutions
real-world-haskell-cn,huangz1990,1400,https://github.com/huangz1990/real-world-haskell-cn
haste-compiler,valderman,1400,https://github.com/valderman/haste-compiler
Tidal,tidalcycles,1400,https://github.com/tidalcycles/Tidal
grenade,HuwCampbell,1400,https://github.com/HuwCampbell/grenade
taskell,smallhadroncollider,1300,https://github.com/smallhadroncollider/taskell
cabal,haskell,1300,https://github.com/haskell/cabal
lux,LuxLang,1200,https://github.com/LuxLang/lux
deckdeckgo,deckgo,1200,https://github.com/deckgo/deckdeckgo
intellij-haskell,rikvdkleij,1200,https://github.com/rikvdkleij/intellij-haskell
codeworld,google,1200,https://github.com/google/codeworld
brick,jtdaugherty,1100,https://github.com/jtdaugherty/brick
al-go-rithms,ZoranPandovski,1100,https://github.com/ZoranPandovski/al-go-rithms
aura,fosskers,1100,https://github.com/fosskers/aura
articles,quchen,1100,https://github.com/quchen/articles
intero,chrisdone,1000,https://github.com/chrisdone/intero
haskell-must-watch,hzlmn,1000,https://github.com/hzlmn/haskell-must-watch
ImplicitCAD,Haskell-Things,1000,https://github.com/Haskell-Things/ImplicitCAD
clash-compiler,clash-lang,1000,https://github.com/clash-lang/clash-compiler
HaLVM,GaloisInc,1000,https://github.com/GaloisInc/HaLVM
pragmatapro,fabrizioschiavi,947,https://github.com/fabrizioschiavi/pragmatapro
kitten,evincarofautumn,931,https://github.com/evincarofautumn/kitten
reflex,reflex-frp,929,https://github.com/reflex-frp/reflex
gifcurry,lettier,895,https://github.com/lettier/gifcurry
kaleidoscope,sdiehl,894,https://github.com/sdiehl/kaleidoscope
liquidhaskell,ucsd-progsys,885,https://github.com/ucsd-progsys/liquidhaskell
unused,joshuaclayton,877,https://github.com/joshuaclayton/unused
grin,grin-compiler,871,https://github.com/grin-compiler/grin
matterhorn,matterhorn-chat,836,https://github.com/matterhorn-chat/matterhorn
Haskell-Turtle-Library,Gabriel439,800,https://github.com/Gabriel439/Haskell-Turtle-Library
stylish-haskell,haskell,779,https://github.com/haskell/stylish-haskell
accelerate,AccelerateHS,769,https://github.com/AccelerateHS/accelerate
LtuPatternFactory,thma,759,https://github.com/thma/LtuPatternFactory
dhall-haskell,dhall-lang,732,https://github.com/dhall-lang/dhall-haskell
optparse-applicative,pcapriotti,730,https://github.com/pcapriotti/optparse-applicative
project-m36,agentm,724,https://github.com/agentm/project-m36
megaparsec,mrkkrp,701,https://github.com/mrkkrp/megaparsec
pboy,2mol,672,https://github.com/2mol/pboy
distributed-process,haskell-distributed,659,https://github.com/haskell-distributed/distributed-process
haskell-companies,erkmos,651,https://github.com/erkmos/haskell-companies
ProgrammingLanguage-Series,wx-chevalier,649,https://github.com/wx-chevalier/ProgrammingLanguage-Series
alga,snowleopard,632,https://github.com/snowleopard/alga
glance,rgleichman,628,https://github.com/rgleichman/glance
Spock,agrafix,625,https://github.com/agrafix/Spock
transient,transient-haskell,625,https://github.com/transient-haskell/transient
reanimate,reanimate,619,https://github.com/reanimate/reanimate
ormolu,tweag,618,https://github.com/tweag/ormolu
programming-cheatsheets,remigiusz-suwalski,614,https://github.com/remigiusz-suwalski/programming-cheatsheets
reflex-platform,reflex-frp,610,https://github.com/reflex-frp/reflex-platform
linux_notification_center,phuhl,601,https://github.com/phuhl/linux_notification_center
rasa,ChrisPenner,599,https://github.com/ChrisPenner/rasa
legion,aviaviavi,598,https://github.com/aviaviavi/legion
summoner,kowainik,597,https://github.com/kowainik/summoner
haskell-hedgehog,hedgehogqa,593,https://github.com/hedgehogqa/haskell-hedgehog
streamly,composewell,588,https://github.com/composewell/streamly
obelisk,obsidiansystems,587,https://github.com/obsidiansystems/obelisk
pandoc-crossref,lierdakil,571,https://github.com/lierdakil/pandoc-crossref
