Repository Name,Username,Stars,URL
homebridge,homebridge,18100,https://github.com/homebridge/homebridge
homebridge-config-ui-x,oznu,1800,https://github.com/oznu/homebridge-config-ui-x
docker-homebridge,oznu,1700,https://github.com/oznu/docker-homebridge
homebridge-mi-aqara,YinHangCode,1000,https://github.com/YinHangCode/homebridge-mi-aqara
homebridge-camera-ffmpeg,Sunoo,778,https://github.com/Sunoo/homebridge-camera-ffmpeg
homebridge-raspbian-image,homebridge,620,https://github.com/homebridge/homebridge-raspbian-image
homebridge-broadlink-rm,lprhodes,528,https://github.com/lprhodes/homebridge-broadlink-rm
ring,dgreif,521,https://github.com/dgreif/ring
homebridge-unifi-protect,hjdhjd,473,https://github.com/hjdhjd/homebridge-unifi-protect
homebridge-webos-tv,merdok,469,https://github.com/merdok/homebridge-webos-tv
Homepoint,sieren,437,https://github.com/sieren/Homepoint
homebridge-samsung-tizen,tavicu,400,https://github.com/tavicu/homebridge-samsung-tizen
HOOBS,hoobs-org,374,https://github.com/hoobs-org/HOOBS
homebridge-smartthings,tonesto7,341,https://github.com/tonesto7/homebridge-smartthings
homebridge-syno-spk,oznu,327,https://github.com/oznu/homebridge-syno-spk
homebridge-tplink-smarthome,plasticrake,307,https://github.com/plasticrake/homebridge-tplink-smarthome
homebridge-myq,hjdhjd,255,https://github.com/hjdhjd/homebridge-myq
homebridge-mi-acpartner,LASER-Yi,255,https://github.com/LASER-Yi/homebridge-mi-acpartner
dscKeybusInterface,taligentx,235,https://github.com/taligentx/dscKeybusInterface
homebridge-ewelink,bwp91,230,https://github.com/bwp91/homebridge-ewelink
homebridge-gsh,oznu,230,https://github.com/oznu/homebridge-gsh
homebridge-bravia-tvos,SeydX,218,https://github.com/SeydX/homebridge-bravia-tvos
verified,homebridge,216,https://github.com/homebridge/verified
pai,ParadoxAlarmInterface,206,https://github.com/ParadoxAlarmInterface/pai
homebridge-mi-hygrothermograph,hannseman,198,https://github.com/hannseman/homebridge-mi-hygrothermograph
homebridge-weather-plus,naofireblade,193,https://github.com/naofireblade/homebridge-weather-plus
openwrt-node-packages,nxhack,189,https://github.com/nxhack/openwrt-node-packages
homebridge-platform-wemo,bwp91,184,https://github.com/bwp91/homebridge-platform-wemo
homebridge-harmony,nicoduj,181,https://github.com/nicoduj/homebridge-harmony
homebridge-dafang,sahilchaddha,179,https://github.com/sahilchaddha/homebridge-dafang
homebridge-homematic,thkl,167,https://github.com/thkl/homebridge-homematic
homebridge-wol,AlexGustafsson,161,https://github.com/AlexGustafsson/homebridge-wol
homebridge-server,gismo141,153,https://github.com/gismo141/homebridge-server
smart-home,phodal,150,https://github.com/phodal/smart-home
homebridge-camera-ui,SeydX,134,https://github.com/SeydX/homebridge-camera-ui
homebridge-dacp,grover,134,https://github.com/grover/homebridge-dacp
homebridge-bluetooth,vojtamolda,133,https://github.com/vojtamolda/homebridge-bluetooth
fakegato-history,simont77,125,https://github.com/simont77/fakegato-history
homebridge-fritz-platform,SeydX,124,https://github.com/SeydX/homebridge-fritz-platform
homebridge-docker,marcoraddatz,124,https://github.com/marcoraddatz/homebridge-docker
homebridge-http-switch,Supereg,123,https://github.com/Supereg/homebridge-http-switch
homebridge-tuya-web,milo526,123,https://github.com/milo526/homebridge-tuya-web
homebridge-nest-cam,Brandawg93,122,https://github.com/Brandawg93/homebridge-nest-cam
homebridge-synology,stfnhmplr,116,https://github.com/stfnhmplr/homebridge-synology
homebridge-mi-airpurifier,YinHangCode,110,https://github.com/YinHangCode/homebridge-mi-airpurifier
homebridge-miio,Bluebie,106,https://github.com/Bluebie/homebridge-miio
homebridge-edomoticz,PatchworkBoy,104,https://github.com/PatchworkBoy/homebridge-edomoticz
homebridge-cmd4,ztalbot2000,103,https://github.com/ztalbot2000/homebridge-cmd4
homebridge-netatmo,planetk,101,https://github.com/planetk/homebridge-netatmo
homebridge-plex-sensors,alexp2ad,99,https://github.com/alexp2ad/homebridge-plex-sensors
homebridge-zigbee,itsmepetrov,96,https://github.com/itsmepetrov/homebridge-zigbee
addon-homebridge,hassio-addons,96,https://github.com/hassio-addons/addon-homebridge
homebridge-automation-switches,grover,91,https://github.com/grover/homebridge-automation-switches
homebridge-nest-cam_old,Brandawg93,91,https://github.com/Brandawg93/homebridge-nest-cam_old
homebridge-mi-philips-light,YinHangCode,90,https://github.com/YinHangCode/homebridge-mi-philips-light
homebridge-pihole,arendruni,88,https://github.com/arendruni/homebridge-pihole
homebridge-unifi-protect-camera-motion,beele,85,https://github.com/beele/homebridge-unifi-protect-camera-motion
homebridge-z2m,itavero,84,https://github.com/itavero/homebridge-z2m
MiHomePlus,qoli,84,https://github.com/qoli/MiHomePlus
homebridge-knx,snowdd1,83,https://github.com/snowdd1/homebridge-knx
homebridge-mi-outlet,YinHangCode,82,https://github.com/YinHangCode/homebridge-mi-outlet
homebridge-lifx-lan,devbobo,82,https://github.com/devbobo/homebridge-lifx-lan
awesome-homebridge,sahilchaddha,79,https://github.com/sahilchaddha/awesome-homebridge
homebridge-weather,werthdavid,79,https://github.com/werthdavid/homebridge-weather
node-red-contrib-homebridge-automation,NorthernMan54,76,https://github.com/NorthernMan54/node-red-contrib-homebridge-automation
homebridge-securitysystem,MiguelRipoll23,75,https://github.com/MiguelRipoll23/homebridge-securitysystem
MQTT-AC-Controller,maxmacstn,71,https://github.com/maxmacstn/MQTT-AC-Controller
homebridge-theater-mode,evandcoleman,71,https://github.com/evandcoleman/homebridge-theater-mode
homebridge-fhem,justme-1968,69,https://github.com/justme-1968/homebridge-fhem
lighthub,anklimov,67,https://github.com/anklimov/lighthub
homebridge-script2,pponce,66,https://github.com/pponce/homebridge-script2
homebridge-display,EricAndrechek,66,https://github.com/EricAndrechek/homebridge-display
homebridge-raspberrypi-temperature,YinHangCode,64,https://github.com/YinHangCode/homebridge-raspberrypi-temperature
homebridge-ranger,grover,63,https://github.com/grover/homebridge-ranger
homebridge-xiaomi-fan,merdok,60,https://github.com/merdok/homebridge-xiaomi-fan
homebridge-neato,naofireblade,60,https://github.com/naofireblade/homebridge-neato
homebridge-unifi-occupancy-sensor,oznu,57,https://github.com/oznu/homebridge-unifi-occupancy-sensor
homebridge-tado-platform,SeydX,57,https://github.com/SeydX/homebridge-tado-platform
homebridge-roomba2,karlvr,56,https://github.com/karlvr/homebridge-roomba2
tuya-homebridge,tuya,56,https://github.com/tuya/tuya-homebridge
HomeScript,menahishayan,55,https://github.com/menahishayan/HomeScript
homebridge-mi-robot_vacuum,YinHangCode,54,https://github.com/YinHangCode/homebridge-mi-robot_vacuum
homebridge-wink3,sibartlett,53,https://github.com/sibartlett/homebridge-wink3
homebridge-tradfri-plugin,szokeptr,53,https://github.com/szokeptr/homebridge-tradfri-plugin
homebridge-denon-marantz-avr,stfnhmplr,53,https://github.com/stfnhmplr/homebridge-denon-marantz-avr
homebridge-plex,mpbzh,52,https://github.com/mpbzh/homebridge-plex
homebridge-eveatmo,skrollme,51,https://github.com/skrollme/homebridge-eveatmo
homebridge-mi-fan,YinHangCode,51,https://github.com/YinHangCode/homebridge-mi-fan
homebridge-mi-heatercooler,jayqizone,51,https://github.com/jayqizone/homebridge-mi-heatercooler
homebridge-gpio-wpi2,rsg98,50,https://github.com/rsg98/homebridge-gpio-wpi2
ESP8266-HomeKit-Weather-Station-BME280-Elgato-Eve,HomeKidd,49,https://github.com/HomeKidd/ESP8266-HomeKit-Weather-Station-BME280-Elgato-Eve
homebridge-switchbot-ble,OpenWonderLabs,49,https://github.com/OpenWonderLabs/homebridge-switchbot-ble
homebridge-hubitat-tonesto7,tonesto7,48,https://github.com/tonesto7/homebridge-hubitat-tonesto7
homebridge-mijia,Maxmudjon,48,https://github.com/Maxmudjon/homebridge-mijia
homebridge-platform-insteonlocal,kuestess,48,https://github.com/kuestess/homebridge-platform-insteonlocal
homebridge-govee,bwp91,47,https://github.com/bwp91/homebridge-govee
homebridge-yeelight-platform,sahilchaddha,47,https://github.com/sahilchaddha/homebridge-yeelight-platform
