Repository Name,Username,Stars,URL
ipfs,ipfs,19600,https://github.com/ipfs/ipfs
go-ipfs,ipfs,11700,https://github.com/ipfs/go-ipfs
orbit-db,orbitdb,5800,https://github.com/orbitdb/orbit-db
js-ipfs,ipfs,5600,https://github.com/ipfs/js-ipfs
berty,berty,4600,https://github.com/berty/berty
embark,embarklabs,3300,https://github.com/embarklabs/embark
ipfs-desktop,ipfs,3300,https://github.com/ipfs/ipfs-desktop
awesome-ipfs,ipfs,3200,https://github.com/ipfs/awesome-ipfs
fq-book,hoochanlon,2300,https://github.com/hoochanlon/fq-book
js-libp2p,libp2p,1600,https://github.com/libp2p/js-libp2p
orbit,orbitdb,1600,https://github.com/orbitdb/orbit
ipfs-companion,ipfs,1400,https://github.com/ipfs/ipfs-companion
vue-ethereum-ipfs,redacademy,1300,https://github.com/redacademy/vue-ethereum-ipfs
awesome-blockchain,yjjnls,1200,https://github.com/yjjnls/awesome-blockchain
graph-node,graphprotocol,1100,https://github.com/graphprotocol/graph-node
ipfspics-server,ipfspics,1100,https://github.com/ipfspics/ipfspics-server
ipfs-webui,ipfs,1100,https://github.com/ipfs/ipfs-webui
qri,qri-io,1000,https://github.com/qri-io/qri
Peergos,Peergos,938,https://github.com/Peergos/Peergos
openbazaar-go,OpenBazaar,933,https://github.com/OpenBazaar/openbazaar-go
rust-ipfs,rs-ipfs,821,https://github.com/rs-ipfs/rust-ipfs
FileNation,FileNation,811,https://github.com/FileNation/FileNation
ipfs-deploy,ipfs-shipyard,804,https://github.com/ipfs-shipyard/ipfs-deploy
pcp,dennis-tra,761,https://github.com/dennis-tra/pcp
dtube,dtube,628,https://github.com/dtube/dtube
openbazaar-desktop,OpenBazaar,607,https://github.com/OpenBazaar/openbazaar-desktop
ipfs-search,ipfs-search,576,https://github.com/ipfs-search/ipfs-search
peer-pad,peer-base,575,https://github.com/peer-base/peer-pad
specs,ipld,571,https://github.com/ipld/specs
dstatuspage,paulogr,571,https://github.com/paulogr/dstatuspage
diffuse,icidasset,552,https://github.com/icidasset/diffuse
slate,filecoin-project,438,https://github.com/filecoin-project/slate
photos,functionland,425,https://github.com/functionland/photos
awesome-decentralized,croqaz,409,https://github.com/croqaz/awesome-decentralized
ipwb,oduwsdl,366,https://github.com/oduwsdl/ipwb
production,dtube,360,https://github.com/dtube/production
go-textile,textileio,358,https://github.com/textileio/go-textile
negibox,hugetiny,346,https://github.com/hugetiny/negibox
ipdr,ipdr,338,https://github.com/ipdr/ipdr
