Repository Name,Username,Stars,URL
CS-Notes,CyC2018,135000,https://github.com/CyC2018/CS-Notes
JavaGuide,Snailclimb,107000,https://github.com/Snailclimb/JavaGuide
java-design-patterns,iluwatar,68800,https://github.com/iluwatar/java-design-patterns
spring-boot,spring-projects,56200,https://github.com/spring-projects/spring-boot
elasticsearch,elastic,55700,https://github.com/elastic/elasticsearch
advanced-java,doocs,55200,https://github.com/doocs/advanced-java
interviews,kdn251,53000,https://github.com/kdn251/interviews
mall,macrozheng,50900,https://github.com/macrozheng/mall
RxJava,ReactiveX,44900,https://github.com/ReactiveX/RxJava
leetcode,azl397985856,43000,https://github.com/azl397985856/leetcode
guava,google,41700,https://github.com/google/guava
okhttp,square,40400,https://github.com/square/okhttp
Java,TheAlgorithms,39500,https://github.com/TheAlgorithms/Java
retrofit,square,38300,https://github.com/square/retrofit
MPAndroidChart,PhilJay,33600,https://github.com/PhilJay/MPAndroidChart
spark,apache,30300,https://github.com/apache/spark
zxing,zxing,28100,https://github.com/zxing/zxing
jadx,skylot,26500,https://github.com/skylot/jadx
arthas,alibaba,26500,https://github.com/alibaba/arthas
leakcanary,square,26400,https://github.com/square/leakcanary
JCSprout,crossoverJie,26300,https://github.com/crossoverJie/JCSprout
JavaFamily,AobingJava,26200,https://github.com/AobingJava/JavaFamily
spring-boot-examples,ityouknow,25800,https://github.com/ityouknow/spring-boot-examples
jeecg-boot,jeecgboot,23800,https://github.com/jeecgboot/jeecg-boot
fastjson,alibaba,23600,https://github.com/alibaba/fastjson
WxJava,Wechat-Group,23500,https://github.com/Wechat-Group/WxJava
spring-boot-demo,xkcoding,22600,https://github.com/xkcoding/spring-boot-demo
dbeaver,dbeaver,21300,https://github.com/dbeaver/dbeaver
selenium,SeleniumHQ,21200,https://github.com/SeleniumHQ/selenium
toBeTopJavaer,hollischuang,21000,https://github.com/hollischuang/toBeTopJavaer
easyexcel,alibaba,20500,https://github.com/alibaba/easyexcel
hutool,dromara,19600,https://github.com/dromara/hutool
spring-cloud-alibaba,alibaba,19400,https://github.com/alibaba/spring-cloud-alibaba
xxl-job,xuxueli,18800,https://github.com/xuxueli/xxl-job
libgdx,libgdx,18600,https://github.com/libgdx/libgdx
generator-jhipster,jhipster,18600,https://github.com/jhipster/generator-jhipster
IntelliJ-IDEA-Tutorial,judasn,18300,https://github.com/judasn/IntelliJ-IDEA-Tutorial
ExoPlayer,google,18000,https://github.com/google/ExoPlayer
jenkins,jenkinsci,17600,https://github.com/jenkinsci/jenkins
CNTK,microsoft,17000,https://github.com/microsoft/CNTK
redisson,redisson,16900,https://github.com/redisson/redisson
Sentinel,alibaba,16700,https://github.com/alibaba/Sentinel
flink,apache,16700,https://github.com/apache/flink
ray,ray-project,16600,https://github.com/ray-project/ray
flatbuffers,google,16500,https://github.com/google/flatbuffers
mybatis-3,mybatis,15900,https://github.com/mybatis/mybatis-3
cat,dianping,15600,https://github.com/dianping/cat
