Repository Name,Username,Stars,URL
freeCodeCamp,freeCodeCamp,326000,https://github.com/freeCodeCamp/freeCodeCamp
vue,vuejs,186000,https://github.com/vuejs/vue
react,facebook,171000,https://github.com/facebook/react
bootstrap,twbs,152000,https://github.com/twbs/bootstrap
You-Dont-Know-JS,getify,142000,https://github.com/getify/You-Dont-Know-JS
javascript-algorithms,trekhleb,114000,https://github.com/trekhleb/javascript-algorithms
javascript,airbnb,112000,https://github.com/airbnb/javascript
electron,electron,94400,https://github.com/electron/electron
axios,axios,85800,https://github.com/axios/axios
free-programming-books-zh_CN,justjavac,81300,https://github.com/justjavac/free-programming-books-zh_CN
30-seconds-of-code,30-seconds,80500,https://github.com/30-seconds/30-seconds-of-code
node,nodejs,80400,https://github.com/nodejs/node
deno,denoland,76600,https://github.com/denoland/deno
angular,angular,74600,https://github.com/angular/angular
TypeScript,microsoft,72800,https://github.com/microsoft/TypeScript
three.js,mrdoob,72700,https://github.com/mrdoob/three.js
material-ui,mui-org,69700,https://github.com/mui-org/material-ui
nodebestpractices,goldbergyoni,68700,https://github.com/goldbergyoni/nodebestpractices
storybook,storybookjs,63300,https://github.com/storybookjs/storybook
webpack,webpack,58700,https://github.com/webpack/webpack
atom,atom,55700,https://github.com/atom/atom
Front-End-Checklist,thedaviddias,55000,https://github.com/thedaviddias/Front-End-Checklist
Chart.js,chartjs,54200,https://github.com/chartjs/Chart.js
clean-code-javascript,ryanmcdermott,54100,https://github.com/ryanmcdermott/clean-code-javascript
express,expressjs,53700,https://github.com/expressjs/express
project-based-learning,tuvtran,52500,https://github.com/tuvtran/project-based-learning
html5-boilerplate,h5bp,50900,https://github.com/h5bp/html5-boilerplate
element,ElemeFE,50400,https://github.com/ElemeFE/element
lodash,lodash,50000,https://github.com/lodash/lodash
ionic-framework,ionic-team,44900,https://github.com/ionic-team/ionic-framework
leetcode,azl397985856,43000,https://github.com/azl397985856/leetcode
meteor,meteor,42500,https://github.com/meteor/meteor
33-js-concepts,leonardomso,41800,https://github.com/leonardomso/33-js-concepts
awesome-nodejs,sindresorhus,41700,https://github.com/sindresorhus/awesome-nodejs
awesome-interview-questions,DopplerHQ,41700,https://github.com/DopplerHQ/awesome-interview-questions
prettier,prettier,40100,https://github.com/prettier/prettier
yarn,yarnpkg,39900,https://github.com/yarnpkg/yarn
anime,juliangarnier,39800,https://github.com/juliangarnier/anime
babel,babel,39400,https://github.com/babel/babel
parcel,parcel-bundler,38600,https://github.com/parcel-bundler/parcel
nest,nestjs,38500,https://github.com/nestjs/nest
materialize,Dogfalo,38500,https://github.com/Dogfalo/materialize
nw.js,nwjs,38200,https://github.com/nwjs/nw.js
Ghost,TryGhost,38000,https://github.com/TryGhost/Ghost
strapi,strapi,37600,https://github.com/strapi/strapi
freecodecamp.cn,FreeCodeCampChina,36600,https://github.com/FreeCodeCampChina/freecodecamp.cn
hyper,vercel,36200,https://github.com/vercel/hyper
jest,facebook,35700,https://github.com/facebook/jest
discourse,discourse,33600,https://github.com/discourse/discourse
pixijs,pixijs,33600,https://github.com/pixijs/pixijs
hexo,hexojs,33100,https://github.com/hexojs/hexo
faker.js,Marak,32800,https://github.com/Marak/faker.js
uni-app,dcloudio,32299,https://github.com/dcloudio/uni-app
fullPage.js,alvarotrigo,32299,https://github.com/alvarotrigo/fullPage.js
video.js,videojs,31700,https://github.com/videojs/video.js
vuetify,vuetifyjs,31400,https://github.com/vuetifyjs/vuetify
Leaflet,Leaflet,31100,https://github.com/Leaflet/Leaflet
clipboard.js,zenorocha,30900,https://github.com/zenorocha/clipboard.js
Rocket.Chat,RocketChat,30400,https://github.com/RocketChat/Rocket.Chat
front-end-interview-handbook,yangshun,30400,https://github.com/yangshun/front-end-interview-handbook
phaser,photonstorm,30000,https://github.com/photonstorm/phaser
taro,NervJS,29200,https://github.com/NervJS/taro
gold-miner,xitu,29200,https://github.com/xitu/gold-miner
Web-Dev-For-Beginners,microsoft,29100,https://github.com/microsoft/Web-Dev-For-Beginners
carbon,carbon-app,28000,https://github.com/carbon-app/carbon
async,caolan,27200,https://github.com/caolan/async
vuex,vuejs,26500,https://github.com/vuejs/vuex
open-source-mac-os-apps,serhii-londar,26400,https://github.com/serhii-londar/open-source-mac-os-apps
date-fns,date-fns,26300,https://github.com/date-fns/date-fns
sheetjs,SheetJS,26100,https://github.com/SheetJS/sheetjs
esbuild,evanw,25800,https://github.com/evanw/esbuild
standard,standard,25700,https://github.com/standard/standard
playwright,microsoft,25700,https://github.com/microsoft/playwright
uBlock,gorhill,25600,https://github.com/gorhill/uBlock
rxjs,ReactiveX,25200,https://github.com/ReactiveX/rxjs
project-guidelines,elsewhencode,25200,https://github.com/elsewhencode/project-guidelines
docusaurus,facebook,25100,https://github.com/facebook/docusaurus
select2,select2,25000,https://github.com/select2/select2
Modernizr,Modernizr,25000,https://github.com/Modernizr/Modernizr
typeorm,typeorm,24900,https://github.com/typeorm/typeorm
fetch,github,24800,https://github.com/github/fetch
nylas-mail,nylas,24600,https://github.com/nylas/nylas-mail
sequelize,sequelize,24600,https://github.com/sequelize/sequelize
uppy,transloadit,24300,https://github.com/transloadit/uppy
joplin,laurent22,24200,https://github.com/laurent22/joplin
tesseract.js,naptha,24100,https://github.com/naptha/tesseract.js
webtorrent,webtorrent,24000,https://github.com/webtorrent/webtorrent
mobx,mobxjs,23900,https://github.com/mobxjs/mobx
layui,sentsin,23800,https://github.com/sentsin/layui
iview,iview,23800,https://github.com/iview/iview
html2canvas,niklasvh,23800,https://github.com/niklasvh/html2canvas
Daily-Interview-Question,Advanced-Frontend,23700,https://github.com/Advanced-Frontend/Daily-Interview-Question
Blog,mqyqingfeng,23500,https://github.com/mqyqingfeng/Blog
wtfjs,denysdovhan,22800,https://github.com/denysdovhan/wtfjs
ember.js,emberjs,21900,https://github.com/emberjs/ember.js
sweetalert,t4t5,21700,https://github.com/t4t5/sweetalert
modern-js-cheatsheet,mbeaudru,21400,https://github.com/mbeaudru/modern-js-cheatsheet
mdb-ui-kit,mdbootstrap,21300,https://github.com/mdbootstrap/mdb-ui-kit
slate,ianstormtaylor,21200,https://github.com/ianstormtaylor/slate
selenium,SeleniumHQ,21200,https://github.com/SeleniumHQ/selenium
awesome-cheatsheets,LeCoupa,21100,https://github.com/LeCoupa/awesome-cheatsheets
ramda,ramda,20900,https://github.com/ramda/ramda
react-starter-kit,kriasoft,20800,https://github.com/kriasoft/react-starter-kit
mostly-adequate-guide,MostlyAdequate,20800,https://github.com/MostlyAdequate/mostly-adequate-guide
react-redux-links,markerikson,20700,https://github.com/markerikson/react-redux-links
dragula,bevacqua,20700,https://github.com/bevacqua/dragula
mocha,mochajs,20600,https://github.com/mochajs/mocha
NeteaseCloudMusicApi,Binaryify,20600,https://github.com/Binaryify/NeteaseCloudMusicApi
intro.js,usablica,20500,https://github.com/usablica/intro.js
feather,feathericons,20300,https://github.com/feathericons/feather
normalizr,paularmstrong,20300,https://github.com/paularmstrong/normalizr
NativeScript,NativeScript,20300,https://github.com/NativeScript/NativeScript
sharp,lovell,20000,https://github.com/lovell/sharp
plyr,sampotts,20000,https://github.com/sampotts/plyr
scrollreveal,jlmakes,19800,https://github.com/jlmakes/scrollreveal
localForage,localForage,19200,https://github.com/localForage/localForage
