Repository Name,Username,Stars,URL
jekyll,jekyll,43000,https://github.com/jekyll/jekyll
tabler,tabler,23800,https://github.com/tabler/tabler
minimal-mistakes,mmistakes,8200,https://github.com/mmistakes/minimal-mistakes
octicons,primer,6800,https://github.com/primer/octicons
beautiful-jekyll,daattali,3500,https://github.com/daattali/beautiful-jekyll
just-the-docs,pmarsceill,3200,https://github.com/pmarsceill/just-the-docs
hyde,poole,3200,https://github.com/poole/hyde
lanyon,poole,2900,https://github.com/poole/lanyon
poole,poole,2600,https://github.com/poole/poole
fastpages,fastai,2600,https://github.com/fastai/fastpages
jekyll-admin,jekyll,2500,https://github.com/jekyll/jekyll-admin
choosealicense.com,github,2400,https://github.com/github/choosealicense.com
minima,jekyll,2300,https://github.com/jekyll/minima
indigo,sergiokopplin,2100,https://github.com/sergiokopplin/indigo
Moon,TaylanTatli,2100,https://github.com/TaylanTatli/Moon
home-assistant.io,home-assistant,2000,https://github.com/home-assistant/home-assistant.io
staticman,eduardoboucas,2000,https://github.com/eduardoboucas/staticman
jekyll-TeXt-theme,kitian616,1900,https://github.com/kitian616/jekyll-TeXt-theme
photo-stream,maxvoltar,1800,https://github.com/maxvoltar/photo-stream
gaohaoyang.github.io,Gaohaoyang,1700,https://github.com/Gaohaoyang/gaohaoyang.github.io
so-simple-theme,mmistakes,1700,https://github.com/mmistakes/so-simple-theme
pages-gem,github,1600,https://github.com/github/pages-gem
gifs,jglovier,1600,https://github.com/jglovier/gifs
al-folio,alshedivat,1600,https://github.com/alshedivat/al-folio
resume-template,jglovier,1300,https://github.com/jglovier/resume-template
jekyll-seo-tag,jekyll,1300,https://github.com/jekyll/jekyll-seo-tag
Simple-Jekyll-Search,christian-fei,1200,https://github.com/christian-fei/Simple-Jekyll-Search
freelancer-theme,jeromelachaud,1200,https://github.com/jeromelachaud/freelancer-theme
mzlogin.github.io,mzlogin,1100,https://github.com/mzlogin/mzlogin.github.io
jekyll-assets,envygeeks,1100,https://github.com/envygeeks/jekyll-assets
jekyll-theme-chirpy,cotes2020,1100,https://github.com/cotes2020/jekyll-theme-chirpy
chalk,nielsenramon,1000,https://github.com/nielsenramon/chalk
modern-resume-theme,sproogen,992,https://github.com/sproogen/modern-resume-theme
jekyll-theme-hpstr,mmistakes,991,https://github.com/mmistakes/jekyll-theme-hpstr
wordpress-to-jekyll-exporter,benbalter,957,https://github.com/benbalter/wordpress-to-jekyll-exporter
Jalpc,jarrekk,891,https://github.com/jarrekk/Jalpc
jekyll-scholar,inukshuk,891,https://github.com/inukshuk/jekyll-scholar
mediumish-theme-jekyll,wowthemesnet,858,https://github.com/wowthemesnet/mediumish-theme-jekyll
burger,mblode,840,https://github.com/mblode/burger
jekyll-docker,envygeeks,833,https://github.com/envygeeks/jekyll-docker
leonids,renyuanz,828,https://github.com/renyuanz/leonids
hydejack,hydecorp,824,https://github.com/hydecorp/hydejack
minimal,pages-themes,819,https://github.com/pages-themes/minimal
particle,nrandecker,804,https://github.com/nrandecker/particle
artsy.github.io,artsy,803,https://github.com/artsy/artsy.github.io
jekyll-auth,benbalter,792,https://github.com/benbalter/jekyll-auth
