Repository Name,Username,Stars,URL
PythonDataScienceHandbook,jakevdp,30100,https://github.com/jakevdp/PythonDataScienceHandbook
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,CamDavidsonPilon,23300,https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers
handson-ml,ageron,23100,https://github.com/ageron/handson-ml
homemade-machine-learning,trekhleb,18000,https://github.com/trekhleb/homemade-machine-learning
100-Days-Of-ML-Code,MLEveryday,16500,https://github.com/MLEveryday/100-Days-Of-ML-Code
Screenshot-to-code,emilwallner,13400,https://github.com/emilwallner/Screenshot-to-code
dive-into-machine-learning,hangtwenty,10600,https://github.com/hangtwenty/dive-into-machine-learning
recommenders,microsoft,10600,https://github.com/microsoft/recommenders
plotly.py,plotly,9800,https://github.com/plotly/plotly.py
pytorch-book,chenyuntc,9000,https://github.com/chenyuntc/pytorch-book
jupyter-themes,dunovank,8600,https://github.com/dunovank/jupyter-themes
computervision-recipes,microsoft,7800,https://github.com/microsoft/computervision-recipes
pandas-profiling,pandas-profiling,7600,https://github.com/pandas-profiling/pandas-profiling
jupyterhub,jupyterhub,6300,https://github.com/jupyterhub/jupyterhub
industry-machine-learning,firmai,6000,https://github.com/firmai/industry-machine-learning
amazon-sagemaker-examples,aws,5700,https://github.com/aws/amazon-sagemaker-examples
nteract,nteract,5600,https://github.com/nteract/nteract
pytorch-Deep-Learning,Atcold,5200,https://github.com/Atcold/pytorch-Deep-Learning
jupytext,mwouts,4700,https://github.com/mwouts/jupytext
lucid,tensorflow,4200,https://github.com/tensorflow/lucid
pydata-notebook,BrambleXu,4200,https://github.com/BrambleXu/pydata-notebook
learn-python3,jerry-git,4100,https://github.com/jerry-git/learn-python3
distiller,IntelLabs,3600,https://github.com/IntelLabs/distiller
Dive-into-DL-TensorFlow2.0,TrickyGo,3200,https://github.com/TrickyGo/Dive-into-DL-TensorFlow2.0
scikit-learn-videos,justmarkham,3100,https://github.com/justmarkham/scikit-learn-videos
tensorwatch,microsoft,3100,https://github.com/microsoft/tensorwatch
gophernotes,gopherdata,2900,https://github.com/gopherdata/gophernotes
HELK,Cyb3rWard0g,2900,https://github.com/Cyb3rWard0g/HELK
dtale,man-group,2500,https://github.com/man-group/dtale
py,codebasics,2400,https://github.com/codebasics/py
awesome-jupyter,markusschanta,2300,https://github.com/markusschanta/awesome-jupyter
Girls-In-AI,girls-in-ai,2200,https://github.com/girls-in-ai/Girls-In-AI
lgo,yunabe,2200,https://github.com/yunabe/lgo
captcha_break,ypwhs,2100,https://github.com/ypwhs/captcha_break
nbdime,jupyter,2000,https://github.com/jupyter/nbdime
ml-workspace,ml-tooling,2000,https://github.com/ml-tooling/ml-workspace
CFDPython,barbagroup,2000,https://github.com/barbagroup/CFDPython
practicalAI-cn,MLEveryday,2000,https://github.com/MLEveryday/practicalAI-cn
binderhub,jupyterhub,1900,https://github.com/jupyterhub/binderhub
forecasting,microsoft,1900,https://github.com/microsoft/forecasting
jupyter-vim-binding,lambdalisue,1900,https://github.com/lambdalisue/jupyter-vim-binding
nbviewer,jupyter,1900,https://github.com/jupyter/nbviewer
machine-learning,ethen8181,1800,https://github.com/ethen8181/machine-learning
practical-machine-learning-with-python,dipanjanS,1800,https://github.com/dipanjanS/practical-machine-learning-with-python
deepschool.io,sachinruk,1800,https://github.com/sachinruk/deepschool.io
ipyvolume,maartenbreddels,1600,https://github.com/maartenbreddels/ipyvolume
learn-machine-learning-in-two-months,bangoc123,1600,https://github.com/bangoc123/learn-machine-learning-in-two-months
pandas-videos,justmarkham,1600,https://github.com/justmarkham/pandas-videos
DAT8,justmarkham,1500,https://github.com/justmarkham/DAT8
CADL,pkmital,1500,https://github.com/pkmital/CADL
python-cheatsheet,wilfredinni,1500,https://github.com/wilfredinni/python-cheatsheet
IRkernel,IRkernel,1400,https://github.com/IRkernel/IRkernel
pandas-ta,twopirllc,1400,https://github.com/twopirllc/pandas-ta
